fila_bronze,camion_id,centro_distribucion_base,capacidad_kg,tipo_camion,camion_id_estado,camion_id_motivo,centro_distribucion_base_estado,centro_distribucion_base_motivo,capacidad_kg_estado,capacidad_kg_motivo,tipo_camion_estado,tipo_camion_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze
1,CAM-01,Cochabamba,5000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
2,CAM-02,Cochabamba,5000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
3,CAM-03,Oruro,12000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
4,CAM-04,La Paz,2000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
5,CAM-05,Cochabamba,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
6,CAM-06,Cochabamba,5000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
7,CAM-07,La Paz,12000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
8,CAM-08,Santa Cruz,5000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
9,CAM-09,Santa Cruz,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
10,CAM-10,La Paz,12000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
11,CAM-11,Cochabamba,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
