fila_bronze,sistema,fecha_exportacion,camion_id,evento_id,timestamp,tipo,severidad,valor_lectura,reconocido,umbral_temp_cabina_c,geocerca_radio_km,ultimo_mantenimiento,sistema_en_cuarentena,sistema_motivo,fecha_exportacion_en_cuarentena,fecha_exportacion_motivo,camion_id_en_cuarentena,camion_id_motivo,evento_id_en_cuarentena,evento_id_motivo,timestamp_en_cuarentena,timestamp_motivo,tipo_en_cuarentena,tipo_motivo,severidad_en_cuarentena,severidad_motivo,valor_lectura_en_cuarentena,valor_lectura_motivo,reconocido_en_cuarentena,reconocido_motivo,umbral_temp_cabina_c_en_cuarentena,umbral_temp_cabina_c_motivo,geocerca_radio_km_en_cuarentena,geocerca_radio_km_motivo,ultimo_mantenimiento_en_cuarentena,ultimo_mantenimiento_motivo,en_cuarentena
1,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00001,01/08/2026 12:16,ALERTA_TEMP_CADENA_FRIO,Media,67.85,True,6.5,57.9,2026-07-29,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00002,2026-08-27T01:14:00,MANTENIMIENTO_PROGRAMADO,Baja,63.21,False,6.5,57.9,2026-07-29,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00003,2026-08-11T07:15:00,EXCESO_VELOCIDAD,Baja,84.51,True,6.5,57.9,2026-07-29,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
4,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00004,2026-08-27T21:27:00,GEOCERCA_SALIDA,Media,75.76,True,6.5,57.9,2026-07-29,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
5,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00005,2026-08-01T14:50:00,ALERTA_TEMP_CADENA_FRIO,Baja,72.68,,6.5,57.9,2026-07-29,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,Estado de reconocimiento no informado,False,,False,,False,,False
6,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00006,2026-08-21T18:20:00,MANTENIMIENTO_PROGRAMADO,Baja,56.03,True,6.5,57.9,2026-07-29,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
7,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00007,2026-08-26T13:43:00,EXCESO_VELOCIDAD,Baja,59.98,True,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
8,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00008,2026-08-25T01:45:00,MANTENIMIENTO_PROGRAMADO,Baja,38.48,True,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
9,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00009,2026-08-08T11:51:00,FALLA_MOTOR,Media,66.88,True,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
10,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00010,2026-08-09T10:56:00,EXCESO_VELOCIDAD,Media,26.96,True,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
11,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00011,2026-08-05T13:17:00,ALERTA_TEMP_CADENA_FRIO,Media,51.66,False,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
12,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00012,2026-08-25T09:33:00,GEOCERCA_SALIDA,Baja,72.54,False,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
13,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00013,2026-08-13T23:22:00,MANTENIMIENTO_PROGRAMADO,Media,42.67,True,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
14,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00014,2026-08-12T21:19:00,EXCESO_VELOCIDAD,Media,76.08,True,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
15,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00015,2026-08-17T08:51:00,ALERTA_TEMP_CADENA_FRIO,Media,41.59,True,7.8,42.6,2026-07-16,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
16,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00016,2026-08-27T16:14:00,FALLA_MOTOR,Media,105.17,False,8.0,36.6,2026-07-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
17,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00017,2026-08-27T06:15:00,GEOCERCA_SALIDA,Baja,82.36,True,8.0,36.6,2026-07-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
18,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00018,2026-08-18T16:33:00,ALERTA_TEMP_CADENA_FRIO,Baja,45.24,False,8.0,36.6,2026-07-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
19,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00019,2026-08-29T01:41:00,ALERTA_TEMP_CADENA_FRIO,Baja,43.6,,8.0,36.6,2026-07-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,Estado de reconocimiento no informado,False,,False,,False,,False
20,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-03,EVT-ALOG-00020,2026-08-08T14:15:00,ALERTA_TEMP_CADENA_FRIO,Media,50.03,True,8.0,36.6,2026-07-17,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
21,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-04,EVT-ALOG-00021,2026-08-01T13:50:00,FALLA_MOTOR,Baja,56.43,False,7.0,21.5,2026-08-03,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
22,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-04,EVT-ALOG-00022,2026-08-04T19:33:00,ALERTA_TEMP_CADENA_FRIO,Baja,54.6,False,7.0,21.5,2026-08-03,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
23,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-04,EVT-ALOG-00023,2026-08-23T01:03:00,ALERTA_TEMP_CADENA_FRIO,Baja,N/D,True,7.0,21.5,2026-08-03,False,,False,,False,,False,,False,,False,,False,,False,Lectura no disponible; conservar como nulo analítico,False,,False,,False,,False,,False
24,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00024,2026-08-16T23:18:00,FALLA_MOTOR,Alta,58.51,True,8.2,52.7,2026-06-12,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
25,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00025,05/08/2026 01:39,EXCESO_VELOCIDAD,Media,75.21,True,8.2,52.7,2026-06-12,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
26,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00026,2026-08-15T00:17:00,EXCESO_VELOCIDAD,Baja,51.83,True,8.2,52.7,2026-06-12,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,,False,,False,,False,,False
27,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-05,EVT-ALOG-00027,2026-08-29T17:42:00,MANTENIMIENTO_PROGRAMADO,Baja,56.84,,8.2,52.7,2026-06-12,False,,False,,False,,False,,False,,False,,False,,False,Unidad no declarada; interpretar según el tipo de evento,False,Estado de reconocimiento no informado,False,,False,,False,,False
