fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,timestamp_estado,timestamp_motivo,viaje_id_estado,viaje_id_motivo,order_id_estado,order_id_motivo,camion_id_estado,camion_id_motivo,producto_id_estado,producto_id_motivo,temperatura_cabina_c_estado,temperatura_cabina_c_motivo,temp_unit_estado,temp_unit_motivo,humedad_cabina_pct_estado,humedad_cabina_pct_motivo,desviacion_termica_flag_estado,desviacion_termica_flag_motivo,desviacion_proximos_60min_flag_estado,desviacion_proximos_60min_flag_motivo,cantidad_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,zona_horaria_origen,version_diagnostico,sha256_bronze
8,2026-08-11 17:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.48,C,,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,2,True,CRITICO,camion_id|humedad_cabina_pct,camion_id: Sin correspondencia en Flota Silver de cobertura parcial | humedad_cabina_pct: Valor faltante,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
121,2026-08-11 10:57:00,VIA-00006,ORD-2026-01337,CAM-26,PROD-060,-18.44,C,,0,0,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,1,True,CRITICO,humedad_cabina_pct,humedad_cabina_pct: Valor faltante,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
146,2026-08-21 17:36:00,VIA-00007,ORD-2026-01828, cam-19 ,PROD-037,3.5,C,78.9,0,0,OK,,OK,,OK,,CRITICO,Formato esperado: CAM-\d{2},OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,camion_id,camion_id: Formato esperado: CAM-\d{2},America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
213,2026-08-07 20:50:00,VIA-00009,ORD-2026-03793,CAM-20,PROD-043,-17.18,C,,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,2,True,CRITICO,camion_id|humedad_cabina_pct,camion_id: Sin correspondencia en Flota Silver de cobertura parcial | humedad_cabina_pct: Valor faltante,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
229,2026-08-13 11:22:00,VIA-00010,ORD-2026-02783,CAM-14,PROD-059,-999.0,C,55.4,0,0,OK,,OK,,OK,,OK,,OK,,CRITICO,-999 es centinela: no es una temperatura,OK,,OK,,OK,,OK,,1,True,CRITICO,temperatura_cabina_c,temperatura_cabina_c: -999 es centinela: no es una temperatura,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
238,2026-08-13 15:52:00,VIA-00010,ORD-2026-02783,CAM-14,PROD-059,,C,51.9,0,0,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,OK,,OK,,1,True,CRITICO,temperatura_cabina_c,temperatura_cabina_c: Valor faltante,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
425,2026-08-19 02:41:00,VIA-00018,ORD-2026-03390,CAM-08,PROD-052,-999.0,C,91.5,0,0,OK,,OK,,OK,,OK,,OK,,CRITICO,-999 es centinela: no es una temperatura,OK,,OK,,OK,,OK,,1,True,CRITICO,temperatura_cabina_c,temperatura_cabina_c: -999 es centinela: no es una temperatura,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
459,2026-08-25 21:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,-999.0,C,51.6,1,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,CRITICO,-999 es centinela: no es una temperatura,OK,,OK,,OK,,OK,,2,True,CRITICO,camion_id|temperatura_cabina_c,camion_id: Sin correspondencia en Flota Silver de cobertura parcial | temperatura_cabina_c: -999 es centinela: no es una temperatura,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
469,2026-08-26 02:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,-999.0,C,50.1,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,CRITICO,-999 es centinela: no es una temperatura,OK,,OK,,OK,,OK,,2,True,CRITICO,camion_id|temperatura_cabina_c,camion_id: Sin correspondencia en Flota Silver de cobertura parcial | temperatura_cabina_c: -999 es centinela: no es una temperatura,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
477,2026-08-26 06:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,,C,49.0,0,0,OK,,OK,,OK,,REVISAR,Sin correspondencia en Flota Silver de cobertura parcial,OK,,CRITICO,Valor faltante,OK,,OK,,OK,,OK,,2,True,CRITICO,camion_id|temperatura_cabina_c,camion_id: Sin correspondencia en Flota Silver de cobertura parcial | temperatura_cabina_c: Valor faltante,America/La_Paz,GIAD-M3-S4-IOT-diagnostico-didactico-v1,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
