fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,timestamp_en_cuarentena,timestamp_motivo,viaje_id_en_cuarentena,viaje_id_motivo,order_id_en_cuarentena,order_id_motivo,camion_id_en_cuarentena,camion_id_motivo,producto_id_en_cuarentena,producto_id_motivo,temperatura_cabina_c_en_cuarentena,temperatura_cabina_c_motivo,temp_unit_en_cuarentena,temp_unit_motivo,humedad_cabina_pct_en_cuarentena,humedad_cabina_pct_motivo,desviacion_termica_flag_en_cuarentena,desviacion_termica_flag_motivo,desviacion_proximos_60min_flag_en_cuarentena,desviacion_proximos_60min_flag_motivo,en_cuarentena,zona_horaria_origen
1,2026-08-11 14:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.19,C,72.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
2,2026-08-11 14:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.91,C,75.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
3,2026-08-11 15:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.76,C,94.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
4,2026-08-11 15:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.96,C,74.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
5,2026-08-11 16:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.49,C,70.3,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
6,2026-08-11 16:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.29,C,86.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
7,2026-08-11 17:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.76,C,85.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
8,2026-08-11 17:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.48,C,,0,0,False,,False,,False,,False,,False,,False,,False,,True,Valor faltante,False,,False,,True,America/La_Paz
9,2026-08-11 18:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.85,C,76.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
10,2026-08-11 18:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.57,C,76.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
11,2026-08-11 19:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.17,C,87.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
12,2026-08-11 19:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.09,C,70.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
13,2026-08-11 20:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.63,C,78.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
14,2026-08-11 20:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.13,C,73.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
15,2026-08-11 21:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.11,C,81.7,0,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
16,2026-08-11 21:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,5.29,C,76.7,0,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
17,2026-08-11 22:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,8.93,C,80.2,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
18,2026-08-11 22:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.42,C,75.2,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
19,2026-08-11 23:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.9,C,87.9,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
20,2026-08-11 23:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.28,C,87.0,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
21,2026-08-12 00:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.39,C,79.3,1,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
22,2026-08-12 00:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.39,C,82.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
23,2026-08-12 01:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.33,C,85.4,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
24,2026-08-12 01:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,5.13,C,85.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
25,2026-08-12 23:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.62,C,52.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
26,2026-08-13 00:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.82,C,43.4,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
27,2026-08-13 00:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,24.32,C,51.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
28,2026-08-13 01:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.16,C,55.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
29,2026-08-13 01:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.5,C,47.1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
30,2026-08-13 02:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.05,C,53.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
31,2026-08-13 02:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.97,C,57.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
32,2026-08-13 03:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.59,C,46.7,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
33,2026-08-13 03:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.49,C,58.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
34,2026-08-13 04:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.63,C,59.6,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
35,2026-08-13 04:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.43,C,50.5,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
36,2026-08-13 05:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,17.12,C,61.2,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
37,2026-08-13 05:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,21.61,C,41.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
38,2026-08-13 06:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,18.43,C,48.0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
39,2026-08-13 06:30:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,21.02,C,51.9,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,America/La_Paz
