fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,producto_id_estado,producto_id_motivo,nombre_producto_estado,nombre_producto_motivo,categoria_logistica_estado,categoria_logistica_motivo,temperatura_conservacion_requerida_c_estado,temperatura_conservacion_requerida_c_motivo,tolerancia_temperatura_c_estado,tolerancia_temperatura_c_motivo,precio_unitario_bob_estado,precio_unitario_bob_motivo,costo_unitario_bob_estado,costo_unitario_bob_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze
8, prod-008 ,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
16, prod-016 ,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
18,PROD-018,Producto Logistico 018,Seco,,5.0,39.73,33.66,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,OK,,1,True,CRITICO,temperatura_conservacion_requerida_c,temperatura_conservacion_requerida_c: Valor faltante,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
22, prod-022 ,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
26,PROD-026,Producto Logistico 026,conjelado,4.0,2.0,35.41,28.64,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
28,PROD-028,Producto Logistico 028,conjelado,20.0,5.0,32.63,27.13,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
31, prod-031 ,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
36,PROD-036,Producto Logistico 036,conjelado,4.0,2.0,67.93,58.54,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
46, prod-046 ,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
49,PROD-049,Producto Logistico 049,Fresco,,2.0,65.44,53.71,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,OK,,1,True,CRITICO,temperatura_conservacion_requerida_c,temperatura_conservacion_requerida_c: Valor faltante,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
61,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,CRITICO,Copia exacta posterior,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Copia exacta posterior,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
62, prod-024 ,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,CRITICO,Formato esperado: PROD-###; ID equivalente a otro registro después de normalizar,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-### | producto_id: ID equivalente a otro registro después de normalizar,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
63,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,CRITICO,Copia exacta posterior,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Copia exacta posterior,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
