fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,producto_id_estado,producto_id_motivo,nombre_producto_estado,nombre_producto_motivo,categoria_logistica_estado,categoria_logistica_motivo,temperatura_conservacion_requerida_c_estado,temperatura_conservacion_requerida_c_motivo,tolerancia_temperatura_c_estado,tolerancia_temperatura_c_motivo,precio_unitario_bob_estado,precio_unitario_bob_motivo,costo_unitario_bob_estado,costo_unitario_bob_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze
1,PROD-001,Producto Logistico 001,Fresco,4.0,2.0,23.7,20.26,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
2,PROD-002,Producto Logistico 002,Seco,20.0,5.0,101.83,82.37,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
3,PROD-003,Producto Logistico 003,Seco,20.0,5.0,83.08,68.01,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
4,PROD-004,Producto Logistico 004,Fresco,4.0,2.0,19.15,16.27,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
5,PROD-005,Producto Logistico 005,Seco,20.0,5.0,42.02,35.68,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
6,PROD-006,Producto Logistico 006,Seco,20.0,5.0,34.76,29.49,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
7,PROD-007,Producto Logistico 007,Seco,20.0,5.0,24.69,20.78,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
8, prod-008 ,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
9,PROD-009,Producto Logistico 009,Fresco,4.0,2.0,91.03,75.19,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
10,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
11,PROD-011,Producto Logistico 011,Congelado,-18.0,2.0,39.78,32.86,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
12,PROD-012,Producto Logistico 012,Seco,20.0,5.0,70.51,59.96,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
13,PROD-013,Producto Logistico 013,Fresco,4.0,2.0,53.93,46.59,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
14,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
15,PROD-015,Producto Logistico 015,Fresco,4.0,2.0,80.47,68.74,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
16, prod-016 ,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
17,PROD-017,Producto Logistico 017,Seco,20.0,5.0,41.23,34.67,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
18,PROD-018,Producto Logistico 018,Seco,,5.0,39.73,33.66,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,OK,,1,True,CRITICO,temperatura_conservacion_requerida_c,temperatura_conservacion_requerida_c: Valor faltante,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
19,PROD-019,Producto Logistico 019,Seco,20.0,5.0,77.58,62.3,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
20,PROD-020,Producto Logistico 020,Seco,20.0,5.0,70.64,59.96,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
21,PROD-021,Producto Logistico 021,Fresco,4.0,2.0,103.68,83.07,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
22, prod-022 ,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
23,PROD-023,Producto Logistico 023,Fresco,4.0,2.0,27.1,22.32,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
24,PROD-024,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,REVISAR,ID equivalente a otro registro después de normalizar,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,producto_id,producto_id: ID equivalente a otro registro después de normalizar,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
25,PROD-025,Producto Logistico 025,Congelado,-18.0,2.0,66.82,54.32,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
26,PROD-026,Producto Logistico 026,conjelado,4.0,2.0,35.41,28.64,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
27,PROD-027,Producto Logistico 027,Fresco,4.0,2.0,77.31,64.06,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
28,PROD-028,Producto Logistico 028,conjelado,20.0,5.0,32.63,27.13,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
29,PROD-029,Producto Logistico 029,Seco,20.0,5.0,96.01,81.05,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
