fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,producto_id_en_cuarentena,producto_id_motivo,nombre_producto_en_cuarentena,nombre_producto_motivo,categoria_logistica_en_cuarentena,categoria_logistica_motivo,temperatura_conservacion_requerida_c_en_cuarentena,temperatura_conservacion_requerida_c_motivo,tolerancia_temperatura_c_en_cuarentena,tolerancia_temperatura_c_motivo,precio_unitario_bob_en_cuarentena,precio_unitario_bob_motivo,costo_unitario_bob_en_cuarentena,costo_unitario_bob_motivo,en_cuarentena
8, prod-008 ,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True
16, prod-016 ,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True
18,PROD-018,Producto Logistico 018,Seco,,5.0,39.73,33.66,False,,False,,False,,True,Valor faltante,False,,False,,False,,True
22, prod-022 ,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True
26,PROD-026,Producto Logistico 026,conjelado,4.0,2.0,35.41,28.64,False,,False,,True,"Categoría fuera de Fresco, Congelado o Seco",False,No se valida coherencia térmica con categoría no reconocida,False,No se valida coherencia térmica con categoría no reconocida,False,,False,,True
28,PROD-028,Producto Logistico 028,conjelado,20.0,5.0,32.63,27.13,False,,False,,True,"Categoría fuera de Fresco, Congelado o Seco",False,No se valida coherencia térmica con categoría no reconocida,False,No se valida coherencia térmica con categoría no reconocida,False,,False,,True
31, prod-031 ,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True
36,PROD-036,Producto Logistico 036,conjelado,4.0,2.0,67.93,58.54,False,,False,,True,"Categoría fuera de Fresco, Congelado o Seco",False,No se valida coherencia térmica con categoría no reconocida,False,No se valida coherencia térmica con categoría no reconocida,False,,False,,True
46, prod-046 ,Producto Logistico 046,Seco,20.0,5.0,31.46,25.66,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True
49,PROD-049,Producto Logistico 049,Fresco,,2.0,65.44,53.71,False,,False,,False,,True,Valor faltante,False,,False,,False,,True
61,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,True
62, prod-024 ,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,True,Formato esperado: PROD-###; ID equivalente a otro registro después de normalizar,False,,False,,False,,False,,False,,False,,True
63,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,True,Copia exacta posterior,False,,False,,False,,False,,False,,False,,True
