fila_bronze,order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,order_id_en_cuarentena,order_id_motivo,cliente_id_en_cuarentena,cliente_id_motivo,producto_id_en_cuarentena,producto_id_motivo,fecha_despacho_en_cuarentena,fecha_despacho_motivo,centro_distribucion_en_cuarentena,centro_distribucion_motivo,camion_id_en_cuarentena,camion_id_motivo,chofer_id_en_cuarentena,chofer_id_motivo,cantidad_solicitada_en_cuarentena,cantidad_solicitada_motivo,cantidad_entregada_en_cuarentena,cantidad_entregada_motivo,tiempo_entrega_prometido_hrs_en_cuarentena,tiempo_entrega_prometido_hrs_motivo,tiempo_entrega_real_hrs_en_cuarentena,tiempo_entrega_real_hrs_motivo,otif_on_time_en_cuarentena,otif_on_time_motivo,otif_in_full_en_cuarentena,otif_in_full_motivo,otif_en_cuarentena,otif_motivo,en_cuarentena
12,ORD-2026-00012, cli-094 ,PROD-012,2026-08-25 08:43:00,La Paz,CAM-12,CHO-050,98,95.0,24,21.0,1,0,0,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
78, ord-2026-00078 ,CLI-041,PROD-047,2026-08-03 06:01:00,Santa Cruz,CAM-08,CHO-105,386,379.0,72,68.7,1,0,0,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
129,ORD-2026-00129,CLI-025,PROD-048,06/08/2026 18:20,Cochabamba,CAM-25,CHO-049,187,187.0,72,71.3,1,1,1,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
147, ord-2026-00147 ,CLI-015,PROD-013,2026-08-17 01:34:00,La Paz,CAM-15,CHO-054,374,374.0,48,52.5,0,1,0,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
173, ord-2026-00173 ,CLI-012,PROD-013,2026-08-26 08:55:00,Tarija,CAM-26,CHO-025,479,479.0,24,22.3,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
238,ORD-2026-00238,CLI-040, prod-015 ,2026-08-07 04:00:00,Tarija,CAM-26,CHO-097,188,188.0,48,48.2,0,1,0,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
300,ORD-2026-00300,CLI-063, prod-035 ,2026-08-04 10:59:00,Tarija,CAM-19,CHO-068,111,111.0,24,14.4,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
381, ord-2026-00381 ,CLI-017,PROD-005,2026-08-10 07:54:00,La Paz,CAM-04,CHO-060,241,241.0,72,67.0,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
417,ORD-2026-00417,CLI-078,PROD-038,2026-08-16 04:30:00,Oruro,CAM-03,CHO-046,197,197.0,72,-44.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
512,ORD-2026-00512,CLI-019,PROD-022,2026-08-11 04:28:00,Cochabamba,CAM-02,CHO-136,cincuenta,364.0,24,19.5,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True
536, ord-2026-00536 ,CLI-004,PROD-058,2026-08-18 00:52:00,Tarija,CAM-19,CHO-097,420,420.0,48,55.0,0,1,0,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
539,ORD-2026-00539,CLI-024, prod-054 ,2026-08-05 13:41:00,La Paz,CAM-15,CHO-076,289,289.0,24,15.1,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
552, ord-2026-00552 ,CLI-070,PROD-056,2026-08-07 12:40:00,Santa Cruz,CAM-08,CHO-106,135,135.0,24,17.7,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
557,ORD-2026-00557,CLI-086, prod-015 ,2026-08-21 00:26:00,La Paz,CAM-15,CHO-076,261,261.0,24,18.5,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
684, ord-2026-00684 ,CLI-071,PROD-022,2026-08-07 09:53:00,Santa Cruz,CAM-08,CHO-008,57,57.0,72,56.7,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
689, ord-2026-00689 ,CLI-048,PROD-017,2026-08-24 05:46:00,Santa Cruz,CAM-23,CHO-133,98,98.0,24,19.6,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
696,ORD-2026-00696, cli-059 ,PROD-041,2026-08-16 23:53:00,Oruro,CAM-24,CHO-066,71,71.0,72,59.5,1,1,1,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
709,ORD-2026-00709,CLI-087,PROD-052,2026-08-30 04:53:00,Oruro,CAM-24,CHO-038,cincuenta,45.0,48,38.1,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True
813,ORD-2026-00813,CLI-046,PROD-028,2026-08-10 10:23:00,La Paz,CAM-04,CHO-110,312,312.0,24,-16.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
848,ORD-2026-00848, cli-074 ,PROD-054,2026-08-12 02:04:00,Tarija,CAM-19,CHO-074,400,400.0,24,20.0,1,1,1,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
851,ORD-2026-00851,CLI-047, prod-028 ,2026-08-19 22:22:00,Tarija,CAM-21,CHO-074,317,317.0,24,18.8,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
962, ord-2026-00962 ,CLI-043,PROD-047,2026-08-02 07:29:00,Santa Cruz,CAM-08,CHO-048,375,375.0,72,66.4,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1010,ORD-2026-01010, cli-033 ,PROD-031,2026-08-24 06:46:00,Oruro,CAM-24,CHO-095,179,179.0,72,50.6,1,1,1,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1060,ORD-2026-01060,CLI-080,PROD-001,2026-08-21 12:20:00,La Paz,CAM-28,CHO-094,cincuenta,421.0,72,53.0,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True
1084, ord-2026-01084 ,CLI-051,PROD-029,2026-08-01 19:03:00,Cochabamba,CAM-05,CHO-070,277,277.0,24,14.3,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1106, ord-2026-01106 ,CLI-020,PROD-005,2026-08-21 14:18:00,La Paz,CAM-12,CHO-013,259,259.0,24,22.1,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1170, ord-2026-01170 ,CLI-037,PROD-039,2026-08-15 19:47:00,La Paz,CAM-12,CHO-050,172,157.0,24,26.8,0,0,0,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1187,ORD-2026-01187,CLI-035,PROD-050,2026-08-02 08:04:00,Tarija,CAM-19,CHO-074,57,57.0,24,-23.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
1218,ORD-2026-01218, cli-072 ,PROD-002,2026-08-27 19:34:00,Cochabamba,CAM-22,CHO-087,41,41.0,72,75.3,0,1,0,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1222,ORD-2026-01222,CLI-057,PROD-044,2026-08-28 06:18:00,Santa Cruz,CAM-08,CHO-139,339,339.0,48,-37.2,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
1343,ORD-2026-01343,CLI-003,PROD-027,2026-08-15 06:28:00,La Paz,CAM-15,CHO-130,136,136.0,72,-70.5,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True
1481, ord-2026-01481 ,CLI-045,PROD-045,2026-08-08 18:27:00,Santa Cruz,CAM-08,CHO-015,385,385.0,48,35.5,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1483,ORD-2026-01483,CLI-057,PROD-014,22/08/2026 18:59,Santa Cruz,CAM-29,CHO-053,489,489.0,48,43.9,1,1,1,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1497, ord-2026-01497 ,CLI-017,PROD-047,2026-08-26 01:51:00,Cochabamba,CAM-27,CHO-079,78,78.0,72,71.6,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1516, ord-2026-01516 ,CLI-061,PROD-001,2026-08-23 08:15:00,Tarija,CAM-19,CHO-032,285,285.0,48,28.5,1,1,1,True,Formato esperado: ORD-2026-\d{5},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1526,ORD-2026-01526,CLI-025, prod-036 ,2026-08-30 10:58:00,Tarija,CAM-26,CHO-119,380,380.0,48,45.1,1,1,1,False,,False,,True,Formato esperado: PROD-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1581,ORD-2026-01581,CLI-060,PROD-020,27/08/2026 03:26,La Paz,CAM-07,CHO-117,146,132.0,24,29.0,0,0,0,False,,False,,False,,True,Formato local convertible a AAAA-MM-DD HH:MM:SS,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
1622,ORD-2026-01622, cli-006 ,PROD-009,2026-08-26 12:25:00,Oruro,CAM-20,CHO-066,301,301.0,24,17.2,1,1,1,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
