fila_bronze,order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,order_id_en_cuarentena,order_id_motivo,cliente_id_en_cuarentena,cliente_id_motivo,producto_id_en_cuarentena,producto_id_motivo,fecha_despacho_en_cuarentena,fecha_despacho_motivo,centro_distribucion_en_cuarentena,centro_distribucion_motivo,camion_id_en_cuarentena,camion_id_motivo,chofer_id_en_cuarentena,chofer_id_motivo,cantidad_solicitada_en_cuarentena,cantidad_solicitada_motivo,cantidad_entregada_en_cuarentena,cantidad_entregada_motivo,tiempo_entrega_prometido_hrs_en_cuarentena,tiempo_entrega_prometido_hrs_motivo,tiempo_entrega_real_hrs_en_cuarentena,tiempo_entrega_real_hrs_motivo,otif_on_time_en_cuarentena,otif_on_time_motivo,otif_in_full_en_cuarentena,otif_in_full_motivo,otif_en_cuarentena,otif_motivo,en_cuarentena
1,ORD-2026-00001,CLI-002,PROD-003,2026-08-26 03:39:00,Tarija,CAM-19,CHO-059,91,91.0,24,8.8,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
2,ORD-2026-00002,CLI-098,PROD-036,2026-08-17 09:25:00,La Paz,CAM-28,CHO-094,296,296.0,24,11.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
3,ORD-2026-00003,CLI-036,PROD-042,2026-08-15 13:31:00,La Paz,CAM-10,CHO-104,402,402.0,24,17.7,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
4,ORD-2026-00004,CLI-079,PROD-014,2026-08-27 15:16:00,Tarija,CAM-26,CHO-078,151,151.0,72,60.4,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
5,ORD-2026-00005,CLI-060,PROD-008,2026-08-24 16:24:00,Cochabamba,CAM-25,CHO-091,74,74.0,48,40.1,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
6,ORD-2026-00006,CLI-053,PROD-039,2026-08-24 01:42:00,Santa Cruz,CAM-23,CHO-052,96,96.0,48,44.0,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
7,ORD-2026-00007,CLI-040,PROD-054,2026-08-06 19:13:00,Tarija,CAM-26,CHO-119,325,325.0,24,23.2,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
8,ORD-2026-00008,CLI-006,PROD-011,2026-08-05 08:13:00,Santa Cruz,CAM-23,CHO-145,456,456.0,72,52.5,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
9,ORD-2026-00009,CLI-048,PROD-007,2026-08-29 02:35:00,La Paz,CAM-28,CHO-117,87,87.0,24,20.0,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
10,ORD-2026-00010,CLI-097,PROD-038,2026-08-30 00:36:00,Tarija,CAM-26,CHO-010,125,125.0,72,71.2,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
11,ORD-2026-00011,CLI-021,PROD-036,2026-08-04 11:16:00,Oruro,CAM-24,CHO-027,97,88.0,72,68.3,1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
12,ORD-2026-00012, cli-094 ,PROD-012,2026-08-25 08:43:00,La Paz,CAM-12,CHO-050,98,95.0,24,21.0,1,0,0,False,,True,Formato esperado: CLI-\d{3},False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True
13,ORD-2026-00013,CLI-085,PROD-017,2026-08-19 12:42:00,Santa Cruz,CAM-23,CHO-113,340,330.0,72,44.8,1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
14,ORD-2026-00014,CLI-020,PROD-029,2026-08-05 19:15:00,Santa Cruz,CAM-08,CHO-144,277,262.0,48,56.5,0,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
15,ORD-2026-00015,CLI-097,PROD-016,2026-08-12 01:38:00,Cochabamba,CAM-11,CHO-091,255,255.0,72,59.8,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
