metrica,valor
filas_bronze,7550
filas_diagnosticadas,7550
filas_cuarentena,194
filas_con_observaciones,272
cuarentena_order_id,100
cuarentena_cliente_id,20
cuarentena_producto_id,20
cuarentena_fecha_despacho,24
cuarentena_centro_distribucion,0
cuarentena_camion_id,0
cuarentena_chofer_id,0
cuarentena_cantidad_solicitada,15
cuarentena_cantidad_entregada,0
cuarentena_tiempo_entrega_prometido_hrs,0
cuarentena_tiempo_entrega_real_hrs,15
cuarentena_otif_on_time,0
cuarentena_otif_in_full,0
cuarentena_otif,0
