fila_bronze,camion_id,centro_distribucion_base,capacidad_kg,tipo_camion,camion_id_estado,camion_id_motivo,centro_distribucion_base_estado,centro_distribucion_base_motivo,capacidad_kg_estado,capacidad_kg_motivo,tipo_camion_estado,tipo_camion_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze,acciones_tratamiento,motivos_tratamiento,camion_id_tratado,centro_distribucion_base_tratado,tipo_camion_tratado,capacidad_kg_tratada,camion_id_normalizado,motivo_cuarentena_final,capacidad_revisar_ficha,en_cuarentena_final,decision_tratamiento,version_tratamiento
1,CAM-01,Cochabamba,5000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-01,Cochabamba,Refrigerado,5000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
2,CAM-02,Cochabamba,5000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-02,Cochabamba,Refrigerado,5000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
3,CAM-03,Oruro,12000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-03,Oruro,Seco,12000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
4,CAM-04,La Paz,2000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-04,La Paz,Seco,2000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
5,CAM-05,Cochabamba,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-05,Cochabamba,Seco,8000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
6,CAM-06,Cochabamba,5000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-06,Cochabamba,Seco,5000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
7,CAM-07,La Paz,12000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-07,La Paz,Seco,12000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
8,CAM-08,Santa Cruz,5000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-08,Santa Cruz,Refrigerado,5000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
9,CAM-09,Santa Cruz,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-09,Santa Cruz,Seco,8000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
10,CAM-10,La Paz,12000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-10,La Paz,Refrigerado,12000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
11,CAM-11,Cochabamba,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-11,Cochabamba,Refrigerado,2000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
12,CAM-12,La Paz,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-12,La Paz,Seco,8000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
13,CAM-13,Cochabamba,12000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-13,Cochabamba,Seco,12000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
14,CAM-14,Cochabamba,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-14,Cochabamba,Seco,8000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
15,CAM-15,La Paz,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-15,La Paz,Refrigerado,2000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
16,CAM-16,Oruro,5000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-16,Oruro,Seco,5000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
17,CAM-17,Cochabamba,8000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-17,Cochabamba,Seco,8000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
18,CAM-18,Santa Cruz,2000,Seco,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-18,Santa Cruz,Seco,2000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
19,CAM-19,Tarija,2000,Refrigerado,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-FLOTA-diagnostico-didactico-v1,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14,,,CAM-19,Tarija,Refrigerado,2000,False,,False,False,SILVER,GIAD-M3-S4-FLOTA-tratamiento-didactico-v1
