fila_bronze,sistema,camion_id,evento_id,tipo,severidad,reconocido,umbral_temp_cabina_c,geocerca_radio_km,ultimo_mantenimiento,timestamp_bolivia,fecha_exportacion_bolivia,valor_lectura_numerico,valor_lectura_no_disponible,valor_lectura_unidad_declarada,reconocido_faltante,dias_desde_ultimo_mantenimiento,sistema_original,fecha_exportacion_original,camion_id_original,evento_id_original,timestamp_original,tipo_original,severidad_original,valor_lectura_original,reconocido_original,umbral_temp_cabina_c_original,geocerca_radio_km_original,ultimo_mantenimiento_original
1,TELEMATICA-AndinaLog,CAM-01,EVT-ALOG-00001,ALERTA_TEMP_CADENA_FRIO,Media,True,6.5,57.9,2026-07-29,2026-08-01 12:16:00,2026-08-30 00:00:00,67.85,False,False,False,3.511111111111111,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00001,01/08/2026 12:16,ALERTA_TEMP_CADENA_FRIO,Media,67.85,True,6.5,57.9,2026-07-29
2,TELEMATICA-AndinaLog,CAM-01,EVT-ALOG-00002,MANTENIMIENTO_PROGRAMADO,Baja,False,6.5,57.9,2026-07-29,2026-08-27 01:14:00,2026-08-30 00:00:00,63.21,False,False,False,29.051388888888887,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00002,2026-08-27T01:14:00,MANTENIMIENTO_PROGRAMADO,Baja,63.21,False,6.5,57.9,2026-07-29
3,TELEMATICA-AndinaLog,CAM-01,EVT-ALOG-00003,EXCESO_VELOCIDAD,Baja,True,6.5,57.9,2026-07-29,2026-08-11 07:15:00,2026-08-30 00:00:00,84.51,False,False,False,13.302083333333334,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00003,2026-08-11T07:15:00,EXCESO_VELOCIDAD,Baja,84.51,True,6.5,57.9,2026-07-29
4,TELEMATICA-AndinaLog,CAM-01,EVT-ALOG-00004,GEOCERCA_SALIDA,Media,True,6.5,57.9,2026-07-29,2026-08-27 21:27:00,2026-08-30 00:00:00,75.76,False,False,False,29.89375,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00004,2026-08-27T21:27:00,GEOCERCA_SALIDA,Media,75.76,True,6.5,57.9,2026-07-29
5,TELEMATICA-AndinaLog,CAM-01,EVT-ALOG-00005,ALERTA_TEMP_CADENA_FRIO,Baja,,6.5,57.9,2026-07-29,2026-08-01 14:50:00,2026-08-30 00:00:00,72.68,False,False,True,3.6180555555555554,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00005,2026-08-01T14:50:00,ALERTA_TEMP_CADENA_FRIO,Baja,72.68,,6.5,57.9,2026-07-29
6,TELEMATICA-AndinaLog,CAM-01,EVT-ALOG-00006,MANTENIMIENTO_PROGRAMADO,Baja,True,6.5,57.9,2026-07-29,2026-08-21 18:20:00,2026-08-30 00:00:00,56.03,False,False,False,23.76388888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-01,EVT-ALOG-00006,2026-08-21T18:20:00,MANTENIMIENTO_PROGRAMADO,Baja,56.03,True,6.5,57.9,2026-07-29
7,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00007,EXCESO_VELOCIDAD,Baja,True,7.8,42.6,2026-07-16,2026-08-26 13:43:00,2026-08-30 00:00:00,59.98,False,False,False,41.571527777777774,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00007,2026-08-26T13:43:00,EXCESO_VELOCIDAD,Baja,59.98,True,7.8,42.6,2026-07-16
8,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00008,MANTENIMIENTO_PROGRAMADO,Baja,True,7.8,42.6,2026-07-16,2026-08-25 01:45:00,2026-08-30 00:00:00,38.48,False,False,False,40.072916666666664,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00008,2026-08-25T01:45:00,MANTENIMIENTO_PROGRAMADO,Baja,38.48,True,7.8,42.6,2026-07-16
9,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00009,FALLA_MOTOR,Media,True,7.8,42.6,2026-07-16,2026-08-08 11:51:00,2026-08-30 00:00:00,66.88,False,False,False,23.49375,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00009,2026-08-08T11:51:00,FALLA_MOTOR,Media,66.88,True,7.8,42.6,2026-07-16
10,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00010,EXCESO_VELOCIDAD,Media,True,7.8,42.6,2026-07-16,2026-08-09 10:56:00,2026-08-30 00:00:00,26.96,False,False,False,24.455555555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00010,2026-08-09T10:56:00,EXCESO_VELOCIDAD,Media,26.96,True,7.8,42.6,2026-07-16
11,TELEMATICA-AndinaLog,CAM-02,EVT-ALOG-00011,ALERTA_TEMP_CADENA_FRIO,Media,False,7.8,42.6,2026-07-16,2026-08-05 13:17:00,2026-08-30 00:00:00,51.66,False,False,False,20.553472222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-02,EVT-ALOG-00011,2026-08-05T13:17:00,ALERTA_TEMP_CADENA_FRIO,Media,51.66,False,7.8,42.6,2026-07-16
