fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,movimiento_id_estado,movimiento_id_motivo,lote_id_estado,lote_id_motivo,producto_id_estado,producto_id_motivo,centro_distribucion_estado,centro_distribucion_motivo,fecha_ingreso_estado,fecha_ingreso_motivo,fecha_salida_estado,fecha_salida_motivo,fecha_vencimiento_estado,fecha_vencimiento_motivo,cantidad_ingreso_estado,cantidad_ingreso_motivo,cantidad_salida_estado,cantidad_salida_motivo,cantidad_merma_estado,cantidad_merma_motivo,dias_en_almacen_estado,dias_en_almacen_motivo,costo_unitario_bob_estado,costo_unitario_bob_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze,acciones_tratamiento,motivos_tratamiento,fecha_ingreso_tratada,fecha_salida_tratada,fecha_vencimiento_tratada,producto_id_tratado,cantidad_ingreso_tratada,cantidad_salida_tratada,cantidad_merma_tratada,dias_en_almacen_tratada,costo_unitario_bob_tratada,vida_util_producto_dias_usada,vencimiento_imputado,motivo_cuarentena_final,saldo_unidades_inventario,riesgo_salida_post_vencimiento,riesgo_basado_en_vencimiento_imputado,en_cuarentena_final,decision_tratamiento,apto_kpi_vencimiento_observado,version_tratamiento
912,MOV-000912,LOT-2026-00912,PROD-023,Santa Cruz,2026-08-03,2026-08-15,2026-08-21,cien,184,5,12,22.32,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,1,True,CRITICO,cantidad_ingreso,cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-08-03,2026-08-15,2026-08-21,PROD-023,,184,5,12,22.32,18.0,False,cantidad_ingreso inválida,,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
1052,MOV-001052,LOT-2026-01052,PROD-032,Cochabamba,2026-08-15,2026-09-02,2027-08-15,948,943,-5,18,33.13,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor negativo no permitido,OK,,OK,,1,True,CRITICO,cantidad_merma,cantidad_merma: Valor negativo no permitido,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-08-15,2026-09-02,2027-08-15,PROD-032,948,943,-5,18,33.13,365.0,False,cantidad_merma inválida,10,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
1066,MOV-001066,LOT-2026-01066,PROD-004,Oruro,2026-07-12,2026-08-08,2026-07-30,cien,281,15,27,16.27,OK,,OK,,OK,,OK,,OK,,REVISAR,Salida posterior al vencimiento (riesgo de negocio),OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,2,True,CRITICO,fecha_salida|cantidad_ingreso,fecha_salida: Salida posterior al vencimiento (riesgo de negocio) | cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-12,2026-08-08,2026-07-30,PROD-004,,281,15,27,16.27,18.0,False,cantidad_ingreso inválida,,True,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
1167,MOV-001167,LOT-2026-01167,PROD-038,Oruro,2026-05-23,2026-02-31,2027-05-23,86,82,1,19,26.68,OK,,OK,,OK,,OK,,OK,,CRITICO,Fecha imposible o formato no interpretable,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,fecha_salida,fecha_salida: Fecha imposible o formato no interpretable,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-05-23,,2027-05-23,PROD-038,86,82,1,19,26.68,365.0,False,Fecha de salida inválida,3,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
1311,MOV-001311,LOT-2026-01311,PROD-041,Oruro,2026-07-01,2026-07-05,2026-12-28,929,914,-12,4,48.44,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor negativo no permitido,OK,,OK,,1,True,CRITICO,cantidad_merma,cantidad_merma: Valor negativo no permitido,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-01,2026-07-05,2026-12-28,PROD-041,929,914,-12,4,48.44,180.0,False,cantidad_merma inválida,27,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
1506,MOV-001506,LOT-2026-01506,PROD-023,Santa Cruz,2026-06-28,2026-02-31,2026-07-16,152,146,5,7,22.32,OK,,OK,,OK,,OK,,OK,,CRITICO,Fecha imposible o formato no interpretable,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,fecha_salida,fecha_salida: Fecha imposible o formato no interpretable,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-06-28,,2026-07-16,PROD-023,152,146,5,7,22.32,18.0,False,Fecha de salida inválida,1,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
1651,MOV-001651,LOT-2026-01651,PROD-050,Tarija,2026-07-27,2026-02-31,2027-07-27,645,639,4,26,46.57,OK,,OK,,OK,,OK,,OK,,CRITICO,Fecha imposible o formato no interpretable,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,fecha_salida,fecha_salida: Fecha imposible o formato no interpretable,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-27,,2027-07-27,PROD-050,645,639,4,26,46.57,365.0,False,Fecha de salida inválida,2,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
1872,MOV-001872,LOT-2026-01872,PROD-037,Cochabamba,2026-05-29,2026-07-02,2026-06-16,833,778,-50,34,25.76,OK,,OK,,OK,,OK,,OK,,REVISAR,Salida posterior al vencimiento (riesgo de negocio),OK,,OK,,OK,,CRITICO,Valor negativo no permitido,OK,,OK,,2,True,CRITICO,fecha_salida|cantidad_merma,fecha_salida: Salida posterior al vencimiento (riesgo de negocio) | cantidad_merma: Valor negativo no permitido,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-05-29,2026-07-02,2026-06-16,PROD-037,833,778,-50,34,25.76,18.0,False,cantidad_merma inválida,105,True,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
2055,MOV-002055,LOT-2026-02055,PROD-028,Tarija,2026-07-04,2026-07-28,2027-07-04,cien,537,4,24,27.13,OK,,OK,,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,2,True,CRITICO,producto_id|cantidad_ingreso,producto_id: Sin correspondencia en Productos Silver de cobertura parcial | cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-04,2026-07-28,2027-07-04,PROD-028,,537,4,24,27.13,365.0,False,cantidad_ingreso inválida,,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
2208,MOV-002208,LOT-2026-02208,PROD-051,Cochabamba,2026-07-17,2026-07-24,2027-01-13,cien,581,8,7,24.83,OK,,OK,,OK,,OK,,OK,,OK,,OK,,CRITICO,Valor no numérico,OK,,OK,,OK,,OK,,1,True,CRITICO,cantidad_ingreso,cantidad_ingreso: Valor no numérico,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,,,2026-07-17,2026-07-24,2027-01-13,PROD-051,,581,8,7,24.83,180.0,False,cantidad_ingreso inválida,,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
