fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,movimiento_id_en_cuarentena,movimiento_id_motivo,lote_id_en_cuarentena,lote_id_motivo,producto_id_en_cuarentena,producto_id_motivo,centro_distribucion_en_cuarentena,centro_distribucion_motivo,fecha_ingreso_en_cuarentena,fecha_ingreso_motivo,fecha_salida_en_cuarentena,fecha_salida_motivo,fecha_vencimiento_en_cuarentena,fecha_vencimiento_motivo,cantidad_ingreso_en_cuarentena,cantidad_ingreso_motivo,cantidad_salida_en_cuarentena,cantidad_salida_motivo,cantidad_merma_en_cuarentena,cantidad_merma_motivo,dias_en_almacen_en_cuarentena,dias_en_almacen_motivo,costo_unitario_bob_en_cuarentena,costo_unitario_bob_motivo,en_cuarentena_diagnostico,acciones_tratamiento,motivos_tratamiento,fecha_ingreso_tratada,fecha_salida_tratada,fecha_vencimiento_tratada,producto_id_tratado,cantidad_ingreso_tratada,cantidad_salida_tratada,cantidad_merma_tratada,dias_en_almacen_tratada,costo_unitario_bob_tratada,vida_util_producto_dias_usada,vencimiento_imputado,motivo_cuarentena_final,saldo_unidades_inventario,riesgo_salida_post_vencimiento,riesgo_basado_en_vencimiento_imputado,en_cuarentena_final,decision_tratamiento,apto_kpi_vencimiento_observado
1,MOV-000001,LOT-2026-00001,PROD-006,Santa Cruz,2026-07-09,2026-07-23,2027-07-09,747,743,4,14,29.49,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-09,2026-07-23,2027-07-09,PROD-006,747,743,4,14,29.49,365.0,False,,0,False,False,False,SILVER,True
2,MOV-000002,LOT-2026-00002,PROD-031,Tarija,2026-05-21,2026-06-14,2027-05-21,625,615,8,24,50.89,False,,False,,False,Sin correspondencia en Productos Silver de cobertura parcial,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-21,2026-06-14,2027-05-21,PROD-031,625,615,8,24,50.89,365.0,False,,2,False,False,False,SILVER,True
3,MOV-000003,LOT-2026-00003,PROD-021,La Paz,2026-08-18,2026-08-22,2026-09-05,261,252,7,4,83.07,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-18,2026-08-22,2026-09-05,PROD-021,261,252,7,4,83.07,18.0,False,,2,False,False,False,SILVER,True
4,MOV-000004,LOT-2026-00004,PROD-009,Cochabamba,2026-07-15,2026-07-30,2026-08-02,97,94,3,15,75.19,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-15,2026-07-30,2026-08-02,PROD-009,97,94,3,15,75.19,18.0,False,,0,False,False,False,SILVER,True
5,MOV-000005,LOT-2026-00005,PROD-027,La Paz,2026-06-25,2026-06-28,2026-07-13,83,81,2,3,64.06,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-25,2026-06-28,2026-07-13,PROD-027,83,81,2,3,64.06,18.0,False,,0,False,False,False,SILVER,True
6,MOV-000006,LOT-2026-00006,PROD-043,Tarija,2026-08-21,2026-08-26,2027-02-17,627,616,8,5,16.46,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-21,2026-08-26,2027-02-17,PROD-043,627,616,8,5,16.46,180.0,False,,3,False,False,False,SILVER,True
7,MOV-000007,LOT-2026-00007,PROD-005,Oruro,2026-05-18,2026-06-02,2027-05-18,175,171,3,15,35.68,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-18,2026-06-02,2027-05-18,PROD-005,175,171,3,15,35.68,365.0,False,,1,False,False,False,SILVER,True
8,MOV-000008,LOT-2026-00008,PROD-060,Oruro,2026-07-24,2026-07-29,2027-01-20,88,86,1,5,30.63,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-24,2026-07-29,2027-01-20,PROD-060,88,86,1,5,30.63,180.0,False,,1,False,False,False,SILVER,True
9,MOV-000009,LOT-2026-00009,PROD-030,Cochabamba,2026-07-05,2026-07-17,2027-07-05,531,524,4,12,34.93,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-05,2026-07-17,2027-07-05,PROD-030,531,524,4,12,34.93,365.0,False,,3,False,False,False,SILVER,True
10,MOV-000010,LOT-2026-00010,PROD-059,La Paz,2026-05-22,2026-05-31,2027-05-22,193,190,2,9,49.31,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-22,2026-05-31,2027-05-22,PROD-059,193,190,2,9,49.31,365.0,False,,1,False,False,False,SILVER,True
11,MOV-000011,LOT-2026-00011,PROD-034,La Paz,2026-05-31,2026-06-08,2026-06-18,429,410,12,8,54.4,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-31,2026-06-08,2026-06-18,PROD-034,429,410,12,8,54.4,18.0,False,,7,False,False,False,SILVER,True
12,MOV-000012,LOT-2026-00012,PROD-020,La Paz,2026-08-24,2026-09-10,2027-08-24,306,301,2,17,59.96,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-24,2026-09-10,2027-08-24,PROD-020,306,301,2,17,59.96,365.0,False,,3,False,False,False,SILVER,True
13,MOV-000013,LOT-2026-00013,PROD-057,Tarija,2026-06-20,2026-07-12,2027-06-20,236,229,1,22,16.73,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-20,2026-07-12,2027-06-20,PROD-057,236,229,1,22,16.73,365.0,False,,6,False,False,False,SILVER,True
14,MOV-000014,LOT-2026-00014,PROD-012,Oruro,2026-06-08,2026-07-01,2027-06-08,578,569,5,23,59.96,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-08,2026-07-01,2027-06-08,PROD-012,578,569,5,23,59.96,365.0,False,,4,False,False,False,SILVER,True
15,MOV-000015,LOT-2026-00015,PROD-057,Santa Cruz,2026-06-16,2026-07-02,2027-06-16,873,856,10,16,16.73,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-16,2026-07-02,2027-06-16,PROD-057,873,856,10,16,16.73,365.0,False,,7,False,False,False,SILVER,True
16,MOV-000016,LOT-2026-00016,PROD-041,Tarija,2026-07-04,2026-07-18,2026-12-31,73,70,1,14,48.44,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-04,2026-07-18,2026-12-31,PROD-041,73,70,1,14,48.44,180.0,False,,2,False,False,False,SILVER,True
17,MOV-000017,LOT-2026-00017,PROD-015,Santa Cruz,2026-05-15,2026-06-10,2026-06-02,131,121,6,26,68.74,False,,False,,False,,False,,False,,False,Salida posterior al vencimiento (riesgo de negocio),False,,False,,False,,False,,False,,False,,False,,,2026-05-15,2026-06-10,2026-06-02,PROD-015,131,121,6,26,68.74,18.0,False,,4,True,False,False,SILVER,True
18,MOV-000018,LOT-2026-00018,PROD-016,Santa Cruz,2026-08-28,2026-10-05,2027-08-28,276,269,3,38,25.77,False,,False,,False,Sin correspondencia en Productos Silver de cobertura parcial,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-28,2026-10-05,2027-08-28,PROD-016,276,269,3,38,25.77,365.0,False,,4,False,False,False,SILVER,True
19,MOV-000019,LOT-2026-00019,PROD-004,Tarija,2026-06-27,2026-07-06,2026-07-15,59,57,2,9,16.27,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-27,2026-07-06,2026-07-15,PROD-004,59,57,2,9,16.27,18.0,False,,0,False,False,False,SILVER,True
20,MOV-000020,LOT-2026-00020,PROD-054,Santa Cruz,2026-06-07,2026-06-28,2026-12-04,73,70,1,21,79.92,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-07,2026-06-28,2026-12-04,PROD-054,73,70,1,21,79.92,180.0,False,,2,False,False,False,SILVER,True
21,MOV-000021,LOT-2026-00021,PROD-043,Tarija,2026-06-13,2026-06-22,2026-12-10,496,485,6,9,16.46,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-13,2026-06-22,2026-12-10,PROD-043,496,485,6,9,16.46,180.0,False,,5,False,False,False,SILVER,True
22,MOV-000022,LOT-2026-00022,PROD-016,Cochabamba,2026-08-11,2026-08-28,2027-08-11,719,715,4,17,25.77,False,,False,,False,Sin correspondencia en Productos Silver de cobertura parcial,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-11,2026-08-28,2027-08-11,PROD-016,719,715,4,17,25.77,365.0,False,,0,False,False,False,SILVER,True
23,MOV-000023,LOT-2026-00023,PROD-050,Oruro,2026-07-06,2026-07-24,2027-07-06,165,162,1,18,46.57,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-06,2026-07-24,2027-07-06,PROD-050,165,162,1,18,46.57,365.0,False,,2,False,False,False,SILVER,True
24,MOV-000024,LOT-2026-00024,PROD-045,Tarija,2026-07-30,2026-08-05,2026-08-17,333,320,10,6,27.1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-30,2026-08-05,2026-08-17,PROD-045,333,320,10,6,27.1,18.0,False,,3,False,False,False,SILVER,True
25,MOV-000025,LOT-2026-00025,PROD-057,Cochabamba,2026-07-05,2026-07-29,2027-07-05,406,395,5,24,16.73,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-05,2026-07-29,2027-07-05,PROD-057,406,395,5,24,16.73,365.0,False,,6,False,False,False,SILVER,True
26,MOV-000026,LOT-2026-00026,PROD-020,Tarija,2026-08-14,2026-08-26,2027-08-14,187,186,1,12,59.96,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-14,2026-08-26,2027-08-14,PROD-020,187,186,1,12,59.96,365.0,False,,0,False,False,False,SILVER,True
27,MOV-000027,LOT-2026-00027,PROD-055,Cochabamba,2026-07-25,2026-08-14,2027-07-25,833,824,5,20,69.47,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-25,2026-08-14,2027-07-25,PROD-055,833,824,5,20,69.47,365.0,False,,4,False,False,False,SILVER,True
28,MOV-000028,LOT-2026-00028,PROD-011,La Paz,2026-06-19,2026-06-28,2026-12-16,980,961,13,9,32.86,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-19,2026-06-28,2026-12-16,PROD-011,980,961,13,9,32.86,180.0,False,,6,False,False,False,SILVER,True
29,MOV-000029,LOT-2026-00029,PROD-033,Tarija,2026-05-01,2026-05-19,2027-05-01,145,143,1,18,30.56,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-01,2026-05-19,2027-05-01,PROD-033,145,143,1,18,30.56,365.0,False,,1,False,False,False,SILVER,True
30,MOV-000030,LOT-2026-00030,PROD-049,Oruro,2026-05-08,2026-05-19,2026-05-26,900,873,24,11,53.71,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-05-08,2026-05-19,2026-05-26,PROD-049,900,873,24,11,53.71,18.0,False,,3,False,False,False,SILVER,True
31,MOV-000031,LOT-2026-00031,PROD-032,Santa Cruz,2026-06-27,2026-07-13,2027-06-27,345,343,2,16,33.13,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-27,2026-07-13,2027-06-27,PROD-032,345,343,2,16,33.13,365.0,False,,0,False,False,False,SILVER,True
32,MOV-000032,LOT-2026-00032,PROD-030,Cochabamba,2026-06-06,2026-06-26,2027-06-06,909,896,6,20,34.93,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-06-06,2026-06-26,2027-06-06,PROD-030,909,896,6,20,34.93,365.0,False,,7,False,False,False,SILVER,True
33,MOV-000033,LOT-2026-00033,PROD-023,Cochabamba,2026-05-09,2026-06-14,2026-05-27,191,175,12,36,22.32,False,,False,,False,,False,,False,,False,Salida posterior al vencimiento (riesgo de negocio),False,,False,,False,,False,,False,,False,,False,,,2026-05-09,2026-06-14,2026-05-27,PROD-023,191,175,12,36,22.32,18.0,False,,4,True,False,False,SILVER,True
34,MOV-000034,LOT-2026-00034,PROD-010,Tarija,2026-08-11,2026-08-28,2027-08-11,740,733,5,17,18.97,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-11,2026-08-28,2027-08-11,PROD-010,740,733,5,17,18.97,365.0,False,,2,False,False,False,SILVER,True
35,MOV-000035,LOT-2026-00035,PROD-059,Santa Cruz,2026-08-27,2026-09-09,2027-08-27,191,185,2,13,49.31,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-08-27,2026-09-09,2027-08-27,PROD-059,191,185,2,13,49.31,365.0,False,,4,False,False,False,SILVER,True
36,MOV-000036,LOT-2026-00036,PROD-014,Santa Cruz,2026-07-17,2026-08-04,2027-07-17,199,192,1,18,74.91,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,,2026-07-17,2026-08-04,2027-07-17,PROD-014,199,192,1,18,74.91,365.0,False,,6,False,False,False,SILVER,True
