fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,timestamp_en_cuarentena,timestamp_motivo,viaje_id_en_cuarentena,viaje_id_motivo,order_id_en_cuarentena,order_id_motivo,camion_id_en_cuarentena,camion_id_motivo,producto_id_en_cuarentena,producto_id_motivo,temperatura_cabina_c_en_cuarentena,temperatura_cabina_c_motivo,temp_unit_en_cuarentena,temp_unit_motivo,humedad_cabina_pct_en_cuarentena,humedad_cabina_pct_motivo,desviacion_termica_flag_en_cuarentena,desviacion_termica_flag_motivo,desviacion_proximos_60min_flag_en_cuarentena,desviacion_proximos_60min_flag_motivo,en_cuarentena_diagnostico,zona_horaria_origen,acciones_tratamiento,motivos_tratamiento,camion_id_tratado,temp_unit_tratado,temperatura_cabina_c_tratada,temperatura_convertida_f_a_c,humedad_cabina_pct_tratada,timestamp_bolivia_tratado,temperatura_imputada,humedad_imputada,motivo_cuarentena_final,en_cuarentena_final,decision_tratamiento,umbral_producto_evaluable,flag_termico_coherente,apta_kpi_termico,categoria_producto_maestro,tipo_camion_maestro,compatibilidad_tipo_camion_estado,posible_incompatibilidad_termica,compatibilidad_tipo_camion_motivo,apta_objetivo_60min
121,2026-08-11 10:57:00,VIA-00006,ORD-2026-01337,CAM-26,PROD-060,-18.44,C,,0,0,False,,False,,False,,False,,False,,False,,False,,True,Valor faltante,False,,False,,True,America/La_Paz,,,CAM-26,C,-18.44,False,,2026-08-11 10:57:00,False,False,Humedad sin valor recuperable,True,CUARENTENA,True,True,False,Congelado,Refrigerado,SIN_ALERTA,False,,False
238,2026-08-13 15:52:00,VIA-00010,ORD-2026-02783,CAM-14,PROD-059,,C,51.9,0,0,False,,False,,False,,False,,False,,True,Valor faltante,False,,False,,False,,False,,True,America/La_Paz,,,CAM-14,C,,False,51.9,2026-08-13 15:52:00,False,False,Temperatura sin valor recuperable,True,CUARENTENA,True,False,False,Seco,Seco,SIN_ALERTA,False,,False
459,2026-08-25 21:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,-999.0,C,51.6,1,0,False,,False,,False,,False,,False,,True,-999 es centinela: no es una temperatura,False,,False,,False,,False,,True,America/La_Paz,CENTINELA_A_FALTANTE,-999 no representa temperatura,CAM-20,C,,False,51.6,2026-08-25 21:24:00,False,False,Temperatura sin valor recuperable,True,CUARENTENA,True,False,False,Seco,Refrigerado,SIN_ALERTA,False,,False
598,2026-08-14 04:21:00,VIA-00025,ORD-2026-06241,CAM-24,PROD-052,4.38,C,,0,0,False,,False,,False,,False,,False,,False,,False,,True,Valor faltante,False,,False,,True,America/La_Paz,,,CAM-24,C,4.38,False,,2026-08-14 04:21:00,False,False,Humedad sin valor recuperable,True,CUARENTENA,True,True,False,Fresco,Refrigerado,SIN_ALERTA,False,,False
1101,2026-08-20 09:07:00,VIA-00046,ORD-2026-00641,CAM-09,PROD-033,-999.0,C,50.1,0,0,False,,False,,False,,False,,False,,True,-999 es centinela: no es una temperatura,False,,False,,False,,False,,True,America/La_Paz,CENTINELA_A_FALTANTE,-999 no representa temperatura,CAM-09,C,,False,50.1,2026-08-20 09:07:00,False,False,Temperatura sin valor recuperable,True,CUARENTENA,True,False,False,Seco,Seco,SIN_ALERTA,False,,False
1208,2026-08-06 08:24:00,VIA-00051,ORD-2026-04075,CAM-28,PROD-025,-999.0,C,76.9,0,1,False,,False,,False,,False,,False,,True,-999 es centinela: no es una temperatura,False,,False,,False,,False,,True,America/La_Paz,CENTINELA_A_FALTANTE,-999 no representa temperatura,CAM-28,C,,False,76.9,2026-08-06 08:24:00,False,False,Temperatura sin valor recuperable,True,CUARENTENA,True,False,False,Congelado,Refrigerado,SIN_ALERTA,False,,False
1286,2026-08-18 07:12:00,VIA-00054,ORD-2026-05811,CAM-10,PROD-041,,C,68.6,0,1,False,,False,,False,,False,,False,,True,Valor faltante,False,,False,,False,,False,,True,America/La_Paz,,,CAM-10,C,,False,68.6,2026-08-18 07:12:00,False,False,Temperatura sin valor recuperable,True,CUARENTENA,True,False,False,Congelado,Refrigerado,SIN_ALERTA,False,,False
1336,2026-08-15 10:56:00,VIA-00056,ORD-2026-06250,CAM-11,PROD-006,,C,42.1,0,0,False,,False,,False,,False,,False,,True,Valor faltante,False,,False,,False,,False,,True,America/La_Paz,,,CAM-11,C,,False,42.1,2026-08-15 10:56:00,False,False,Temperatura sin valor recuperable,True,CUARENTENA,True,False,False,Seco,Refrigerado,SIN_ALERTA,False,,False
1402,2026-08-20 20:23:00,VIA-00059,ORD-2026-02676,CAM-07,PROD-055,-999.0,C,59.1,0,0,False,,False,,False,,False,,False,,True,-999 es centinela: no es una temperatura,False,,False,,False,,False,,True,America/La_Paz,CENTINELA_A_FALTANTE,-999 no representa temperatura,CAM-07,C,,False,59.1,2026-08-20 20:23:00,False,False,Temperatura sin valor recuperable,True,CUARENTENA,True,False,False,Seco,Seco,SIN_ALERTA,False,,False
1660,2026-08-28 19:53:00,VIA-00070,ORD-2026-06154,CAM-19,PROD-040,-999.0,C,47.7,0,0,False,,False,,False,,False,,False,,True,-999 es centinela: no es una temperatura,False,,False,,False,,False,,True,America/La_Paz,CENTINELA_A_FALTANTE,-999 no representa temperatura,CAM-19,C,,False,47.7,2026-08-28 19:53:00,False,False,Temperatura sin valor recuperable,True,CUARENTENA,True,False,False,Seco,Refrigerado,SIN_ALERTA,False,,False
