fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,producto_id_estado,producto_id_motivo,nombre_producto_estado,nombre_producto_motivo,categoria_logistica_estado,categoria_logistica_motivo,temperatura_conservacion_requerida_c_estado,temperatura_conservacion_requerida_c_motivo,tolerancia_temperatura_c_estado,tolerancia_temperatura_c_motivo,precio_unitario_bob_estado,precio_unitario_bob_motivo,costo_unitario_bob_estado,costo_unitario_bob_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze,producto_id_tratado,vida_util_observada_dias,lotes_respaldo_vida_util,acciones_tratamiento,motivos_tratamiento,producto_id_normalizado,categoria_logistica_tratada,temperatura_conservacion_requerida_c_tratada,tolerancia_temperatura_c_tratada,precio_unitario_bob_tratado,costo_unitario_bob_tratado,categoria_imputada,temperatura_imputada,motivo_cuarentena_final,precio_menor_costo,en_cuarentena_final,decision_tratamiento,apto_umbral_termico_observado,version_tratamiento,sha256_inventario_referencia
1,PROD-001,Producto Logistico 001,Fresco,4.0,2.0,23.7,20.26,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-001,18.0,91,,,False,Fresco,4.0,2.0,23.7,20.26,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
2,PROD-002,Producto Logistico 002,Seco,20.0,5.0,101.83,82.37,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-002,365.0,88,,,False,Seco,20.0,5.0,101.83,82.37,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
3,PROD-003,Producto Logistico 003,Seco,20.0,5.0,83.08,68.01,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-003,365.0,94,,,False,Seco,20.0,5.0,83.08,68.01,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
4,PROD-004,Producto Logistico 004,Fresco,4.0,2.0,19.15,16.27,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-004,18.0,119,,,False,Fresco,4.0,2.0,19.15,16.27,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
5,PROD-005,Producto Logistico 005,Seco,20.0,5.0,42.02,35.68,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-005,365.0,113,,,False,Seco,20.0,5.0,42.02,35.68,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
6,PROD-006,Producto Logistico 006,Seco,20.0,5.0,34.76,29.49,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-006,365.0,97,,,False,Seco,20.0,5.0,34.76,29.49,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
7,PROD-007,Producto Logistico 007,Seco,20.0,5.0,24.69,20.78,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-007,365.0,100,,,False,Seco,20.0,5.0,24.69,20.78,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
8, prod-008 ,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-008,180.0,103,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Congelado,-18.0,2.0,92.06,79.52,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
9,PROD-009,Producto Logistico 009,Fresco,4.0,2.0,91.03,75.19,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-009,18.0,79,,,False,Fresco,4.0,2.0,91.03,75.19,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
10,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-010,365.0,102,,,False,Seco,20.0,5.0,21.93,18.97,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
11,PROD-011,Producto Logistico 011,Congelado,-18.0,2.0,39.78,32.86,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-011,180.0,109,,,False,Congelado,-18.0,2.0,39.78,32.86,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
12,PROD-012,Producto Logistico 012,Seco,20.0,5.0,70.51,59.96,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-012,365.0,98,,,False,Seco,20.0,5.0,70.51,59.96,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
13,PROD-013,Producto Logistico 013,Fresco,4.0,2.0,53.93,46.59,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-013,18.0,103,,,False,Fresco,4.0,2.0,53.93,46.59,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
14,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-014,365.0,92,,,False,Seco,20.0,5.0,89.65,74.91,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
15,PROD-015,Producto Logistico 015,Fresco,4.0,2.0,80.47,68.74,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-015,18.0,98,,,False,Fresco,4.0,2.0,80.47,68.74,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
16, prod-016 ,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-016,365.0,99,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Seco,20.0,5.0,31.14,25.77,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
17,PROD-017,Producto Logistico 017,Seco,20.0,5.0,41.23,34.67,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-017,365.0,103,,,False,Seco,20.0,5.0,41.23,34.67,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
18,PROD-018,Producto Logistico 018,Seco,,5.0,39.73,33.66,OK,,OK,,OK,,CRITICO,Valor faltante,OK,,OK,,OK,,1,True,CRITICO,temperatura_conservacion_requerida_c,temperatura_conservacion_requerida_c: Valor faltante,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-018,365.0,107,IMPUTAR_TEMPERATURA_OBJETIVO,"Objetivo estimado por categoría, tolerancia y vida útil observada del producto",False,Seco,20.0,5.0,39.73,33.66,False,True,,False,False,SILVER,False,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
19,PROD-019,Producto Logistico 019,Seco,20.0,5.0,77.58,62.3,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-019,365.0,103,,,False,Seco,20.0,5.0,77.58,62.3,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
20,PROD-020,Producto Logistico 020,Seco,20.0,5.0,70.64,59.96,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-020,365.0,99,,,False,Seco,20.0,5.0,70.64,59.96,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
21,PROD-021,Producto Logistico 021,Fresco,4.0,2.0,103.68,83.07,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-021,18.0,95,,,False,Fresco,4.0,2.0,103.68,83.07,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
22, prod-022 ,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-022,18.0,114,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Fresco,4.0,2.0,29.94,24.66,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
23,PROD-023,Producto Logistico 023,Fresco,4.0,2.0,27.1,22.32,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-023,18.0,89,,,False,Fresco,4.0,2.0,27.1,22.32,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
24,PROD-024,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,REVISAR,ID equivalente a otro registro después de normalizar,OK,,OK,,OK,,OK,,OK,,OK,,1,False,REVISAR,producto_id,producto_id: ID equivalente a otro registro después de normalizar,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-024,365.0,102,,,False,Seco,20.0,5.0,19.63,16.74,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
25,PROD-025,Producto Logistico 025,Congelado,-18.0,2.0,66.82,54.32,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-025,180.0,94,,,False,Congelado,-18.0,2.0,66.82,54.32,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
26,PROD-026,Producto Logistico 026,conjelado,4.0,2.0,35.41,28.64,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-026,18.0,104,IMPUTAR_CATEGORIA,"Categoría inferida por objetivo, tolerancia y vida útil observada del producto",False,Fresco,4.0,2.0,35.41,28.64,True,False,,False,False,SILVER,False,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
27,PROD-027,Producto Logistico 027,Fresco,4.0,2.0,77.31,64.06,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-027,18.0,96,,,False,Fresco,4.0,2.0,77.31,64.06,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
28,PROD-028,Producto Logistico 028,conjelado,20.0,5.0,32.63,27.13,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-028,365.0,97,IMPUTAR_CATEGORIA,"Categoría inferida por objetivo, tolerancia y vida útil observada del producto",False,Seco,20.0,5.0,32.63,27.13,True,False,,False,False,SILVER,False,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
29,PROD-029,Producto Logistico 029,Seco,20.0,5.0,96.01,81.05,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-029,365.0,97,,,False,Seco,20.0,5.0,96.01,81.05,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
30,PROD-030,Producto Logistico 030,Seco,20.0,5.0,43.07,34.93,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-030,365.0,101,,,False,Seco,20.0,5.0,43.07,34.93,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
31, prod-031 ,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,CRITICO,Formato esperado: PROD-###,OK,,OK,,OK,,OK,,OK,,OK,,1,True,CRITICO,producto_id,producto_id: Formato esperado: PROD-###,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-031,365.0,99,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Seco,20.0,5.0,60.3,50.89,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
32,PROD-032,Producto Logistico 032,Seco,20.0,5.0,40.9,33.13,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-032,365.0,107,,,False,Seco,20.0,5.0,40.9,33.13,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
33,PROD-033,Producto Logistico 033,Seco,20.0,5.0,37.93,30.56,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-033,365.0,92,,,False,Seco,20.0,5.0,37.93,30.56,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
34,PROD-034,Producto Logistico 034,Fresco,4.0,2.0,65.96,54.4,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-034,18.0,98,,,False,Fresco,4.0,2.0,65.96,54.4,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
35,PROD-035,Producto Logistico 035,Congelado,-18.0,2.0,45.08,37.84,OK,,OK,,OK,,OK,,OK,,OK,,OK,,0,False,OK,,,GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-035,180.0,98,,,False,Congelado,-18.0,2.0,45.08,37.84,False,False,,False,False,SILVER,True,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
36,PROD-036,Producto Logistico 036,conjelado,4.0,2.0,67.93,58.54,OK,,OK,,CRITICO,"Categoría fuera de Fresco, Congelado o Seco",NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,NO_EVALUABLE,No se valida coherencia térmica con categoría no reconocida,OK,,OK,,3,True,CRITICO,categoria_logistica|temperatura_conservacion_requerida_c|tolerancia_temperatura_c,"categoria_logistica: Categoría fuera de Fresco, Congelado o Seco | temperatura_conservacion_requerida_c: No se valida coherencia térmica con categoría no reconocida | tolerancia_temperatura_c: No se valida coherencia térmica con categoría no reconocida",GIAD-M3-S4-PRODUCTOS-diagnostico-didactico-v1,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda,PROD-036,18.0,89,IMPUTAR_CATEGORIA,"Categoría inferida por objetivo, tolerancia y vida útil observada del producto",False,Fresco,4.0,2.0,67.93,58.54,True,False,,False,False,SILVER,False,GIAD-M3-S4-PRODUCTOS-tratamiento-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
