fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,producto_id_en_cuarentena,producto_id_motivo,nombre_producto_en_cuarentena,nombre_producto_motivo,categoria_logistica_en_cuarentena,categoria_logistica_motivo,temperatura_conservacion_requerida_c_en_cuarentena,temperatura_conservacion_requerida_c_motivo,tolerancia_temperatura_c_en_cuarentena,tolerancia_temperatura_c_motivo,precio_unitario_bob_en_cuarentena,precio_unitario_bob_motivo,costo_unitario_bob_en_cuarentena,costo_unitario_bob_motivo,en_cuarentena_diagnostico,producto_id_tratado,vida_util_observada_dias,lotes_respaldo_vida_util,acciones_tratamiento,motivos_tratamiento,producto_id_normalizado,categoria_logistica_tratada,temperatura_conservacion_requerida_c_tratada,tolerancia_temperatura_c_tratada,precio_unitario_bob_tratado,costo_unitario_bob_tratado,categoria_imputada,temperatura_imputada,motivo_cuarentena_final,precio_menor_costo,en_cuarentena_final,decision_tratamiento,apto_umbral_termico_observado
1,PROD-001,Producto Logistico 001,Fresco,4.0,2.0,23.7,20.26,False,,False,,False,,False,,False,,False,,False,,False,PROD-001,18.0,91,,,False,Fresco,4.0,2.0,23.7,20.26,False,False,,False,False,SILVER,True
2,PROD-002,Producto Logistico 002,Seco,20.0,5.0,101.83,82.37,False,,False,,False,,False,,False,,False,,False,,False,PROD-002,365.0,88,,,False,Seco,20.0,5.0,101.83,82.37,False,False,,False,False,SILVER,True
3,PROD-003,Producto Logistico 003,Seco,20.0,5.0,83.08,68.01,False,,False,,False,,False,,False,,False,,False,,False,PROD-003,365.0,94,,,False,Seco,20.0,5.0,83.08,68.01,False,False,,False,False,SILVER,True
4,PROD-004,Producto Logistico 004,Fresco,4.0,2.0,19.15,16.27,False,,False,,False,,False,,False,,False,,False,,False,PROD-004,18.0,119,,,False,Fresco,4.0,2.0,19.15,16.27,False,False,,False,False,SILVER,True
5,PROD-005,Producto Logistico 005,Seco,20.0,5.0,42.02,35.68,False,,False,,False,,False,,False,,False,,False,,False,PROD-005,365.0,113,,,False,Seco,20.0,5.0,42.02,35.68,False,False,,False,False,SILVER,True
6,PROD-006,Producto Logistico 006,Seco,20.0,5.0,34.76,29.49,False,,False,,False,,False,,False,,False,,False,,False,PROD-006,365.0,97,,,False,Seco,20.0,5.0,34.76,29.49,False,False,,False,False,SILVER,True
7,PROD-007,Producto Logistico 007,Seco,20.0,5.0,24.69,20.78,False,,False,,False,,False,,False,,False,,False,,False,PROD-007,365.0,100,,,False,Seco,20.0,5.0,24.69,20.78,False,False,,False,False,SILVER,True
8, prod-008 ,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,True,Formato esperado: PROD-###,False,,False,,False,,False,,False,,False,,True,PROD-008,180.0,103,NORMALIZAR_PRODUCTO_ID,Espacios y mayúsculas normalizados,True,Congelado,-18.0,2.0,92.06,79.52,False,False,,False,False,SILVER,True
9,PROD-009,Producto Logistico 009,Fresco,4.0,2.0,91.03,75.19,False,,False,,False,,False,,False,,False,,False,,False,PROD-009,18.0,79,,,False,Fresco,4.0,2.0,91.03,75.19,False,False,,False,False,SILVER,True
10,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,False,,False,,False,,False,,False,,False,,False,,False,PROD-010,365.0,102,,,False,Seco,20.0,5.0,21.93,18.97,False,False,,False,False,SILVER,True
