fila_bronze,order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,order_id_en_cuarentena,order_id_motivo,cliente_id_en_cuarentena,cliente_id_motivo,producto_id_en_cuarentena,producto_id_motivo,fecha_despacho_en_cuarentena,fecha_despacho_motivo,centro_distribucion_en_cuarentena,centro_distribucion_motivo,camion_id_en_cuarentena,camion_id_motivo,chofer_id_en_cuarentena,chofer_id_motivo,cantidad_solicitada_en_cuarentena,cantidad_solicitada_motivo,cantidad_entregada_en_cuarentena,cantidad_entregada_motivo,tiempo_entrega_prometido_hrs_en_cuarentena,tiempo_entrega_prometido_hrs_motivo,tiempo_entrega_real_hrs_en_cuarentena,tiempo_entrega_real_hrs_motivo,otif_on_time_en_cuarentena,otif_on_time_motivo,otif_in_full_en_cuarentena,otif_in_full_motivo,otif_en_cuarentena,otif_motivo,en_cuarentena_diagnostico,acciones_tratamiento,motivos_tratamiento,order_id_tratado,cliente_id_tratado,producto_id_tratado,camion_id_tratado,chofer_id_tratado,centro_distribucion_tratado,fecha_despacho_bolivia_tratada,fecha_normalizada,cantidad_solicitada_corregida_texto,cantidad_solicitada_tratado,cantidad_entregada_tratado,tiempo_entrega_prometido_hrs_tratado,tiempo_entrega_real_hrs_tratado,otif_on_time_tratado,otif_in_full_tratado,otif_tratado,cantidad_entregada_ausente,motivo_cuarentena_final,apta_kpi_otif,apta_modelo_predespacho,en_cuarentena_final,decision_tratamiento
417,ORD-2026-00417,CLI-078,PROD-038,2026-08-16 04:30:00,Oruro,CAM-03,CHO-046,197,197.0,72,-44.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-00417,CLI-078,PROD-038,CAM-03,CHO-046,Oruro,2026-08-16 04:30:00,False,False,197,197.0,72,-44.6,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
512,ORD-2026-00512,CLI-019,PROD-022,2026-08-11 04:28:00,Cochabamba,CAM-02,CHO-136,cincuenta,364.0,24,19.5,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-00512,CLI-019,PROD-022,CAM-02,CHO-136,Cochabamba,2026-08-11 04:28:00,False,True,50,364.0,24,19.5,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
813,ORD-2026-00813,CLI-046,PROD-028,2026-08-10 10:23:00,La Paz,CAM-04,CHO-110,312,312.0,24,-16.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-00813,CLI-046,PROD-028,CAM-04,CHO-110,La Paz,2026-08-10 10:23:00,False,False,312,312.0,24,-16.6,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
1060,ORD-2026-01060,CLI-080,PROD-001,2026-08-21 12:20:00,La Paz,CAM-28,CHO-094,cincuenta,421.0,72,53.0,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-01060,CLI-080,PROD-001,CAM-28,CHO-094,La Paz,2026-08-21 12:20:00,False,True,50,421.0,72,53.0,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
1187,ORD-2026-01187,CLI-035,PROD-050,2026-08-02 08:04:00,Tarija,CAM-19,CHO-074,57,57.0,24,-23.6,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-01187,CLI-035,PROD-050,CAM-19,CHO-074,Tarija,2026-08-02 08:04:00,False,False,57,57.0,24,-23.6,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
1222,ORD-2026-01222,CLI-057,PROD-044,2026-08-28 06:18:00,Santa Cruz,CAM-08,CHO-139,339,339.0,48,-37.2,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-01222,CLI-057,PROD-044,CAM-08,CHO-139,Santa Cruz,2026-08-28 06:18:00,False,False,339,339.0,48,-37.2,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
1343,ORD-2026-01343,CLI-003,PROD-027,2026-08-15 06:28:00,La Paz,CAM-15,CHO-130,136,136.0,72,-70.5,1,1,1,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-01343,CLI-003,PROD-027,CAM-15,CHO-130,La Paz,2026-08-15 06:28:00,False,False,136,136.0,72,-70.5,1,1,1,False,Tiempo real inválido,False,False,True,CUARENTENA
1907,ORD-2026-01907,CLI-010,PROD-003,2026-08-06 20:33:00,La Paz,CAM-15,CHO-011,cincuenta,430.0,48,35.3,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-01907,CLI-010,PROD-003,CAM-15,CHO-011,La Paz,2026-08-06 20:33:00,False,True,50,430.0,48,35.3,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
1966,ORD-2026-01966,CLI-082,PROD-024,2026-08-18 22:53:00,Tarija,CAM-19,CHO-025,cincuenta,236.0,72,71.7,1,1,1,False,,False,,False,,False,,False,,False,,False,,True,Valor no numérico,False,,False,,False,,False,,False,,False,,True,CONVERTIR_CANTIDAD_SOLICITADA_TEXTO,Conversión determinista de cincuenta a 50 unidades,ORD-2026-01966,CLI-082,PROD-024,CAM-19,CHO-025,Tarija,2026-08-18 22:53:00,False,True,50,236.0,72,71.7,1,1,1,False,Cantidad entregada inválida,False,False,True,CUARENTENA
2327,ORD-2026-02327,CLI-045,PROD-014,2026-08-22 20:49:00,Tarija,CAM-26,CHO-068,441,431.0,48,-25.0,1,0,0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,Tiempo real no puede ser negativo,False,,False,,False,,True,,,ORD-2026-02327,CLI-045,PROD-014,CAM-26,CHO-068,Tarija,2026-08-22 20:49:00,False,False,441,431.0,48,-25.0,1,0,0,False,Tiempo real inválido,False,False,True,CUARENTENA
