viaje_id,order_id,camion_id_tratado,producto_id,inicio_viaje,fin_viaje,n_lecturas,n_lecturas_observadas,temperatura_promedio_c,temperatura_maxima_c,n_desviaciones,categoria_logistica,tipo_camion,centro_distribucion,tuvo_desviacion,apto_kpi_termico_observado
VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 14:11:00,2026-08-12 01:41:00,24,24,4.89375,9.9,5,Fresco,Refrigerado,Oruro,True,True
VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-12 23:30:00,2026-08-13 11:00:00,24,24,19.297916666666666,24.32,0,Seco,Seco,La Paz,False,True
VIA-00003,ORD-2026-02991,CAM-29,PROD-057,2026-08-02 13:15:00,2026-08-03 00:45:00,24,24,19.99833333333333,22.64,0,Seco,Seco,Santa Cruz,False,True
VIA-00004,ORD-2026-06185,CAM-10,PROD-048,2026-08-02 19:25:00,2026-08-03 06:55:00,24,24,19.515833333333333,23.92,0,Seco,Refrigerado,La Paz,False,True
VIA-00005,ORD-2026-02796,CAM-25,PROD-009,2026-08-06 18:41:00,2026-08-07 06:11:00,24,24,3.9483333333333337,6.91,1,Fresco,Refrigerado,Cochabamba,True,True
VIA-00006,ORD-2026-01337,CAM-26,PROD-060,2026-08-11 11:27:00,2026-08-11 22:27:00,23,23,-18.093961352657004,-16.4,0,Congelado,Refrigerado,Tarija,False,True
VIA-00007,ORD-2026-01828,CAM-19,PROD-037,2026-08-21 17:06:00,2026-08-22 04:36:00,24,24,3.8020833333333335,5.04,2,Fresco,Refrigerado,Tarija,True,True
VIA-00008,ORD-2026-00548,CAM-28,PROD-004,2026-08-03 22:24:00,2026-08-04 09:54:00,24,24,5.364999999999999,11.32,5,Fresco,Refrigerado,La Paz,True,True
VIA-00009,ORD-2026-03793,CAM-20,PROD-043,2026-08-07 10:50:00,2026-08-07 22:20:00,24,24,-18.069583333333334,-16.87,1,Congelado,Refrigerado,Oruro,True,True
VIA-00010,ORD-2026-02783,CAM-14,PROD-059,2026-08-13 05:22:00,2026-08-13 16:52:00,23,22,19.954545454545453,22.72,0,Seco,Seco,Cochabamba,False,True
VIA-00011,ORD-2026-04604,CAM-15,PROD-058,2026-08-01 19:34:00,2026-08-02 07:04:00,24,24,-17.881666666666664,-16.81,0,Congelado,Refrigerado,La Paz,False,True
VIA-00012,ORD-2026-06047,CAM-20,PROD-010,2026-08-28 03:43:00,2026-08-28 15:13:00,24,24,20.278333333333332,23.78,0,Seco,Refrigerado,Oruro,False,True
VIA-00013,ORD-2026-02911,CAM-01,PROD-052,2026-08-15 19:49:00,2026-08-16 07:19:00,24,24,4.1875,5.63,0,Fresco,Refrigerado,Cochabamba,False,True
VIA-00014,ORD-2026-04373,CAM-08,PROD-047,2026-08-22 14:08:00,2026-08-23 01:38:00,24,24,4.2058333333333335,5.55,0,Fresco,Refrigerado,Santa Cruz,False,True
VIA-00015,ORD-2026-02421,CAM-15,PROD-037,2026-08-18 01:19:00,2026-08-18 12:49:00,24,24,4.0125,6.14,2,Fresco,Refrigerado,La Paz,True,True
