fila_bronze,viaje_id,order_id,camion_id_tratado,producto_id,timestamp_bolivia,temp_c,humedad_pct,objetivo_c,tolerancia_c,desvio_respecto_umbral_c,temp_lag1_c,temp_lag2_c,cambio_temp_c,pendiente_c_por_min,temp_media_historica_3,temp_max_historica_3,minutos_desde_inicio,categoria_logistica_tratada,tipo_camion_tratado,capacidad_kg_tratada,centro_distribucion_tratado,cantidad_solicitada_tratado,tiempo_entrega_prometido_hrs_tratado,temperatura_imputada_x,humedad_imputada,clasificacion_objetivo_60min,max_desvio_termico_proximos_60min_c,n_lecturas_futuras_60min,apta_clasificacion_60min,apta_regresion_60min
1,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 14:11:00,2.19,72.6,4.0,2.0,-0.18999999999999995,,,,,2.19,2.19,0.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.7599999999999998,2,True,True
2,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 14:41:00,4.91,75.0,4.0,2.0,-1.0899999999999999,2.19,,2.72,0.09066666666666667,3.55,4.91,30.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.7599999999999998,2,True,True
3,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 15:11:00,2.76,94.7,4.0,2.0,-0.7599999999999998,4.91,2.19,-2.1500000000000004,-0.07166666666666668,3.2866666666666666,4.91,60.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.5099999999999998,2,True,True
4,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 15:41:00,3.96,74.0,4.0,2.0,-1.96,2.76,4.91,1.2000000000000002,0.04000000000000001,3.8766666666666665,4.91,90.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.29000000000000004,2,True,True
5,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 16:11:00,4.49,70.3,4.0,2.0,-1.5099999999999998,3.96,2.76,0.5300000000000002,0.017666666666666674,3.736666666666667,4.49,120.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.29000000000000004,2,True,True
6,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 16:41:00,2.29,86.1,4.0,2.0,-0.29000000000000004,4.49,3.96,-2.2,-0.07333333333333333,3.58,4.49,150.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.48,2,True,True
7,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 17:11:00,3.76,85.6,4.0,2.0,-1.7599999999999998,2.29,4.49,1.4699999999999998,0.048999999999999995,3.513333333333333,4.49,180.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.8500000000000001,2,True,True
8,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 17:41:00,3.48,80.85,4.0,2.0,-1.48,3.76,2.29,-0.2799999999999998,-0.009333333333333327,3.1766666666666663,3.76,210.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,True,0,-0.8500000000000001,2,True,True
9,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 18:11:00,2.85,76.1,4.0,2.0,-0.8500000000000001,3.48,3.76,-0.6299999999999999,-0.020999999999999998,3.3633333333333333,3.76,240.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.5699999999999998,2,True,True
10,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 18:41:00,3.57,76.9,4.0,2.0,-1.5699999999999998,2.85,3.48,0.7199999999999998,0.02399999999999999,3.3000000000000003,3.57,270.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.83,2,True,True
11,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 19:11:00,4.17,87.7,4.0,2.0,-1.83,3.57,2.85,0.6000000000000001,0.020000000000000004,3.53,4.17,300.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.63,2,True,True
12,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 19:41:00,4.09,70.2,4.0,2.0,-1.9100000000000001,4.17,3.57,-0.08000000000000007,-0.002666666666666669,3.9433333333333334,4.17,330.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.1299999999999999,2,True,True
13,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 20:11:00,3.63,78.9,4.0,2.0,-1.63,4.09,4.17,-0.45999999999999996,-0.015333333333333332,3.9633333333333334,4.17,360.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.1299999999999999,2,True,True
14,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 20:41:00,2.13,73.2,4.0,2.0,-0.1299999999999999,3.63,4.09,-1.5,-0.05,3.283333333333333,4.09,390.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.71,2,True,True
