fila_bronze,viaje_id,order_id,camion_id_tratado,producto_id,timestamp_bolivia,temp_c,humedad_pct,objetivo_c,tolerancia_c,desvio_respecto_umbral_c,temp_lag1_c,temp_lag2_c,cambio_temp_c,pendiente_c_por_min,temp_media_historica_3,temp_max_historica_3,minutos_desde_inicio,categoria_logistica_tratada,tipo_camion_tratado,capacidad_kg_tratada,centro_distribucion_tratado,cantidad_solicitada_tratado,tiempo_entrega_prometido_hrs_tratado,temperatura_imputada_x,humedad_imputada,clasificacion_objetivo_60min,max_desvio_termico_proximos_60min_c,n_lecturas_futuras_60min,apta_clasificacion_60min,apta_regresion_60min,eventos_previos_60m,eventos_previos_180m,eventos_previos_24h,alertas_temp_previas_60m,alertas_temp_previas_180m,alertas_temp_previas_24h,fallas_motor_previas_24h,eventos_alta_previos_24h,eventos_no_reconocidos_previos_24h,reconocimiento_faltante_previos_24h,minutos_desde_ultimo_evento,minutos_desde_ultima_alerta_temp,umbral_eventos_temp_cabina_c,geocerca_eventos_radio_km,ultimo_mantenimiento_eventos,dias_desde_ultimo_mantenimiento_eventos,tiene_evento_previo_24h,tiene_alerta_temp_previa_24h
1,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 14:11:00,2.19,72.6,4.0,2.0,-0.1899999999999999,,,,,2.19,2.19,0.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.7599999999999998,2,True,True,0,0,1,0,0,0,0,0,0,0,1363.0,,7.6,24.8,2026-07-22,20.590972222222224,True,False
2,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 14:41:00,4.91,75.0,4.0,2.0,-1.09,2.19,,2.72,0.0906666666666666,3.55,4.91,30.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.7599999999999998,2,True,True,0,0,1,0,0,0,0,0,0,0,1393.0,,7.6,24.8,2026-07-22,20.611805555555556,True,False
3,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 15:11:00,2.76,94.7,4.0,2.0,-0.7599999999999998,4.91,2.19,-2.1500000000000004,-0.0716666666666666,3.286666666666666,4.91,60.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.5099999999999998,2,True,True,0,0,1,0,0,0,0,0,0,0,1423.0,,7.6,24.8,2026-07-22,20.632638888888888,True,False
4,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 15:41:00,3.96,74.0,4.0,2.0,-1.96,2.76,4.91,1.2000000000000002,0.04,3.8766666666666665,4.91,90.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.29,2,True,True,0,0,0,0,0,0,0,0,0,0,1453.0,,7.6,24.8,2026-07-22,20.653472222222224,False,False
5,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 16:11:00,4.49,70.3,4.0,2.0,-1.5099999999999998,3.96,2.76,0.5300000000000002,0.0176666666666666,3.736666666666667,4.49,120.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.29,2,True,True,0,0,0,0,0,0,0,0,0,0,1483.0,,7.6,24.8,2026-07-22,20.674305555555556,False,False
6,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 16:41:00,2.29,86.1,4.0,2.0,-0.29,4.49,3.96,-2.2,-0.0733333333333333,3.58,4.49,150.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.48,2,True,True,0,0,0,0,0,0,0,0,0,0,1513.0,,7.6,24.8,2026-07-22,20.695138888888888,False,False
7,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 17:11:00,3.76,85.6,4.0,2.0,-1.7599999999999998,2.29,4.49,1.4699999999999998,0.0489999999999999,3.513333333333333,4.49,180.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.8500000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,1543.0,,7.6,24.8,2026-07-22,20.715972222222224,False,False
8,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 17:41:00,3.48,80.85,4.0,2.0,-1.48,3.76,2.29,-0.2799999999999998,-0.0093333333333333,3.1766666666666663,3.76,210.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,True,0,-0.8500000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,1573.0,,7.6,24.8,2026-07-22,20.736805555555556,False,False
9,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 18:11:00,2.85,76.1,4.0,2.0,-0.8500000000000001,3.48,3.76,-0.6299999999999999,-0.0209999999999999,3.3633333333333333,3.76,240.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.5699999999999998,2,True,True,0,0,0,0,0,0,0,0,0,0,1603.0,,7.6,24.8,2026-07-22,20.757638888888888,False,False
10,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 18:41:00,3.57,76.9,4.0,2.0,-1.5699999999999998,2.85,3.48,0.7199999999999998,0.0239999999999999,3.3000000000000003,3.57,270.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.83,2,True,True,0,0,0,0,0,0,0,0,0,0,1633.0,,7.6,24.8,2026-07-22,20.778472222222224,False,False
11,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 19:11:00,4.17,87.7,4.0,2.0,-1.83,3.57,2.85,0.6000000000000001,0.02,3.53,4.17,300.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.63,2,True,True,0,0,0,0,0,0,0,0,0,0,1663.0,,7.6,24.8,2026-07-22,20.799305555555556,False,False
12,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 19:41:00,4.09,70.2,4.0,2.0,-1.91,4.17,3.57,-0.08,-0.0026666666666666,3.943333333333333,4.17,330.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.1299999999999999,2,True,True,0,0,0,0,0,0,0,0,0,0,1693.0,,7.6,24.8,2026-07-22,20.820138888888888,False,False
13,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 20:11:00,3.63,78.9,4.0,2.0,-1.63,4.09,4.17,-0.4599999999999999,-0.0153333333333333,3.963333333333333,4.17,360.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.1299999999999999,2,True,True,0,0,0,0,0,0,0,0,0,0,1723.0,,7.6,24.8,2026-07-22,20.840972222222224,False,False
14,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 20:41:00,2.13,73.2,4.0,2.0,-0.1299999999999999,3.63,4.09,-1.5,-0.05,3.283333333333333,4.09,390.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.71,2,True,True,0,0,0,0,0,0,0,0,0,0,1753.0,,7.6,24.8,2026-07-22,20.861805555555556,False,False
15,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 21:11:00,4.11,81.7,4.0,2.0,-1.89,2.13,3.63,1.9800000000000004,0.066,3.2900000000000005,4.11,420.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,2.93,2,True,True,0,0,0,0,0,0,0,0,0,0,1783.0,,7.6,24.8,2026-07-22,20.882638888888888,False,False
16,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 21:41:00,5.29,76.7,4.0,2.0,-0.71,4.11,2.13,1.1799999999999995,0.0393333333333333,3.8433333333333337,5.29,450.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.42,2,True,True,0,0,0,0,0,0,0,0,0,0,1813.0,,7.6,24.8,2026-07-22,20.903472222222224,False,False
17,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 22:11:00,8.93,80.2,4.0,2.0,2.93,5.29,4.11,3.64,0.1213333333333333,6.11,8.93,480.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.9,2,True,True,0,0,0,0,0,0,0,0,0,0,1843.0,,7.6,24.8,2026-07-22,20.924305555555556,False,False
18,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 22:41:00,9.42,75.2,4.0,2.0,3.42,8.93,5.29,0.4900000000000002,0.0163333333333333,7.88,9.42,510.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.9,2,True,True,0,0,0,0,0,0,0,0,0,0,1873.0,,7.6,24.8,2026-07-22,20.945138888888888,False,False
19,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 23:11:00,9.9,87.9,4.0,2.0,3.9,9.42,8.93,0.4800000000000004,0.016,9.416666666666666,9.9,540.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.390000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,1903.0,,7.6,24.8,2026-07-22,20.965972222222224,False,False
20,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-11 23:41:00,9.28,87.0,4.0,2.0,3.28,9.9,9.42,-0.620000000000001,-0.0206666666666667,9.533333333333331,9.9,570.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,1,3.390000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,1933.0,,7.6,24.8,2026-07-22,20.986805555555556,False,False
21,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-12 00:11:00,9.39,79.3,4.0,2.0,3.390000000000001,9.28,9.9,0.1100000000000012,0.0036666666666667,9.523333333333332,9.9,600.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-1.39,2,True,True,0,0,0,0,0,0,0,0,0,0,1963.0,,7.6,24.8,2026-07-22,21.007638888888888,False,False
22,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-12 00:41:00,3.39,82.1,4.0,2.0,-1.39,9.39,9.28,-6.0,-0.2,7.353333333333334,9.39,630.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.8700000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,1993.0,,7.6,24.8,2026-07-22,21.028472222222224,False,False
23,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-12 01:11:00,4.33,85.4,4.0,2.0,-1.67,3.39,9.39,0.94,0.0313333333333333,5.703333333333334,9.39,660.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,-0.8700000000000001,1,True,True,0,0,0,0,0,0,0,0,0,0,2023.0,,7.6,24.8,2026-07-22,21.049305555555556,False,False
24,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2026-08-12 01:41:00,5.13,85.7,4.0,2.0,-0.8700000000000001,4.33,3.39,0.7999999999999998,0.0266666666666666,4.283333333333334,5.13,690.0,Fresco,Refrigerado,12000,Oruro,349.0,72.0,False,False,0,,0,True,False,0,0,0,0,0,0,0,0,0,0,2053.0,,7.6,24.8,2026-07-22,21.070138888888888,False,False
25,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-12 23:30:00,19.62,52.0,20.0,5.0,-4.620000000000001,,,,,19.62,19.62,0.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-0.6799999999999997,2,True,True,0,1,1,0,0,0,0,0,1,0,160.0,,6.4,49.8,2026-08-17,-4.020833333333333,True,False
26,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 00:00:00,19.82,43.4,20.0,5.0,-4.82,19.62,,0.1999999999999993,0.0066666666666666,19.72,19.82,30.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-0.6799999999999997,2,True,True,0,0,1,0,0,0,0,0,1,0,190.0,,6.4,49.8,2026-08-17,-4.0,True,False
27,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 00:30:00,24.32,51.9,20.0,5.0,-0.6799999999999997,19.82,19.62,4.5,0.15,21.25333333333333,24.32,60.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-4.16,2,True,True,0,0,1,0,0,0,0,0,1,0,220.0,,6.4,49.8,2026-08-17,-3.9791666666666665,True,False
28,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 01:00:00,19.16,55.7,20.0,5.0,-4.16,24.32,19.82,-5.16,-0.172,21.1,24.32,90.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.0500000000000007,2,True,True,0,0,1,0,0,0,0,0,1,0,250.0,,6.4,49.8,2026-08-17,-3.9583333333333335,True,False
29,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 01:30:00,19.5,47.1,20.0,5.0,-4.5,19.16,24.32,0.3399999999999998,0.0113333333333333,20.993333333333336,24.32,120.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.0500000000000007,2,True,True,0,0,1,0,0,0,0,0,1,0,280.0,,6.4,49.8,2026-08-17,-3.9375,True,False
30,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 02:00:00,18.05,53.7,20.0,5.0,-3.0500000000000007,19.5,19.16,-1.4499999999999993,-0.0483333333333333,18.90333333333333,19.5,150.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.59,2,True,True,0,0,1,0,0,0,0,0,1,0,310.0,,6.4,49.8,2026-08-17,-3.9166666666666665,True,False
31,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 02:30:00,18.97,57.2,20.0,5.0,-3.969999999999999,18.05,19.5,0.9199999999999982,0.0306666666666666,18.84,19.5,180.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.59,2,True,True,0,0,1,0,0,0,0,0,1,0,340.0,,6.4,49.8,2026-08-17,-3.8958333333333335,True,False
32,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 03:00:00,18.59,46.7,20.0,5.0,-3.59,18.97,18.05,-0.379999999999999,-0.0126666666666666,18.536666666666665,18.97,210.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-4.489999999999998,2,True,True,0,0,1,0,0,0,0,0,1,0,370.0,,6.4,49.8,2026-08-17,-3.875,True,False
33,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 03:30:00,19.49,58.9,20.0,5.0,-4.489999999999998,18.59,18.97,0.8999999999999986,0.0299999999999999,19.016666666666666,19.49,240.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-4.43,2,True,True,0,0,1,0,0,0,0,0,1,0,400.0,,6.4,49.8,2026-08-17,-3.8541666666666665,True,False
34,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 04:00:00,19.63,59.6,20.0,5.0,-4.629999999999999,19.49,18.59,0.1400000000000005,0.0046666666666666,19.236666666666668,19.63,270.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.120000000000001,2,True,True,0,0,1,0,0,0,0,0,1,0,430.0,,6.4,49.8,2026-08-17,-3.8333333333333335,True,False
35,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 04:30:00,19.43,50.5,20.0,5.0,-4.43,19.63,19.49,-0.1999999999999993,-0.0066666666666666,19.516666666666666,19.63,300.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-2.120000000000001,2,True,True,0,0,1,0,0,0,0,0,1,0,460.0,,6.4,49.8,2026-08-17,-3.8125,True,False
36,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 05:00:00,17.12,61.2,20.0,5.0,-2.120000000000001,19.43,19.63,-2.3099999999999987,-0.0769999999999999,18.72666666666667,19.63,330.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.390000000000001,2,True,True,0,0,1,0,0,0,0,0,1,0,490.0,,6.4,49.8,2026-08-17,-3.7916666666666665,True,False
37,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 05:30:00,21.61,41.0,20.0,5.0,-3.390000000000001,17.12,19.43,4.489999999999998,0.1496666666666666,19.386666666666667,21.61,360.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.43,2,True,True,0,0,1,0,0,0,0,0,1,0,520.0,,6.4,49.8,2026-08-17,-3.7708333333333335,True,False
38,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,2026-08-13 06:00:00,18.43,48.0,20.0,5.0,-3.43,21.61,17.12,-3.18,-0.106,19.05333333333333,21.61,390.0,Seco,Seco,8000,La Paz,479.0,24.0,False,False,0,-3.98,2,True,True,0,0,1,0,0,0,0,0,1,0,550.0,,6.4,49.8,2026-08-17,-3.75,True,False
