viaje_id,inicio,fin,particion,motivo
VIA-00942,2026-08-01 00:10:00,2026-08-01 11:10:00,AJUSTE,
VIA-00037,2026-08-01 00:26:00,2026-08-01 11:26:00,AJUSTE,
VIA-01004,2026-08-01 00:30:00,2026-08-01 11:30:00,AJUSTE,
VIA-00778,2026-08-01 00:39:00,2026-08-01 11:39:00,AJUSTE,
VIA-00747,2026-08-01 01:21:00,2026-08-01 12:21:00,AJUSTE,
VIA-00945,2026-08-01 01:21:00,2026-08-01 12:21:00,AJUSTE,
VIA-01066,2026-08-01 01:30:00,2026-08-01 12:30:00,AJUSTE,
VIA-00706,2026-08-01 02:27:00,2026-08-01 13:27:00,AJUSTE,
VIA-00669,2026-08-01 03:08:00,2026-08-01 14:08:00,AJUSTE,
VIA-00752,2026-08-01 03:28:00,2026-08-01 14:28:00,AJUSTE,
VIA-01147,2026-08-01 05:24:00,2026-08-01 16:24:00,AJUSTE,
VIA-00855,2026-08-01 07:37:00,2026-08-01 18:37:00,AJUSTE,
VIA-00493,2026-08-01 08:35:00,2026-08-01 19:35:00,AJUSTE,
VIA-00380,2026-08-01 09:08:00,2026-08-01 20:08:00,AJUSTE,
VIA-00112,2026-08-01 09:35:00,2026-08-01 20:35:00,AJUSTE,
VIA-00237,2026-08-01 09:41:00,2026-08-01 20:41:00,AJUSTE,
VIA-00432,2026-08-01 10:12:00,2026-08-01 21:12:00,AJUSTE,
VIA-00428,2026-08-01 11:01:00,2026-08-01 22:01:00,AJUSTE,
VIA-00693,2026-08-01 11:33:00,2026-08-01 22:33:00,AJUSTE,
VIA-00816,2026-08-01 11:59:00,2026-08-01 22:59:00,AJUSTE,
VIA-00412,2026-08-01 12:28:00,2026-08-01 23:28:00,AJUSTE,
VIA-01197,2026-08-01 12:28:00,2026-08-01 23:28:00,AJUSTE,
VIA-00381,2026-08-01 13:11:00,2026-08-02 00:11:00,AJUSTE,
VIA-00946,2026-08-01 14:06:00,2026-08-02 01:06:00,AJUSTE,
VIA-01163,2026-08-01 14:13:00,2026-08-02 01:13:00,AJUSTE,
VIA-00382,2026-08-01 14:28:00,2026-08-02 01:28:00,AJUSTE,
VIA-00690,2026-08-01 16:26:00,2026-08-02 03:26:00,AJUSTE,
VIA-00547,2026-08-01 17:07:00,2026-08-02 04:07:00,AJUSTE,
