modelo,familia_variables,accuracy,balanced_accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,tasa_alertas
Random Forest Base,base,0.9519477490086308,0.6688213329575877,0.3333333333333333,0.36423841059602646,0.34810126582278483,0.3980520136412288,0.7634964197420164,4026,110,96,55,165,0.03848845346396081
Random Forest Con eventos,eventos,0.9461161651504548,0.668989457773451,0.2916666666666667,0.3708609271523179,0.32653061224489793,0.39001292198219356,0.7599657986088872,4000,136,95,56,192,0.04478656403079076
Logística Base C=1.0 peso=ninguno,base,0.9720083974807557,0.6345526919184803,0.803921568627451,0.271523178807947,0.40594059405940597,0.360762100453891,0.7439330959304188,4126,10,110,41,51,0.011896431070678797
Logística Base C=0.2 peso=ninguno,base,0.9717751341264287,0.6312414336403346,0.8,0.26490066225165565,0.39800995024875624,0.35948109016018015,0.7456079393341617,4126,10,111,40,50,0.011663167716351761
Logística Base C=5.0 peso=ninguno,base,0.9720083974807557,0.6345526919184803,0.803921568627451,0.271523178807947,0.40594059405940597,0.3592765371257871,0.7421061395980376,4126,10,110,41,51,0.011896431070678797
Logística Base C=0.05 peso=ninguno,base,0.9722416608350828,0.6346735816670296,0.82,0.271523178807947,0.4079601990049751,0.35653911883211353,0.7480305378713157,4127,9,110,41,50,0.011663167716351761
Logística Base C=0.05 peso=balanced,base,0.7860975040821087,0.6721990405677175,0.0890557939914163,0.5496688741721855,0.15327793167128348,0.35239672815224143,0.7423687345485287,3287,849,68,83,932,0.21740144623279684
Logística Con eventos C=1.0 peso=ninguno,eventos,0.9720083974807557,0.6345526919184803,0.803921568627451,0.271523178807947,0.40594059405940597,0.3514843887786998,0.7295223974278504,4126,10,110,41,51,0.011896431070678797
Logística Con eventos C=0.2 peso=ninguno,eventos,0.9717751341264287,0.6280510651107383,0.8125,0.2582781456953642,0.39195979899497485,0.3505898364229046,0.7322620313320609,4127,9,112,39,48,0.01119664100769769
Logística Con eventos C=5.0 peso=ninguno,eventos,0.9720083974807557,0.6345526919184803,0.803921568627451,0.271523178807947,0.40594059405940597,0.34986851703413596,0.7287762434831618,4126,10,110,41,51,0.011896431070678797
Logística Base C=0.2 peso=balanced,base,0.7867972941450898,0.6725617098133654,0.08934337997847147,0.5496688741721855,0.1537037037037037,0.3467489413905712,0.7406682721252259,3290,846,68,83,929,0.2167016561698157
Logística Con eventos C=0.05 peso=ninguno,eventos,0.9715418707721017,0.6247398068325926,0.8085106382978723,0.25165562913907286,0.3838383838383838,0.3462747492644473,0.7332499647738482,4127,9,113,38,47,0.010963377653370656
Logística Base C=1.0 peso=balanced,base,0.7837648705388384,0.6709901430822243,0.0881104033970276,0.5496688741721855,0.15187557182067704,0.3453162355741779,0.7392704343704766,3277,859,68,83,942,0.21973407977606718
Logística Base C=5.0 peso=balanced,base,0.7837648705388384,0.6709901430822243,0.0881104033970276,0.5496688741721855,0.15187557182067704,0.344088100521787,0.738833309849232,3277,859,68,83,942,0.21973407977606718
Logística Con eventos C=0.05 peso=balanced,eventos,0.7942617214835549,0.6572879705893655,0.08700564971751412,0.5099337748344371,0.14864864864864866,0.3277238234864289,0.7219823997335622,3328,808,74,77,885,0.20643806857942618
Logística Con eventos C=0.2 peso=balanced,eventos,0.7907627711686495,0.649093887301933,0.08370535714285714,0.4966887417218543,0.14326647564469913,0.3247323132567675,0.7199312769800299,3315,821,76,75,896,0.20900396547702357
Logística Con eventos C=1.0 peso=balanced,eventos,0.788196874271052,0.6477641000678904,0.08269018743109151,0.4966887417218543,0.14177693761814744,0.32370406767619897,0.7187367901930393,3304,832,76,75,907,0.21156986237462094
Logística Con eventos C=5.0 peso=balanced,eventos,0.7884301376253791,0.6478849898164397,0.08278145695364239,0.4966887417218543,0.14191106906338694,0.3232431368964198,0.7184773976199931,3305,831,76,75,906,0.21133659902029392
Dummy mayoritaria,base,0.9647772334966177,0.5,0.0,0.0,0.0,0.03522276650338232,0.5,4136,0,151,0,0,0.0
