umbral,accuracy,balanced_accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,tasa_alertas,costo_relativo
0.01,0.03522276650338232,0.5,0.03522276650338232,1.0,0.06804867057232988,0.3980520136412288,0.7634964197420164,0,4136,0,151,4287,1.0,4136
0.02,0.035456029857709355,0.5001208897485493,0.035230984601026596,1.0,0.06806400721208024,0.3980520136412288,0.7634964197420164,1,4135,0,151,4286,0.999766736645673,4135
0.03,0.03778866340097971,0.5013297872340425,0.0353133769878391,1.0,0.06821775468714705,0.3980520136412288,0.7634964197420164,11,4125,0,151,4276,0.9974341031024027,4125
0.04,0.04478656403079076,0.5049564796905223,0.03556288271314178,1.0,0.06868319308619514,0.3980520136412288,0.7634964197420164,41,4095,0,151,4246,0.9904362024725916,4095
0.05,0.053417308140891066,0.5062390318572508,0.03565486094604231,0.9933774834437086,0.06883891693437356,0.3980520136412288,0.7634964197420164,79,4057,1,150,4207,0.9813389316538372,4062
0.06,0.06787963610916725,0.5137341962673089,0.03618817852834741,0.9933774834437086,0.06983240223463687,0.3980520136412288,0.7634964197420164,141,3995,1,150,4145,0.966876603685561,4000
0.07,0.09097270818754374,0.5193215443144991,0.03661553686293914,0.9801324503311258,0.07059384688766993,0.3980520136412288,0.7634964197420164,242,3894,3,148,4042,0.9428504781898763,3909
0.08,0.12176347095871239,0.5352789911230097,0.037851662404092073,0.9801324503311258,0.07288845112041369,0.3980520136412288,0.7634964197420164,374,3762,3,148,3910,0.9120597154187077,3777
0.09,0.15442034056449733,0.552203555919915,0.039257294429708225,0.9801324503311258,0.07549094618719715,0.3980520136412288,0.7634964197420164,514,3622,3,148,3770,0.8794028458129228,3637
0.1,0.18334499650104968,0.5640035162104347,0.040340285400658614,0.9735099337748344,0.0774703557312253,0.3980520136412288,0.7634964197420164,639,3497,4,147,3644,0.8500116631677164,3517
0.11,0.2059715418707721,0.5725394532901226,0.04118476727785614,0.9668874172185431,0.07900432900432901,0.3980520136412288,0.7634964197420164,737,3399,5,146,3545,0.8269185910893398,3424
0.12,0.22463261021693492,0.5758298961148757,0.041606472117885006,0.9536423841059603,0.07973421926910298,0.3980520136412288,0.7634964197420164,819,3317,7,144,3461,0.8073244693258689,3352
0.13,0.23816188476790295,0.5764607644715437,0.041776993233303916,0.9403973509933775,0.08,0.3980520136412288,0.7634964197420164,879,3257,9,142,3399,0.7928621413575927,3302
0.14,0.25332400279916023,0.5843185981272496,0.04259148170365927,0.9403973509933775,0.08149210903873745,0.3980520136412288,0.7634964197420164,944,3192,9,142,3334,0.7777000233263355,3237
0.15,0.26941917424772566,0.592659990777153,0.04349157733537519,0.9403973509933775,0.08313817330210772,0.3980520136412288,0.7634964197420164,1013,3123,9,142,3265,0.76160485187777,3168
0.16,0.2878469792395615,0.5862584382645676,0.0431360201511335,0.9072847682119205,0.08235647730688307,0.3980520136412288,0.7634964197420164,1097,3039,14,137,3176,0.7408444133426638,3109
0.17,0.3125728947982272,0.5926920145516031,0.04403131115459882,0.8940397350993378,0.083929126515387,0.3980520136412288,0.7634964197420164,1205,2931,16,135,3066,0.71518544436669,3011
0.18,0.33683228364823886,0.5893127057527509,0.04403794037940379,0.8609271523178808,0.0837898807605543,0.3980520136412288,0.7634964197420164,1314,2822,21,130,2952,0.688593421973408,2927
0.19,0.363890832750175,0.600145548054876,0.04551870148200424,0.8543046357615894,0.0864321608040201,0.3980520136412288,0.7634964197420164,1431,2705,22,129,2834,0.6610683461628178,2815
0.2,0.39351527874970843,0.6091178090614472,0.04698483166851646,0.8410596026490066,0.0889978976874562,0.3980520136412288,0.7634964197420164,1560,2576,24,127,2703,0.6305108467459762,2696
0.21,0.42150688126895264,0.6140534732985768,0.04811796662786186,0.8211920529801324,0.09090909090909091,0.3980520136412288,0.7634964197420164,1683,2453,27,124,2577,0.6011196641007698,2588
0.22,0.45136459062281314,0.6135755184649083,0.04879048790487905,0.7880794701986755,0.0918918918918919,0.3980520136412288,0.7634964197420164,1816,2320,32,119,2439,0.5689293212036389,2480
0.23,0.48588756706321434,0.6250864641910154,0.05115872321818977,0.7748344370860927,0.09598031173092698,0.3980520136412288,0.7634964197420164,1966,2170,34,117,2287,0.5334732913459296,2340
0.24,0.5136459062281316,0.6362819757387885,0.05355493998153278,0.7682119205298014,0.10012947777298231,0.3980520136412288,0.7634964197420164,2086,2050,35,116,2166,0.5052484254723583,2225
0.25,0.5421040354560298,0.6446497880026132,0.05588235294117647,0.7549668874172185,0.10406207211319032,0.3980520136412288,0.7634964197420164,2210,1926,37,114,2040,0.47585724282715186,2111
0.26,0.5740611149988337,0.6548309464946777,0.05897840968931016,0.7417218543046358,0.10926829268292683,0.3980520136412288,0.7634964197420164,2349,1787,39,112,1899,0.4429671098670399,1982
0.27,0.6013529274550968,0.6625943100157556,0.06186726659167604,0.7284768211920529,0.11404872991187144,0.3980520136412288,0.7634964197420164,2468,1668,41,110,1778,0.41474224399346865,1873
0.28,0.6274784231397248,0.6761339618532798,0.06602641056422569,0.7284768211920529,0.12107870115575124,0.3980520136412288,0.7634964197420164,2580,1556,41,110,1666,0.3886167483088407,1761
0.29,0.648938651737812,0.6808750816606248,0.06878980891719745,0.7152317880794702,0.12550842533410808,0.3980520136412288,0.7634964197420164,2674,1462,43,108,1570,0.3662234662934453,1677
0.3,0.6743643573594589,0.6908616957229047,0.07333790267306374,0.7086092715231788,0.13291925465838508,0.3980520136412288,0.7634964197420164,2784,1352,44,107,1459,0.3403312339631444,1572
0.31,0.6946582691859109,0.7013791038466958,0.07798833819241982,0.7086092715231788,0.14051214707813525,0.3980520136412288,0.7634964197420164,2871,1265,44,107,1372,0.32003732213669234,1485
0.32,0.7128528108234197,0.7044277671743502,0.08139534883720931,0.695364238410596,0.1457321304649549,0.3980520136412288,0.7634964197420164,2951,1185,46,105,1290,0.3009097270818754,1415
0.33,0.7294145089806391,0.7066302022621594,0.08477366255144032,0.6821192052980133,0.15080527086383602,0.3980520136412288,0.7634964197420164,3024,1112,48,103,1215,0.2834149755073478,1352
0.34,0.7431770468859342,0.7073819603673768,0.0876736111111111,0.6688741721854304,0.15502686108979277,0.3980520136412288,0.7634964197420164,3085,1051,50,101,1152,0.26871938418474456,1301
0.35,0.7609050618147889,0.7133792127275289,0.0931098696461825,0.6622516556291391,0.16326530612244897,0.3980520136412288,0.7634964197420164,3162,974,51,100,1074,0.25052484254723584,1229
0.36,0.7732680195941217,0.7134056323414503,0.09636184857423795,0.6490066225165563,0.1678082191780822,0.3980520136412288,0.7634964197420164,3217,919,53,98,1017,0.23722883135059483,1184
0.37,0.7898297177513413,0.7028465933108741,0.09850107066381156,0.609271523178808,0.1695852534562212,0.3980520136412288,0.7634964197420164,3294,842,59,92,934,0.2178679729414509,1137
0.38,0.8026592022393282,0.7063051609514903,0.10376282782212087,0.6026490066225165,0.17704280155642024,0.3980520136412288,0.7634964197420164,3350,786,60,91,877,0.20457196174480988,1086
0.39,0.8147888966643341,0.7030203222872661,0.10744810744810745,0.5827814569536424,0.18144329896907216,0.3980520136412288,0.7634964197420164,3405,731,63,88,819,0.19104268719384185,1046
0.4,0.8294844879869373,0.707446007916277,0.11538461538461539,0.5761589403973509,0.19226519337016573,0.3980520136412288,0.7634964197420164,3469,667,64,87,754,0.17588056916258457,987
0.41,0.847212502915792,0.7102528917468328,0.1261127596439169,0.5629139072847682,0.20606060606060606,0.3980520136412288,0.7634964197420164,3547,589,66,85,674,0.15721950081642175,919
0.42,0.8633076743643574,0.7090231788079471,0.13689482470784642,0.543046357615894,0.21866666666666668,0.3980520136412288,0.7634964197420164,3619,517,69,82,599,0.1397247492418941,862
0.43,0.8763704222066714,0.6998411620787273,0.14446529080675422,0.5099337748344371,0.22514619883040934,0.3980520136412288,0.7634964197420164,3680,456,74,77,533,0.12432936785630977,826
0.44,0.893631910426872,0.7055966349417808,0.16630196936542668,0.5033112582781457,0.25,0.3980520136412288,0.7634964197420164,3755,381,75,76,457,0.1066013529274551,756
0.45,0.907627711686494,0.7000885457363546,0.18508997429305912,0.4768211920529801,0.26666666666666666,0.3980520136412288,0.7634964197420164,3819,317,79,72,389,0.0907394448332167,712
0.46,0.9202239328201539,0.6906647495100362,0.20615384615384616,0.44370860927152317,0.2815126050420168,0.3980520136412288,0.7634964197420164,3878,258,84,67,325,0.07581059015628645,678
0.47,0.9304875204105435,0.683222424327821,0.23076923076923078,0.41721854304635764,0.2971698113207547,0.3980520136412288,0.7634964197420164,3926,210,88,63,273,0.06368089573128062,650
0.48,0.9400513179379519,0.6817981669591505,0.2675438596491228,0.40397350993377484,0.32189973614775724,0.3980520136412288,0.7634964197420164,3969,167,90,61,228,0.05318404478656403,617
0.49,0.947515745276417,0.669714796264747,0.3010752688172043,0.3708609271523179,0.3323442136498516,0.3980520136412288,0.7634964197420164,4006,130,95,56,186,0.04338698390482855,605
0.5,0.9519477490086308,0.6688213329575877,0.3333333333333333,0.36423841059602646,0.34810126582278483,0.3980520136412288,0.7634964197420164,4026,110,96,55,165,0.03848845346396081,590
0.51,0.9573128061581525,0.6684114286446258,0.38571428571428573,0.3576158940397351,0.3711340206185567,0.3980520136412288,0.7634964197420164,4050,86,97,54,140,0.032656869605784934,571
0.52,0.9636109167249826,0.6652947147962647,0.47706422018348627,0.3443708609271523,0.4,0.3980520136412288,0.7634964197420164,4079,57,99,52,109,0.025425705621646838,552
0.53,0.967109867039888,0.6671080610245046,0.5531914893617021,0.3443708609271523,0.42448979591836733,0.3980520136412288,0.7634964197420164,4094,42,99,52,94,0.021926755306741312,537
0.54,0.9682761838115233,0.6677125097672512,0.5842696629213483,0.3443708609271523,0.43333333333333335,0.3980520136412288,0.7634964197420164,4099,37,99,52,89,0.020760438535106136,532
0.55,0.9703755540004665,0.6688005175041951,0.65,0.3443708609271523,0.45021645021645024,0.3980520136412288,0.7634964197420164,4108,28,99,52,80,0.018661068346162817,523
