fila_bronze,viaje_id,timestamp_bolivia,clasificacion_objetivo_60min,probabilidad_mlp,prediccion_mlp_umbral_050
145,VIA-00007,2026-08-21 17:06:00,0,0.03800013,0
146,VIA-00007,2026-08-21 17:36:00,0,0.046570797,0
147,VIA-00007,2026-08-21 18:06:00,0,0.04643267,0
148,VIA-00007,2026-08-21 18:36:00,0,0.053378697,0
149,VIA-00007,2026-08-21 19:06:00,0,0.055494342,0
150,VIA-00007,2026-08-21 19:36:00,0,0.054283217,0
151,VIA-00007,2026-08-21 20:06:00,0,0.06041022,0
152,VIA-00007,2026-08-21 20:36:00,0,0.04978867,0
153,VIA-00007,2026-08-21 21:06:00,0,0.10772172,0
154,VIA-00007,2026-08-21 21:36:00,0,0.069974475,0
155,VIA-00007,2026-08-21 22:06:00,0,0.083724864,0
156,VIA-00007,2026-08-21 22:36:00,1,0.09939719,0
157,VIA-00007,2026-08-21 23:06:00,1,0.07587688,0
158,VIA-00007,2026-08-21 23:36:00,1,0.05658735,0
159,VIA-00007,2026-08-22 00:06:00,0,0.056508306,0
160,VIA-00007,2026-08-22 00:36:00,0,0.04543457,0
161,VIA-00007,2026-08-22 01:06:00,0,0.041067254,0
162,VIA-00007,2026-08-22 01:36:00,0,0.034736205,0
163,VIA-00007,2026-08-22 02:06:00,0,0.02811932,0
164,VIA-00007,2026-08-22 02:36:00,0,0.02213285,0
165,VIA-00007,2026-08-22 03:06:00,0,0.018309819,0
166,VIA-00007,2026-08-22 03:36:00,0,0.014730828,0
167,VIA-00007,2026-08-22 04:06:00,0,0.011967801,0
168,VIA-00007,2026-08-22 04:36:00,0,0.00819626,0
313,VIA-00014,2026-08-22 14:08:00,0,0.04378406,0
314,VIA-00014,2026-08-22 14:38:00,0,0.016758338,0
315,VIA-00014,2026-08-22 15:08:00,0,0.025614567,0
316,VIA-00014,2026-08-22 15:38:00,0,0.03144159,0
317,VIA-00014,2026-08-22 16:08:00,0,0.041808844,0
318,VIA-00014,2026-08-22 16:38:00,0,0.06232602,0
319,VIA-00014,2026-08-22 17:08:00,0,0.073943004,0
320,VIA-00014,2026-08-22 17:38:00,0,0.07389443,0
321,VIA-00014,2026-08-22 18:08:00,0,0.0740116,0
322,VIA-00014,2026-08-22 18:38:00,0,0.10075076,0
323,VIA-00014,2026-08-22 19:08:00,0,0.09268761,0
324,VIA-00014,2026-08-22 19:38:00,0,0.09089033,0
325,VIA-00014,2026-08-22 20:08:00,0,0.1033503,0
326,VIA-00014,2026-08-22 20:38:00,0,0.120101966,0
327,VIA-00014,2026-08-22 21:08:00,0,0.09370517,0
328,VIA-00014,2026-08-22 21:38:00,0,0.085303284,0
329,VIA-00014,2026-08-22 22:08:00,0,0.08347955,0
330,VIA-00014,2026-08-22 22:38:00,0,0.056145962,0
331,VIA-00014,2026-08-22 23:08:00,0,0.03563485,0
332,VIA-00014,2026-08-22 23:38:00,0,0.04196958,0
333,VIA-00014,2026-08-23 00:08:00,0,0.040922586,0
334,VIA-00014,2026-08-23 00:38:00,0,0.021889841,0
335,VIA-00014,2026-08-23 01:08:00,0,0.021602014,0
336,VIA-00014,2026-08-23 01:38:00,0,0.009675999,0
457,VIA-00020,2026-08-25 20:24:00,1,0.048829418,0
458,VIA-00020,2026-08-25 20:54:00,1,0.0047986866,0
460,VIA-00020,2026-08-25 21:54:00,0,0.01708767,0
461,VIA-00020,2026-08-25 22:24:00,0,0.029410865,0
462,VIA-00020,2026-08-25 22:54:00,0,0.02549925,0
463,VIA-00020,2026-08-25 23:24:00,0,0.021849835,0
464,VIA-00020,2026-08-25 23:54:00,0,0.03395565,0
465,VIA-00020,2026-08-26 00:24:00,0,0.009266853,0
466,VIA-00020,2026-08-26 00:54:00,0,0.024884839,0
467,VIA-00020,2026-08-26 01:24:00,0,0.026871348,0
468,VIA-00020,2026-08-26 01:54:00,0,0.025795115,0
470,VIA-00020,2026-08-26 02:54:00,0,0.035765648,0
471,VIA-00020,2026-08-26 03:24:00,0,0.020976853,0
472,VIA-00020,2026-08-26 03:54:00,0,0.055449594,0
473,VIA-00020,2026-08-26 04:24:00,0,0.013785882,0
474,VIA-00020,2026-08-26 04:54:00,0,0.017274203,0
475,VIA-00020,2026-08-26 05:24:00,0,0.019168729,0
476,VIA-00020,2026-08-26 05:54:00,0,0.017545743,0
478,VIA-00020,2026-08-26 06:54:00,0,0.007974988,0
479,VIA-00020,2026-08-26 07:24:00,0,0.005198665,0
480,VIA-00020,2026-08-26 07:54:00,0,0.006469929,0
481,VIA-00021,2026-08-22 04:48:00,0,0.050239816,0
482,VIA-00021,2026-08-22 05:18:00,0,0.02766485,0
483,VIA-00021,2026-08-22 05:48:00,0,0.037650857,0
484,VIA-00021,2026-08-22 06:18:00,0,0.037784763,0
485,VIA-00021,2026-08-22 06:48:00,0,0.043346066,0
486,VIA-00021,2026-08-22 07:18:00,0,0.037533686,0
487,VIA-00021,2026-08-22 07:48:00,0,0.05818407,0
488,VIA-00021,2026-08-22 08:18:00,0,0.059947547,0
489,VIA-00021,2026-08-22 08:48:00,0,0.07318545,0
490,VIA-00021,2026-08-22 09:18:00,0,0.054408934,0
491,VIA-00021,2026-08-22 09:48:00,0,0.073965624,0
