umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.02,0.5467693025425706,0.05862068965517241,0.7880794701986755,0.10912425492893169,0.35439396294633196,0.7445591607209192,2225,1911,32,119,2030,2231,MLP inicial
0.025,0.6053184044786564,0.06246450880181715,0.7284768211920529,0.11506276150627615,0.35439396294633196,0.7445591607209192,2485,1651,41,110,1761,2061,MLP inicial
0.03,0.6568696057849311,0.06919060052219321,0.7019867549668874,0.1259655377302436,0.35439396294633196,0.7445591607209192,2710,1426,45,106,1532,1876,MLP inicial
0.035,0.6946582691859109,0.07488986784140969,0.6754966887417219,0.1348314606741573,0.35439396294633196,0.7445591607209192,2876,1260,49,102,1362,1750,MLP inicial
0.04,0.7224166083508281,0.08003233629749394,0.6556291390728477,0.14265129682997119,0.35439396294633196,0.7445591607209192,2998,1138,52,99,1237,1658,MLP inicial
0.045,0.7490086307441101,0.08144796380090498,0.5960264900662252,0.14331210191082802,0.35439396294633196,0.7445591607209192,3121,1015,61,90,1105,1625,MLP inicial
0.05,0.7709353860508514,0.08072653884964683,0.5298013245033113,0.14010507880910683,0.35439396294633196,0.7445591607209192,3225,911,71,80,991,1621,MLP inicial
0.05500000000000001,0.7895964543970142,0.08416389811738649,0.5033112582781457,0.1442125237191651,0.35439396294633196,0.7445591607209192,3309,827,75,76,903,1577,MLP inicial
0.06,0.8045253090739445,0.08960573476702509,0.4966887417218543,0.15182186234817813,0.35439396294633196,0.7445591607209192,3374,762,76,75,837,1522,MLP inicial
0.065,0.8234196407744343,0.096,0.4768211920529801,0.1598224195338513,0.35439396294633196,0.7445591607209192,3458,678,79,72,750,1468,MLP inicial
0.07,0.8369489153254024,0.10058309037900874,0.45695364238410596,0.16487455197132617,0.35439396294633196,0.7445591607209192,3519,617,82,69,686,1437,MLP inicial
0.075,0.8521110333566597,0.1098546042003231,0.4503311258278146,0.17662337662337663,0.35439396294633196,0.7445591607209192,3585,551,83,68,619,1381,MLP inicial
0.08,0.8644739911359925,0.11879432624113476,0.44370860927152317,0.1874125874125874,0.35439396294633196,0.7445591607209192,3639,497,84,67,564,1337,MLP inicial
0.085,0.8726382085374388,0.12380952380952381,0.4304635761589404,0.19230769230769232,0.35439396294633196,0.7445591607209192,3676,460,86,65,525,1320,MLP inicial
0.09000000000000001,0.8843013762537906,0.1368421052631579,0.4304635761589404,0.20766773162939298,0.35439396294633196,0.7445591607209192,3726,410,86,65,475,1270,MLP inicial
0.095,0.8905994868206205,0.14189189189189189,0.41721854304635764,0.21176470588235294,0.35439396294633196,0.7445591607209192,3755,381,88,63,444,1261,MLP inicial
0.1,0.8966643340331234,0.1473429951690821,0.40397350993377484,0.215929203539823,0.35439396294633196,0.7445591607209192,3783,353,90,61,414,1253,MLP inicial
0.10500000000000001,0.9017961278283182,0.1556122448979592,0.40397350993377484,0.22467771639042358,0.35439396294633196,0.7445591607209192,3805,331,90,61,392,1231,MLP inicial
0.11,0.9071611849778399,0.16348773841961853,0.3973509933774834,0.23166023166023167,0.35439396294633196,0.7445591607209192,3829,307,91,60,367,1217,MLP inicial
0.115,0.9111266620013996,0.16569767441860464,0.37748344370860926,0.23030303030303031,0.35439396294633196,0.7445591607209192,3849,287,94,57,344,1227,MLP inicial
0.12000000000000001,0.9181245626312107,0.18152866242038215,0.37748344370860926,0.24516129032258063,0.35439396294633196,0.7445591607209192,3879,257,94,57,314,1197,MLP inicial
0.125,0.9223233030090973,0.19256756756756757,0.37748344370860926,0.2550335570469799,0.35439396294633196,0.7445591607209192,3897,239,94,57,296,1179,MLP inicial
0.13,0.9267553067413109,0.20577617328519857,0.37748344370860926,0.26635514018691586,0.35439396294633196,0.7445591607209192,3916,220,94,57,277,1160,MLP inicial
0.135,0.9304875204105435,0.21621621621621623,0.3708609271523179,0.2731707317073171,0.35439396294633196,0.7445591607209192,3933,203,95,56,259,1153,MLP inicial
0.13999999999999999,0.9318871005365057,0.21912350597609562,0.36423841059602646,0.2736318407960199,0.35439396294633196,0.7445591607209192,3940,196,96,55,251,1156,MLP inicial
0.145,0.9353860508514112,0.23076923076923078,0.3576158940397351,0.2805194805194805,0.35439396294633196,0.7445591607209192,3956,180,97,54,234,1150,MLP inicial
0.15,0.9377186843946816,0.23873873873873874,0.3509933774834437,0.28418230563002683,0.35439396294633196,0.7445591607209192,3967,169,98,53,222,1149,MLP inicial
