umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.02,0.3662234662934453,0.046643109540636045,0.8741721854304636,0.08856088560885608,0.36980015276995626,0.7656195959880616,1438,2698,19,132,2830,2888,MLP regularizada
0.025,0.5127128528108235,0.05631868131868132,0.8145695364238411,0.10535331905781585,0.36980015276995626,0.7656195959880616,2075,2061,28,123,2184,2341,MLP regularizada
0.03,0.6064847212502916,0.06610169491525424,0.7748344370860927,0.12181155648099948,0.36980015276995626,0.7656195959880616,2483,1653,34,117,1770,1993,MLP regularizada
0.035,0.6650338231863774,0.07252162341982701,0.7218543046357616,0.13180169286577992,0.36980015276995626,0.7656195959880616,2742,1394,42,109,1503,1814,MLP regularizada
0.04,0.7305808257522743,0.08305647840531562,0.6622516556291391,0.14760147601476015,0.36980015276995626,0.7656195959880616,3032,1104,51,100,1204,1614,MLP regularizada
0.045,0.8059248891999067,0.10175438596491228,0.5761589403973509,0.17296222664015903,0.36980015276995626,0.7656195959880616,3368,768,64,87,855,1408,MLP regularizada
0.05,0.8633076743643574,0.12564543889845095,0.48344370860927155,0.1994535519125683,0.36980015276995626,0.7656195959880616,3628,508,78,73,581,1288,MLP regularizada
0.05500000000000001,0.9027291812456263,0.1675,0.44370860927152317,0.24319419237749546,0.36980015276995626,0.7656195959880616,3803,333,84,67,400,1173,MLP regularizada
0.06,0.9260555166783299,0.21575342465753425,0.41721854304635764,0.28442437923250563,0.36980015276995626,0.7656195959880616,3907,229,88,63,292,1109,MLP regularizada
0.065,0.946815955213436,0.3065326633165829,0.40397350993377484,0.3485714285714286,0.36980015276995626,0.7656195959880616,3998,138,90,61,199,1038,MLP regularizada
0.07,0.953347329134593,0.34394904458598724,0.3576158940397351,0.35064935064935066,0.36980015276995626,0.7656195959880616,4033,103,97,54,157,1073,MLP regularizada
0.075,0.95987870305575,0.41732283464566927,0.3509933774834437,0.381294964028777,0.36980015276995626,0.7656195959880616,4062,74,98,53,127,1054,MLP regularizada
0.08,0.9636109167249826,0.47706422018348627,0.3443708609271523,0.4,0.36980015276995626,0.7656195959880616,4079,57,99,52,109,1047,MLP regularizada
