metrica,valor
sha256_bronze,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
version_diagnostico_origen,GIAD-M3-S4-FLOTA-diagnostico-v2
version_tratamiento,GIAD-M3-S4-FLOTA-tratamiento-v1
filas_bronze,32
filas_cuarentena_inicial,4
filas_cuarentena_final,4
filas_liberadas,0
filas_silver,28
problemas_resueltos,0
copias_excluidas,0
problemas_pendientes,4
regla_ID_NORMALIZAR,PENDIENTE
regla_DUPLICADO_IDENTICO,PENDIENTE
regla_COLISION_ID_NORMALIZADO,PENDIENTE
regla_ID_EN_CONFLICTO,PENDIENTE
regla_CENTRO_FALTANTE,PENDIENTE
regla_CAPACIDAD_FALTANTE,PENDIENTE
regla_CAPACIDAD_NO_NUMERICA,PENDIENTE
regla_CAPACIDAD_NO_POSITIVA,PENDIENTE
regla_TIPO_FALTANTE,PENDIENTE
regla_TIPO_NO_RECONOCIDO,PENDIENTE
