fila_bronze,camion_id,centro_distribucion_base,capacidad_kg,tipo_camion,columnas_con_problemas,en_cuarentena,camion_id_preparado,tipo_duplicado,decision_duplicado,fila_canonica,justificacion,en_cuarentena_inicial,motivos_finales,en_cuarentena_final,version_tratamiento
1,CAM-01,Cochabamba,5000,Refrigerado,,False,CAM-01,IDENTICO,PENDIENTE,,Sin regla aprobada o datos en conflicto,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
2,CAM-02,Cochabamba,5000,Refrigerado,,False,CAM-02,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
3,CAM-03,Oruro,12000,Seco,,False,CAM-03,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
4,CAM-04,La Paz,2000,Seco,,False,CAM-04,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
5,CAM-05,Cochabamba,8000,Seco,,False,CAM-05,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
6,CAM-06,Cochabamba,5000,Seco,,False,CAM-06,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
7,CAM-07,La Paz,12000,Seco,,False,CAM-07,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
8,CAM-08,Santa Cruz,5000,Refrigerado,,False,CAM-08,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
9,CAM-09,Santa Cruz,8000,Seco,,False,CAM-09,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
10,CAM-10,La Paz,12000,Refrigerado,,False,CAM-10,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
11,CAM-11,Cochabamba,2000,Refrigerado,,False,CAM-11,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
12,CAM-12,La Paz,8000,Seco,,False,CAM-12,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
13,CAM-13,Cochabamba,12000,Seco,,False,CAM-13,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
14,CAM-14,Cochabamba,8000,Seco,,False,CAM-14,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
15,CAM-15,La Paz,2000,Refrigerado,,False,CAM-15,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
16,CAM-16,Oruro,5000,Seco,,False,CAM-16,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
17,CAM-17,Cochabamba,8000,Seco,,False,CAM-17,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
18,CAM-18,Santa Cruz,2000,Seco,,False,CAM-18,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
19,CAM-19,Tarija,2000,Refrigerado,,False,CAM-19,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
20, cam-20 ,Oruro,12000,Refrigerado,camion_id,True, cam-20 ,,,,,True,camion_id:FORMATO_INVALIDO,True,GIAD-M3-S4-FLOTA-tratamiento-v1
21,CAM-21,Tarija,12000,Seco,,False,CAM-21,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
22,CAM-22,Cochabamba,8000,Refrigerado,,False,CAM-22,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
23,CAM-23,Santa Cruz,5000,Seco,,False,CAM-23,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
24,CAM-24,Oruro,2000,Refrigerado,,False,CAM-24,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
25,CAM-25,Cochabamba,2000,Refrigerado,,False,CAM-25,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
26,CAM-26,Tarija,8000,Refrigerado,,False,CAM-26,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
27,CAM-27,Cochabamba,5000,Refrigerado,,False,CAM-27,IDENTICO,PENDIENTE,,Sin regla aprobada o datos en conflicto,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
28,CAM-28,La Paz,2000,Refrigerado,,False,CAM-28,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
29,CAM-29,Santa Cruz,5000,Seco,,False,CAM-29,,,,,False,,False,GIAD-M3-S4-FLOTA-tratamiento-v1
30, cam-30 ,Cochabamba,8000,Seco,camion_id,True, cam-30 ,,,,,True,camion_id:FORMATO_INVALIDO,True,GIAD-M3-S4-FLOTA-tratamiento-v1
31,CAM-01,Cochabamba,5000,Refrigerado,camion_id,True,CAM-01,IDENTICO,PENDIENTE,,Sin regla aprobada o datos en conflicto,True,camion_id:DUPLICADO_IDENTICO,True,GIAD-M3-S4-FLOTA-tratamiento-v1
32,CAM-27,Cochabamba,5000,Refrigerado,camion_id,True,CAM-27,IDENTICO,PENDIENTE,,Sin regla aprobada o datos en conflicto,True,camion_id:DUPLICADO_IDENTICO,True,GIAD-M3-S4-FLOTA-tratamiento-v1
