fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,columnas_con_problemas,en_cuarentena
100,MOV-000100,LOT-2026-00100, prod-028 ,La Paz,2026-06-04,2026-07-19,2027-06-04,760,738,16,45,27.13,producto_id,True
266,MOV-000266,LOT-2026-00266, prod-043 ,Oruro,2026-08-24,2026-09-10,2027-02-20,830,820,10,17,16.46,producto_id,True
374,MOV-000374,LOT-2026-00374,PROD-060,Cochabamba,2026-06-17,2026-06-22,,72,67,1,5,30.63,fecha_vencimiento,True
512,MOV-000512,LOT-2026-00512, prod-053 ,Santa Cruz,2026-08-28,2026-09-09,2026-09-15,595,580,15,12,52.38,producto_id,True
585,MOV-000585,LOT-2026-00585, prod-047 ,Tarija,2026-05-10,2026-06-22,2026-05-28,422,384,31,43,68.27,producto_id,True
846,MOV-000846,LOT-2026-00846,PROD-049,Santa Cruz,2026-06-15,2026-06-30,,158,147,5,15,53.71,fecha_vencimiento,True
912,MOV-000912,LOT-2026-00912,PROD-023,Santa Cruz,2026-08-03,2026-08-15,2026-08-21,cien,184,5,12,22.32,cantidad_ingreso,True
1052,MOV-001052,LOT-2026-01052,PROD-032,Cochabamba,2026-08-15,2026-09-02,2027-08-15,948,943,-5,18,33.13,cantidad_merma,True
1066,MOV-001066,LOT-2026-01066,PROD-004,Oruro,2026-07-12,2026-08-08,2026-07-30,cien,281,15,27,16.27,cantidad_ingreso,True
1167,MOV-001167,LOT-2026-01167,PROD-038,Oruro,2026-05-23,2026-02-31,2027-05-23,86,82,1,19,26.68,fecha_salida,True
1206,MOV-001206,LOT-2026-01206,PROD-053,La Paz,27/05/2026,2026-06-17,2026-06-14,885,847,34,21,52.38,fecha_ingreso,True
1226,MOV-001226,LOT-2026-01226,PROD-043,Tarija,2026-05-18,2026-05-25,,399,394,5,7,16.46,fecha_vencimiento,True
1270,MOV-001270,LOT-2026-01270,PROD-048,Cochabamba,12/08/2026,2026-09-03,2027-08-12,223,214,2,22,49.21,fecha_ingreso,True
1311,MOV-001311,LOT-2026-01311,PROD-041,Oruro,2026-07-01,2026-07-05,2026-12-28,929,914,-12,4,48.44,cantidad_merma,True
1349,MOV-001349,LOT-2026-01349, prod-012 ,Santa Cruz,2026-07-04,2026-07-31,2027-07-04,887,878,5,27,59.96,producto_id,True
1506,MOV-001506,LOT-2026-01506,PROD-023,Santa Cruz,2026-06-28,2026-02-31,2026-07-16,152,146,5,7,22.32,fecha_salida,True
1614,MOV-001614,LOT-2026-01614,PROD-058,Tarija,12/07/2026,2026-07-21,2027-01-08,878,865,11,9,82.19,fecha_ingreso,True
1651,MOV-001651,LOT-2026-01651,PROD-050,Tarija,2026-07-27,2026-02-31,2027-07-27,645,639,4,26,46.57,fecha_salida,True
1664,MOV-001664,LOT-2026-01664,PROD-050,La Paz,15/07/2026,2026-08-16,2027-07-15,867,852,8,32,46.57,fecha_ingreso,True
1685,MOV-001685,LOT-2026-01685, prod-052 ,Cochabamba,2026-06-19,2026-06-23,2026-07-07,111,103,3,4,41.48,producto_id,True
1786,MOV-001786,LOT-2026-01786, prod-048 ,Tarija,2026-08-20,2026-09-27,2027-08-20,375,363,5,38,49.21,producto_id,True
1872,MOV-001872,LOT-2026-01872,PROD-037,Cochabamba,2026-05-29,2026-07-02,2026-06-16,833,778,-50,34,25.76,cantidad_merma,True
1883,MOV-001883,LOT-2026-01883,PROD-030,Cochabamba,29/06/2026,2026-07-14,2027-06-29,140,139,1,15,34.93,fecha_ingreso,True
1900,MOV-001900,LOT-2026-01900,PROD-023,Oruro,23/08/2026,2026-09-03,2026-09-10,99,92,3,11,22.32,fecha_ingreso,True
1950,MOV-001950,LOT-2026-01950, prod-028 ,Oruro,2026-08-19,2026-09-01,2027-08-19,468,463,4,13,27.13,producto_id,True
1994,MOV-001994,LOT-2026-01994, prod-022 ,Cochabamba,2026-07-01,2026-07-04,2026-07-19,441,427,14,3,24.66,producto_id,True
2055,MOV-002055,LOT-2026-02055,PROD-028,Tarija,2026-07-04,2026-07-28,2027-07-04,cien,537,4,24,27.13,cantidad_ingreso,True
2063,MOV-002063,LOT-2026-02063, prod-055 ,Santa Cruz,2026-08-24,2026-09-04,2027-08-24,687,677,7,11,69.47,producto_id,True
2110,MOV-002110,LOT-2026-02110,PROD-016,Cochabamba,11/05/2026,2026-06-19,2027-05-11,678,662,9,39,25.77,fecha_ingreso,True
2204,MOV-002204,LOT-2026-02204,PROD-043,Santa Cruz,22/07/2026,2026-07-25,2027-01-18,743,730,10,3,16.46,fecha_ingreso,True
2208,MOV-002208,LOT-2026-02208,PROD-051,Cochabamba,2026-07-17,2026-07-24,2027-01-13,cien,581,8,7,24.83,cantidad_ingreso,True
2250,MOV-002250,LOT-2026-02250,PROD-001,Tarija,2026-08-11,2026-08-27,2026-08-29,cien,258,8,16,20.26,cantidad_ingreso,True
2265,MOV-002265,LOT-2026-02265,PROD-029,La Paz,2026-06-17,2026-06-29,,273,270,2,12,81.05,fecha_vencimiento,True
2267,MOV-002267,LOT-2026-02267,PROD-050,Cochabamba,12/06/2026,2026-06-26,2027-06-12,277,272,2,14,46.57,fecha_ingreso,True
2341,MOV-002341,LOT-2026-02341, prod-032 ,Santa Cruz,2026-07-30,2026-08-19,2027-07-30,477,467,3,20,33.13,producto_id,True
2472,MOV-002472,LOT-2026-02472,PROD-049,Oruro,31/05/2026,2026-06-14,2026-06-18,573,554,17,14,53.71,fecha_ingreso,True
2531,MOV-002531,LOT-2026-02531, prod-019 ,La Paz,2026-05-19,2026-06-15,2027-05-19,861,850,4,27,62.3,producto_id,True
2534,MOV-002534,LOT-2026-02534, prod-036 ,La Paz,2026-06-24,2026-06-27,2026-07-12,410,399,11,3,58.54,producto_id,True
2654,MOV-002654,LOT-2026-02654,PROD-007,Santa Cruz,13/08/2026,2026-08-24,2027-08-13,98,95,1,11,20.78,fecha_ingreso|movimiento_id,True
2672,MOV-002672,LOT-2026-02672,PROD-020,Tarija,2026-06-08,2026-06-20,2027-06-08,cien,421,3,12,59.96,cantidad_ingreso,True
2793,MOV-002793,LOT-2026-02793,PROD-050,Cochabamba,2026-07-26,2026-08-24,2027-07-26,517,510,-3,29,46.57,cantidad_merma,True
2817,MOV-002817,LOT-2026-02817,PROD-005,Tarija,24/06/2026,2026-07-16,2027-06-24,177,172,1,22,35.68,fecha_ingreso,True
2934,MOV-002934,LOT-2026-02934,PROD-005,Tarija,19/06/2026,2026-06-30,2027-06-19,820,809,5,11,35.68,fecha_ingreso,True
2946,MOV-002946,LOT-2026-02946, prod-046 ,Oruro,2026-06-01,2026-06-24,2027-06-01,215,213,2,23,25.66,producto_id,True
2953,MOV-002953,LOT-2026-02953, prod-050 ,Tarija,2026-08-10,2026-09-06,2027-08-10,415,412,2,27,46.57,producto_id,True
3019,MOV-003019,LOT-2026-03019,PROD-025,La Paz,09/08/2026,2026-08-23,2027-02-05,217,209,3,14,54.32,fecha_ingreso,True
3029,MOV-003029,LOT-2026-03029,PROD-052,Cochabamba,27/08/2026,2026-08-31,2026-09-14,168,162,5,4,41.48,fecha_ingreso,True
3063,MOV-003063,LOT-2026-03063,PROD-025,La Paz,16/07/2026,2026-07-20,2027-01-12,747,735,9,4,54.32,fecha_ingreso,True
3226,MOV-003226,LOT-2026-03226,PROD-020,Oruro,2026-05-10,2026-05-27,,604,596,4,17,59.96,fecha_vencimiento,True
3246,MOV-003246,LOT-2026-03246,PROD-026,Santa Cruz,2026-06-04,2026-06-30,2026-06-22,cien,434,21,26,28.64,cantidad_ingreso,True
3271,MOV-003271,LOT-2026-03271, prod-052 ,Oruro,2026-06-14,2026-07-09,2026-07-02,625,595,29,25,41.48,producto_id,True
3323,MOV-003323,LOT-2026-03323,PROD-022,La Paz,16/05/2026,2026-05-20,2026-06-03,871,843,23,4,24.66,fecha_ingreso,True
3421,MOV-003421,LOT-2026-03421,PROD-017,Tarija,2026-08-11,2026-08-21,,284,279,2,10,34.67,fecha_vencimiento,True
3461,MOV-003461,LOT-2026-03461, prod-017 ,Santa Cruz,2026-05-14,2026-06-01,2027-05-14,516,511,4,18,34.67,producto_id,True
