metrica,valor
archivo_bronze,andinalog_inventory_tracking.csv
sha256_bronze,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
version_diagnostico,GIAD-M3-S4-INVENTORY-diagnostico-v1
filas_bronze,6040
filas_diagnosticadas,6040
filas_en_cuarentena,133
filas_sin_cuarentena,5907
problemas_detectados,134
cantidad_ingreso:NO_NUMERICA,10
cantidad_merma:NEGATIVA,5
fecha_ingreso:FORMATO_FECHA_DISTINTO,25
fecha_salida:FECHA_INVALIDA,5
fecha_vencimiento:FALTANTE,18
movimiento_id:CLAVE_EN_CONFLICTO,2
movimiento_id:DUPLICADO_IDENTICO,39
producto_id:FORMATO_INVALIDO,30
