fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico,estado_tratamiento,tratamiento_aplicado,detalle_resultado
100,producto_id,FORMATO_INVALIDO, prod-028 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
266,producto_id,FORMATO_INVALIDO, prod-043 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
374,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
512,producto_id,FORMATO_INVALIDO, prod-053 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
585,producto_id,FORMATO_INVALIDO, prod-047 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
846,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
912,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1052,cantidad_merma,NEGATIVA,-5,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1066,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1167,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1206,fecha_ingreso,FORMATO_FECHA_DISTINTO,27/05/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1226,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1270,fecha_ingreso,FORMATO_FECHA_DISTINTO,12/08/2026,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1311,cantidad_merma,NEGATIVA,-12,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1349,producto_id,FORMATO_INVALIDO, prod-012 ,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
1506,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INVENTORY-diagnostico-v1,PENDIENTE,NINGUNO,No hay regla aprobada y validada para resolver este problema
