fila_bronze,clave_lectura,tipo_duplicado,decision_duplicado,fila_canonica,justificacion_duplicado
102,MOV-000102,IDENTICO,CANONICA,102,Las doce columnas originales son idénticas
6011,MOV-000102,IDENTICO,COPIA_EXCLUIDA,102,Las doce columnas originales son idénticas
190,MOV-000190,IDENTICO,CANONICA,190,Las doce columnas originales son idénticas
6028,MOV-000190,IDENTICO,COPIA_EXCLUIDA,190,Las doce columnas originales son idénticas
486,MOV-000486,IDENTICO,CANONICA,486,Las doce columnas originales son idénticas
6037,MOV-000486,IDENTICO,COPIA_EXCLUIDA,486,Las doce columnas originales son idénticas
734,MOV-000734,IDENTICO,CANONICA,734,Las doce columnas originales son idénticas
6021,MOV-000734,IDENTICO,COPIA_EXCLUIDA,734,Las doce columnas originales son idénticas
904,MOV-000904,IDENTICO,CANONICA,904,Las doce columnas originales son idénticas
6029,MOV-000904,IDENTICO,COPIA_EXCLUIDA,904,Las doce columnas originales son idénticas
978,MOV-000978,IDENTICO,CANONICA,978,Las doce columnas originales son idénticas
6009,MOV-000978,IDENTICO,COPIA_EXCLUIDA,978,Las doce columnas originales son idénticas
1055,MOV-001055,IDENTICO,CANONICA,1055,Las doce columnas originales son idénticas
6006,MOV-001055,IDENTICO,COPIA_EXCLUIDA,1055,Las doce columnas originales son idénticas
1094,MOV-001094,IDENTICO,CANONICA,1094,Las doce columnas originales son idénticas
6025,MOV-001094,IDENTICO,COPIA_EXCLUIDA,1094,Las doce columnas originales son idénticas
1648,MOV-001648,IDENTICO,CANONICA,1648,Las doce columnas originales son idénticas
6024,MOV-001648,IDENTICO,COPIA_EXCLUIDA,1648,Las doce columnas originales son idénticas
1735,MOV-001735,IDENTICO,CANONICA,1735,Las doce columnas originales son idénticas
6002,MOV-001735,IDENTICO,COPIA_EXCLUIDA,1735,Las doce columnas originales son idénticas
2305,MOV-002305,IDENTICO,CANONICA,2305,Las doce columnas originales son idénticas
6023,MOV-002305,IDENTICO,COPIA_EXCLUIDA,2305,Las doce columnas originales son idénticas
2648,MOV-002648,IDENTICO,CANONICA,2648,Las doce columnas originales son idénticas
6022,MOV-002648,IDENTICO,COPIA_EXCLUIDA,2648,Las doce columnas originales son idénticas
2654,MOV-002654,IDENTICO,CANONICA,2654,Las doce columnas originales son idénticas
6031,MOV-002654,IDENTICO,COPIA_EXCLUIDA,2654,Las doce columnas originales son idénticas
2656,MOV-002656,IDENTICO,CANONICA,2656,Las doce columnas originales son idénticas
