metrica,valor
sha256_bronze,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619
version_tratamiento,GIAD-M3-S4-INVENTORY-tratamiento-v1
filas_totales,6040
filas_cuarentena_inicial,133
filas_cuarentena_final,133
filas_liberadas,0
filas_silver,5907
problemas_resueltos,0
copias_excluidas,39
problemas_pendientes,95
fechas_normalizadas,0
productos_normalizados,0
pares_duplicados_identico,39
pares_duplicados_equivalente_fecha,0
duplicados_sin_decision,2
regla_DUPLICADO_IDENTICO,APROBADA
regla_DUPLICADO_EQUIVALENTE_FECHA,PENDIENTE
regla_DUPLICADO_CONFLICTIVO,PENDIENTE
regla_FECHA_DDMM_A_ISO,PENDIENTE
regla_PRODUCTO_MAYUSCULAS,PENDIENTE
regla_FECHA_VENCIMIENTO_FALTANTE,PENDIENTE
regla_FECHA_IMPOSIBLE,PENDIENTE
regla_CANTIDAD_INGRESO_NO_NUMERICA,PENDIENTE
regla_MERMA_NEGATIVA,PENDIENTE
regla_COHERENCIA_TEMPORAL,PENDIENTE
regla_EXCESO_CANTIDADES,PENDIENTE
regla_OTROS_PROBLEMAS,PENDIENTE
