fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,columnas_con_problemas,en_cuarentena
8,2026-08-04 23:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.83,C,,0,0,humedad_cabina_pct,True
121,2026-08-23 01:53:00,VIA-00006,ORD-2026-01337,CAM-13,PROD-031,-17.52,C,,0,0,humedad_cabina_pct,True
213,2026-08-09 05:30:00,VIA-00009,ORD-2026-03793,CAM-30,PROD-017,3.49,C,,0,0,humedad_cabina_pct,True
229,2026-08-30 05:00:00,VIA-00010,ORD-2026-02783,CAM-03,PROD-028,-999.0,C,61.5,0,0,temperatura_cabina_c,True
238,2026-08-30 09:30:00,VIA-00010,ORD-2026-02783,CAM-03,PROD-028,,C,35.8,0,0,temperatura_cabina_c,True
425,2026-08-12 17:00:00,VIA-00018,ORD-2026-03390,CAM-23,PROD-059,-999.0,C,74.2,1,1,temperatura_cabina_c,True
459,2026-08-28 23:43:00,VIA-00020,ORD-2026-01231,CAM-22,PROD-054,-999.0,C,44.6,0,0,temperatura_cabina_c,True
469,2026-08-29 04:43:00,VIA-00020,ORD-2026-01231,CAM-22,PROD-054,-999.0,C,48.5,0,0,temperatura_cabina_c,True
477,2026-08-29 08:43:00,VIA-00020,ORD-2026-01231,CAM-22,PROD-054,,C,39.1,0,0,temperatura_cabina_c,True
530,2026-08-30 03:18:00,VIA-00023,ORD-2026-01360,CAM-22,PROD-028,20.87,C,-59.9,0,0,humedad_cabina_pct,True
533,2026-08-30 04:48:00,VIA-00023,ORD-2026-01360,CAM-22,PROD-028,17.83,C,,0,0,humedad_cabina_pct,True
598,2026-08-25 07:23:00,VIA-00025,ORD-2026-06241,CAM-12,PROD-003,2.42,C,,0,0,humedad_cabina_pct,True
643,2026-08-22 17:58:00,VIA-00027,ORD-2026-05466,CAM-07,PROD-047,-999.0,C,48.8,0,0,temperatura_cabina_c,True
757,2026-08-03 06:03:00,VIA-00032,ORD-2026-01878,CAM-06,PROD-009,,C,49.2,0,0,temperatura_cabina_c,True
901,2026-08-05 19:55:00,VIA-00038,ORD-2026-05727,CAM-06,PROD-058,-999.0,C,46.6,0,0,temperatura_cabina_c,True
1079,2026-08-22 08:31:00,VIA-00045,ORD-2026-01164,CAM-08,PROD-045,,C,40.0,0,0,temperatura_cabina_c,True
1101,2026-08-04 08:24:00,VIA-00046,ORD-2026-00641,CAM-26,PROD-046,-999.0,C,54.0,0,0,temperatura_cabina_c,True
1169,2026-08-11 23:24:00,VIA-00049,ORD-2026-02871,CAM-03,PROD-010,,C,51.4,0,0,temperatura_cabina_c,True
1205,2026-08-22 01:41:00,VIA-00051,ORD-2026-04075,CAM-19,PROD-029,-999.0,C,54.5,0,0,temperatura_cabina_c,True
1208,2026-08-22 03:11:00,VIA-00051,ORD-2026-04075,CAM-19,PROD-029,-999.0,C,48.5,0,0,temperatura_cabina_c,True
