fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico
8,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
121,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
213,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
229,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
238,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
425,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
459,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
469,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
477,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
530,humedad_cabina_pct,FUERA_RANGO,-59.9,GIAD-M3-S4-IOT-diagnostico-v3
533,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
598,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
643,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
757,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
901,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1079,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
1101,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1169,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
1205,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1208,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1233,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1276,humedad_cabina_pct,FUERA_RANGO,-75.7,GIAD-M3-S4-IOT-diagnostico-v3
1286,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
1336,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
1402,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1469,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
1471,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1660,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1730,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
1750,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
1798,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
1967,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
2184,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
2346,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
2356,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
2583,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
2601,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
2788,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v3
2927,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v3
