metrica,valor
archivo_bronze,andinalog_iot_telemetry.csv
sha256_bronze,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
version_diagnostico,GIAD-M3-S4-IOT-diagnostico-v4
filas_bronze,28920
filas_diagnosticadas,28920
filas_en_cuarentena,554
filas_sin_cuarentena,28366
problemas_detectados,560
camion_id:FORMATO_INVALIDO,50
humedad_cabina_pct:FALTANTE,100
humedad_cabina_pct:FUERA_RANGO,15
temp_unit:PENDIENTE_CONVERSION_F,50
temp_unit:UNIDAD_NO_RECONOCIDA,5
temperatura_cabina_c:FALTANTE,80
temperatura_cabina_c:VALOR_CENTINELA,120
timestamp:FECHA_INVALIDA,15
viaje_id+timestamp:CLAVE_EN_CONFLICTO,10
viaje_id+timestamp:DUPLICADO_IDENTICO,115
