fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico,estado_tratamiento,tratamiento_aplicado,detalle_resultado
8,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
121,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
125,temp_unit,PENDIENTE_CONVERSION_F,F,GIAD-M3-S4-IOT-diagnostico-v4,RESUELTO,F_A_C,Conversión de Fahrenheit a Celsius validada
146,camion_id,FORMATO_INVALIDO, cam-19 ,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
213,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
229,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
238,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
386,temp_unit,PENDIENTE_CONVERSION_F,F,GIAD-M3-S4-IOT-diagnostico-v4,RESUELTO,F_A_C,Conversión de Fahrenheit a Celsius validada
425,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
448,temp_unit,PENDIENTE_CONVERSION_F,F,GIAD-M3-S4-IOT-diagnostico-v4,RESUELTO,F_A_C,Conversión de Fahrenheit a Celsius validada
459,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
469,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
477,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
505,temp_unit,PENDIENTE_CONVERSION_F,F,GIAD-M3-S4-IOT-diagnostico-v4,RESUELTO,F_A_C,Conversión de Fahrenheit a Celsius validada
530,humedad_cabina_pct,FUERA_RANGO,-45.2,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
533,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
560,temp_unit,PENDIENTE_CONVERSION_F,F,GIAD-M3-S4-IOT-diagnostico-v4,RESUELTO,F_A_C,Conversión de Fahrenheit a Celsius validada
598,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
643,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
757,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
839,temp_unit,PENDIENTE_CONVERSION_F,F,GIAD-M3-S4-IOT-diagnostico-v4,RESUELTO,F_A_C,Conversión de Fahrenheit a Celsius validada
901,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1079,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1101,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1137,temp_unit,PENDIENTE_CONVERSION_F,F,GIAD-M3-S4-IOT-diagnostico-v4,RESUELTO,F_A_C,Conversión de Fahrenheit a Celsius validada
1169,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1205,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1208,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1233,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1276,humedad_cabina_pct,FUERA_RANGO,-72.7,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1286,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1336,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1402,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1469,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1471,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1594,camion_id,FORMATO_INVALIDO, cam-20 ,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1660,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1697,camion_id,FORMATO_INVALIDO, cam-10 ,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1730,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1750,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1756,camion_id,FORMATO_INVALIDO, cam-15 ,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1798,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
1967,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
2184,temperatura_cabina_c,VALOR_CENTINELA,-999.0,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
2346,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
2356,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v4,PENDIENTE,NINGUNO,No hay regla aprobada y validada para liberar esta fila
