fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,columnas_con_problemas,en_cuarentena,temperatura_c_preparada,tratamiento_temperatura,tipo_duplicado,decision_duplicado,fila_canonica,justificacion_duplicado,camion_id_preparado,en_cuarentena_inicial,columnas_problema_iniciales,motivos_finales,en_cuarentena_final,tratamientos_aplicados,version_tratamiento
8,2026-08-11 17:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.48,C,,0,0,humedad_cabina_pct,True,3.48,C_ORIGINAL,,,,,CAM-20,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
121,2026-08-11 10:57:00,VIA-00006,ORD-2026-01337,CAM-26,PROD-060,-18.44,C,,0,0,humedad_cabina_pct,True,-18.44,C_ORIGINAL,,,,,CAM-26,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
146,2026-08-21 17:36:00,VIA-00007,ORD-2026-01828, cam-19 ,PROD-037,3.5,C,78.9,0,0,camion_id,True,3.5,C_ORIGINAL,,,,, cam-19 ,True,camion_id,camion_id:FORMATO_INVALIDO,True,,GIAD-M3-S4-IOT-tratamiento-v3
213,2026-08-07 20:50:00,VIA-00009,ORD-2026-03793,CAM-20,PROD-043,-17.18,C,,0,0,humedad_cabina_pct,True,-17.18,C_ORIGINAL,,,,,CAM-20,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
229,2026-08-13 11:22:00,VIA-00010,ORD-2026-02783,CAM-14,PROD-059,-999.0,C,55.4,0,0,temperatura_cabina_c,True,-999.0,C_ORIGINAL,,,,,CAM-14,True,temperatura_cabina_c,temperatura_cabina_c:VALOR_CENTINELA,True,,GIAD-M3-S4-IOT-tratamiento-v3
238,2026-08-13 15:52:00,VIA-00010,ORD-2026-02783,CAM-14,PROD-059,,C,51.9,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,,,,,CAM-14,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
425,2026-08-19 02:41:00,VIA-00018,ORD-2026-03390,CAM-08,PROD-052,-999.0,C,91.5,0,0,temperatura_cabina_c,True,-999.0,C_ORIGINAL,,,,,CAM-08,True,temperatura_cabina_c,temperatura_cabina_c:VALOR_CENTINELA,True,,GIAD-M3-S4-IOT-tratamiento-v3
459,2026-08-25 21:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,-999.0,C,51.6,1,0,temperatura_cabina_c,True,-999.0,C_ORIGINAL,,,,,CAM-20,True,temperatura_cabina_c,temperatura_cabina_c:VALOR_CENTINELA,True,,GIAD-M3-S4-IOT-tratamiento-v3
469,2026-08-26 02:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,-999.0,C,50.1,0,0,temperatura_cabina_c,True,-999.0,C_ORIGINAL,,,,,CAM-20,True,temperatura_cabina_c,temperatura_cabina_c:VALOR_CENTINELA,True,,GIAD-M3-S4-IOT-tratamiento-v3
477,2026-08-26 06:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,,C,49.0,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,,,,,CAM-20,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
530,2026-08-14 16:48:00,VIA-00023,ORD-2026-01360,CAM-12,PROD-012,20.54,C,-45.2,0,0,humedad_cabina_pct,True,20.54,C_ORIGINAL,,,,,CAM-12,True,humedad_cabina_pct,humedad_cabina_pct:FUERA_RANGO,True,,GIAD-M3-S4-IOT-tratamiento-v3
533,2026-08-14 18:18:00,VIA-00023,ORD-2026-01360,CAM-12,PROD-012,18.69,C,,0,0,humedad_cabina_pct,True,18.69,C_ORIGINAL,,,,,CAM-12,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
598,2026-08-14 04:21:00,VIA-00025,ORD-2026-06241,CAM-24,PROD-052,4.38,C,,0,0,humedad_cabina_pct,True,4.38,C_ORIGINAL,,,,,CAM-24,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
643,2026-08-30 08:27:00,VIA-00027,ORD-2026-05466,CAM-20,PROD-026,-999.0,C,90.3,0,0,temperatura_cabina_c,True,-999.0,C_ORIGINAL,,,,,CAM-20,True,temperatura_cabina_c,temperatura_cabina_c:VALOR_CENTINELA,True,,GIAD-M3-S4-IOT-tratamiento-v3
757,2026-08-28 02:29:00,VIA-00032,ORD-2026-01878,CAM-24,PROD-058,,C,69.4,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,,,,,CAM-24,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
901,2026-08-30 03:44:00,VIA-00038,ORD-2026-05727,CAM-29,PROD-005,-999.0,C,48.7,0,0,temperatura_cabina_c,True,-999.0,C_ORIGINAL,,,,,CAM-29,True,temperatura_cabina_c,temperatura_cabina_c:VALOR_CENTINELA,True,,GIAD-M3-S4-IOT-tratamiento-v3
1079,2026-08-15 05:16:00,VIA-00045,ORD-2026-01164,CAM-22,PROD-039,,C,48.0,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,,,,,CAM-22,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
1101,2026-08-20 09:07:00,VIA-00046,ORD-2026-00641,CAM-09,PROD-033,-999.0,C,50.1,0,0,temperatura_cabina_c,True,-999.0,C_ORIGINAL,,,,,CAM-09,True,temperatura_cabina_c,temperatura_cabina_c:VALOR_CENTINELA,True,,GIAD-M3-S4-IOT-tratamiento-v3
