metrica,valor
sha256_bronze,edb7afe2f7fb836e59fe605d30c88b3b5b13a6d8ab2ec0b37f206a14e58de6bf
sha256_flota,5da0620ea1883c3bad57ba31f45c24b454fe3dadede3cf2370eff459714fbf14
version_tratamiento,GIAD-M3-S4-IOT-tratamiento-v3
filas_totales,28920
filas_cuarentena_inicial,554
filas_cuarentena_final,495
filas_liberadas,59
problemas_resueltos,60
copias_excluidas,120
problemas_pendientes,380
temperaturas_C_conservadas,28785
temperaturas_F_a_C,50
temperaturas_K_a_C,5
pares_duplicados_identico,115
pares_duplicados_mayusculas,0
pares_duplicados_complementario,5
duplicados_sin_decision,0
regla_TEMP_C_CONSERVAR,APROBADA
regla_TEMP_F_A_C,APROBADA
regla_TEMP_K_A_C,APROBADA
regla_DUPLICADO_IDENTICO,APROBADA
regla_DUPLICADO_MAYUSCULAS,APROBADA
regla_DUPLICADO_COMPLEMENTARIO,APROBADA
regla_FALTANTE_TEMPERATURA,PENDIENTE
regla_FALTANTE_HUMEDAD,PENDIENTE
regla_HUMEDAD_FUERA_RANGO,PENDIENTE
regla_FECHA_INVALIDA,PENDIENTE
regla_DUPLICADO_CONFLICTIVO,PENDIENTE
regla_CAMION_FORMATO_INVALIDO,PENDIENTE
