fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,columnas_con_problemas,en_cuarentena,temperatura_c_preparada,tratamiento_temperatura,tipo_duplicado,decision_duplicado,fila_canonica,justificacion_duplicado,camion_id_preparado,en_cuarentena_inicial,columnas_problema_iniciales,motivos_finales,en_cuarentena_final,tratamientos_aplicados,version_tratamiento
1,2026-08-11 14:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.19,C,72.6,0,0,,False,2.19,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
2,2026-08-11 14:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.91,C,75.0,0,0,,False,4.91,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
3,2026-08-11 15:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.76,C,94.7,0,0,,False,2.76,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
4,2026-08-11 15:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.96,C,74.0,0,0,,False,3.96,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
5,2026-08-11 16:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.49,C,70.3,0,0,,False,4.49,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
6,2026-08-11 16:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.29,C,86.1,0,0,,False,2.29,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
7,2026-08-11 17:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.76,C,85.6,0,0,,False,3.76,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
8,2026-08-11 17:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.48,C,,0,0,humedad_cabina_pct,True,3.48,C_ORIGINAL,,,,,CAM-20,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v3
9,2026-08-11 18:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.85,C,76.1,0,0,,False,2.85,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
10,2026-08-11 18:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.57,C,76.9,0,0,,False,3.57,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
11,2026-08-11 19:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.17,C,87.7,0,0,,False,4.17,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
12,2026-08-11 19:41:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.09,C,70.2,0,0,,False,4.09,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
13,2026-08-11 20:11:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.63,C,78.9,0,0,,False,3.63,C_ORIGINAL,,,,,CAM-20,False,,,False,,GIAD-M3-S4-IOT-tratamiento-v3
