fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,columnas_con_problemas,en_cuarentena
1,PROD-001,Producto Logistico 001,Fresco,4.0,2.0,23.7,20.26,,False
2,PROD-002,Producto Logistico 002,Seco,20.0,5.0,101.83,82.37,,False
3,PROD-003,Producto Logistico 003,Seco,20.0,5.0,83.08,68.01,,False
4,PROD-004,Producto Logistico 004,Fresco,4.0,2.0,19.15,16.27,,False
5,PROD-005,Producto Logistico 005,Seco,20.0,5.0,42.02,35.68,,False
6,PROD-006,Producto Logistico 006,Seco,20.0,5.0,34.76,29.49,,False
7,PROD-007,Producto Logistico 007,Seco,20.0,5.0,24.69,20.78,,False
8, prod-008 ,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,producto_id,True
9,PROD-009,Producto Logistico 009,Fresco,4.0,2.0,91.03,75.19,,False
10,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,,False
11,PROD-011,Producto Logistico 011,Congelado,-18.0,2.0,39.78,32.86,,False
12,PROD-012,Producto Logistico 012,Seco,20.0,5.0,70.51,59.96,,False
13,PROD-013,Producto Logistico 013,Fresco,4.0,2.0,53.93,46.59,,False
14,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,,False
15,PROD-015,Producto Logistico 015,Fresco,4.0,2.0,80.47,68.74,,False
16, prod-016 ,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,producto_id,True
17,PROD-017,Producto Logistico 017,Seco,20.0,5.0,41.23,34.67,,False
18,PROD-018,Producto Logistico 018,Seco,,5.0,39.73,33.66,temperatura_conservacion_requerida_c,True
19,PROD-019,Producto Logistico 019,Seco,20.0,5.0,77.58,62.3,,False
20,PROD-020,Producto Logistico 020,Seco,20.0,5.0,70.64,59.96,,False
21,PROD-021,Producto Logistico 021,Fresco,4.0,2.0,103.68,83.07,,False
22, prod-022 ,Producto Logistico 022,Fresco,4.0,2.0,29.94,24.66,producto_id,True
23,PROD-023,Producto Logistico 023,Fresco,4.0,2.0,27.1,22.32,,False
24,PROD-024,Producto Logistico 024,Seco,20.0,5.0,19.63,16.74,,False
25,PROD-025,Producto Logistico 025,Congelado,-18.0,2.0,66.82,54.32,,False
26,PROD-026,Producto Logistico 026,conjelado,4.0,2.0,35.41,28.64,categoria_logistica,True
27,PROD-027,Producto Logistico 027,Fresco,4.0,2.0,77.31,64.06,,False
28,PROD-028,Producto Logistico 028,conjelado,20.0,5.0,32.63,27.13,categoria_logistica,True
29,PROD-029,Producto Logistico 029,Seco,20.0,5.0,96.01,81.05,,False
30,PROD-030,Producto Logistico 030,Seco,20.0,5.0,43.07,34.93,,False
31, prod-031 ,Producto Logistico 031,Seco,20.0,5.0,60.3,50.89,producto_id,True
32,PROD-032,Producto Logistico 032,Seco,20.0,5.0,40.9,33.13,,False
33,PROD-033,Producto Logistico 033,Seco,20.0,5.0,37.93,30.56,,False
34,PROD-034,Producto Logistico 034,Fresco,4.0,2.0,65.96,54.4,,False
35,PROD-035,Producto Logistico 035,Congelado,-18.0,2.0,45.08,37.84,,False
36,PROD-036,Producto Logistico 036,conjelado,4.0,2.0,67.93,58.54,categoria_logistica,True
37,PROD-037,Producto Logistico 037,Fresco,4.0,2.0,31.41,25.76,,False
38,PROD-038,Producto Logistico 038,Seco,20.0,5.0,31.96,26.68,,False
39,PROD-039,Producto Logistico 039,Seco,20.0,5.0,61.51,53.27,,False
40,PROD-040,Producto Logistico 040,Seco,20.0,5.0,47.78,40.19,,False
41,PROD-041,Producto Logistico 041,Congelado,-18.0,2.0,57.88,48.44,,False
