metrica,valor
sha256_bronze,0ee6adc9905e0d41ec5a2646f64633cccbab53ac35ee66a95f9bd46687744eda
version_diagnostico_origen,GIAD-M3-S4-productos-diagnostico-v2
version_tratamiento,GIAD-M3-S4-productos-tratamiento-v1
filas_bronze,63
filas_cuarentena_inicial,13
filas_cuarentena_final,13
filas_liberadas,0
filas_silver,50
problemas_resueltos,0
copias_excluidas,0
problemas_pendientes,14
regla_ID_NORMALIZAR,PENDIENTE
regla_CATEGORIA_CONJELADO,PENDIENTE
regla_DUPLICADO_IDENTICO,PENDIENTE
regla_COLISION_ID_NORMALIZADO,PENDIENTE
regla_TEMP_FALTANTE,PENDIENTE
