fila_bronze,producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,columnas_con_problemas,en_cuarentena,producto_id_preparado,categoria_logistica_preparada,tipo_duplicado,decision_duplicado,fila_canonica,justificacion,en_cuarentena_inicial,motivos_finales,en_cuarentena_final,version_tratamiento
1,PROD-001,Producto Logistico 001,Fresco,4.0,2.0,23.7,20.26,,False,PROD-001,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
2,PROD-002,Producto Logistico 002,Seco,20.0,5.0,101.83,82.37,,False,PROD-002,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
3,PROD-003,Producto Logistico 003,Seco,20.0,5.0,83.08,68.01,,False,PROD-003,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
4,PROD-004,Producto Logistico 004,Fresco,4.0,2.0,19.15,16.27,,False,PROD-004,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
5,PROD-005,Producto Logistico 005,Seco,20.0,5.0,42.02,35.68,,False,PROD-005,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
6,PROD-006,Producto Logistico 006,Seco,20.0,5.0,34.76,29.49,,False,PROD-006,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
7,PROD-007,Producto Logistico 007,Seco,20.0,5.0,24.69,20.78,,False,PROD-007,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
8, prod-008 ,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,producto_id,True, prod-008 ,Congelado,,,,,True,producto_id:FORMATO_INVALIDO,True,GIAD-M3-S4-productos-tratamiento-v1
9,PROD-009,Producto Logistico 009,Fresco,4.0,2.0,91.03,75.19,,False,PROD-009,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
10,PROD-010,Producto Logistico 010,Seco,20.0,5.0,21.93,18.97,,False,PROD-010,Seco,IDENTICO,PENDIENTE,,Sin regla aprobada o datos en conflicto,False,,False,GIAD-M3-S4-productos-tratamiento-v1
11,PROD-011,Producto Logistico 011,Congelado,-18.0,2.0,39.78,32.86,,False,PROD-011,Congelado,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
12,PROD-012,Producto Logistico 012,Seco,20.0,5.0,70.51,59.96,,False,PROD-012,Seco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
13,PROD-013,Producto Logistico 013,Fresco,4.0,2.0,53.93,46.59,,False,PROD-013,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
14,PROD-014,Producto Logistico 014,Seco,20.0,5.0,89.65,74.91,,False,PROD-014,Seco,IDENTICO,PENDIENTE,,Sin regla aprobada o datos en conflicto,False,,False,GIAD-M3-S4-productos-tratamiento-v1
15,PROD-015,Producto Logistico 015,Fresco,4.0,2.0,80.47,68.74,,False,PROD-015,Fresco,,,,,False,,False,GIAD-M3-S4-productos-tratamiento-v1
16, prod-016 ,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,producto_id,True, prod-016 ,Seco,,,,,True,producto_id:FORMATO_INVALIDO,True,GIAD-M3-S4-productos-tratamiento-v1
