rule_id,dimension_calidad,severidad,accion,tipo_problema,columna_afectada,codigo_error,incidencias,filas_afectadas,porcentaje_filas
IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,15,15,0.05
IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO,50,50,0.17
IOT-R011,UNICIDAD,CRITICAL,CUARENTENA,UNICIDAD,,DUPLICADO_IDENTICO,115,115,0.4
IOT-R012,UNICIDAD,CRITICAL,CUARENTENA,UNICIDAD,,CLAVE_EN_CONFLICTO,10,10,0.03
IOT-R014,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,UNIDAD_NO_RECONOCIDA,5,5,0.02
IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,50,50,0.17
IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,80,80,0.28
IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,120,120,0.41
IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,100,100,0.35
IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,15,15,0.05
