rule_id,estado,motivo,incidencias
IOT-R001,EJECUTADA,,0
IOT-R002,EJECUTADA,,15
IOT-R003,EJECUTADA,,0
IOT-R004,EJECUTADA,,0
IOT-R005,EJECUTADA,,0
IOT-R006,EJECUTADA,,0
IOT-R007,EJECUTADA,,0
IOT-R008,EJECUTADA,,50
IOT-R009,EJECUTADA,,0
IOT-R010,EJECUTADA,,0
IOT-R011,EJECUTADA,,115
IOT-R012,EJECUTADA,,10
IOT-R013,EJECUTADA,,0
IOT-R014,EJECUTADA,,0
IOT-R015,EJECUTADA,,50
IOT-R016,EJECUTADA,,80
IOT-R017,EJECUTADA,,0
IOT-R018,EJECUTADA,,120
IOT-R019,EJECUTADA,,100
IOT-R020,EJECUTADA,,0
IOT-R021,EJECUTADA,,15
IOT-R022,EJECUTADA,,0
IOT-R023,EJECUTADA,,0
IOT-R024,EJECUTADA,,0
IOT-R025,EJECUTADA,,0
IOT-R026,EJECUTADA,,5067
IOT-R027,EJECUTADA,,2481
IOT-R028,NO_EJECUTADA,SIN_FUENTE_REFERENCIA,0
IOT-R029,EJECUTADA,,5
IOT-R030,EJECUTADA,,0
