fila_bronze,rule_id,columna_afectada,codigo_error,severidad,accion,tipo_problema,dimension_calidad,valor_original,detalle,estado_tratamiento,bloquea_silver,tratamiento_aplicado,detalle_resultado
1,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
2,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
3,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
4,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
5,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
6,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
7,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
8,IOT-R019,humedad_cabina_pct,FALTANTE,CRITICAL,CUARENTENA,FALTANTE,COMPLETITUD,,Humedad vacía,PENDIENTE,True,NINGUNO,Se resuelve solo al registrar una acción validada
8,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
9,IOT-R027,camion_id,REFERENCIA_INEXISTENTE,WARNING,REVISAR,INTEGRIDAD,INTEGRIDAD,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",ADVERTENCIA,False,NINGUNO,Dimensión Silver parcial; no invalida lectura
