fila_bronze,clave_lectura,tipo_duplicado,decision_duplicado,fila_canonica
34,VIA-00002|2026-08-13 04:00:00,IDENTICO,CANONICA,34
28833,VIA-00002|2026-08-13 04:00:00,IDENTICO,COPIA_EXCLUIDA,34
648,VIA-00027|2026-08-30 10:57:00,IDENTICO,CANONICA,648
28827,VIA-00027|2026-08-30 10:57:00,IDENTICO,COPIA_EXCLUIDA,648
868,VIA-00037|2026-08-01 01:56:00,IDENTICO,CANONICA,868
28911,VIA-00037|2026-08-01 01:56:00,IDENTICO,COPIA_EXCLUIDA,868
960,VIA-00040|2026-08-07 13:29:00,IDENTICO,CANONICA,960
28909,VIA-00040|2026-08-07 13:29:00,IDENTICO,COPIA_EXCLUIDA,960
1110,VIA-00047|2026-08-29 06:13:00,IDENTICO,CANONICA,1110
28819,VIA-00047|2026-08-29 06:13:00,IDENTICO,COPIA_EXCLUIDA,1110
1221,VIA-00051|2026-08-06 14:54:00,IDENTICO,CANONICA,1221
28828,VIA-00051|2026-08-06 14:54:00,IDENTICO,COPIA_EXCLUIDA,1221
1263,VIA-00053|2026-08-09 23:54:00,IDENTICO,CANONICA,1263
28818,VIA-00053|2026-08-09 23:54:00,IDENTICO,COPIA_EXCLUIDA,1263
1631,VIA-00068|2026-08-14 18:43:00,IDENTICO,CANONICA,1631
28894,VIA-00068|2026-08-14 18:43:00,IDENTICO,COPIA_EXCLUIDA,1631
1735,VIA-00073|2026-08-17 08:26:00,IDENTICO,CANONICA,1735
28849,VIA-00073|2026-08-17 08:26:00,IDENTICO,COPIA_EXCLUIDA,1735
1876,VIA-00079|2026-08-12 13:15:00,IDENTICO,CANONICA,1876
28905,VIA-00079|2026-08-12 13:15:00,IDENTICO,COPIA_EXCLUIDA,1876
2182,VIA-00091|2026-08-20 19:22:00,IDENTICO,CANONICA,2182
28844,VIA-00091|2026-08-20 19:22:00,IDENTICO,COPIA_EXCLUIDA,2182
2420,VIA-00101|2026-08-23 00:04:00,IDENTICO,CANONICA,2420
28910,VIA-00101|2026-08-23 00:04:00,IDENTICO,COPIA_EXCLUIDA,2420
2898,VIA-00121|2026-08-05 18:36:00,IDENTICO,CANONICA,2898
28895,VIA-00121|2026-08-05 18:36:00,IDENTICO,COPIA_EXCLUIDA,2898
2913,VIA-00122|2026-08-23 15:16:00,IDENTICO,CANONICA,2913
28821,VIA-00122|2026-08-23 15:16:00,IDENTICO,COPIA_EXCLUIDA,2913
2948,VIA-00123|2026-08-04 06:17:00,IDENTICO,CANONICA,2948
28899,VIA-00123|2026-08-04 06:17:00,IDENTICO,COPIA_EXCLUIDA,2948
2959,VIA-00124|2026-08-19 13:56:00,COMPLEMENTARIO,CANONICA,2959
28912,VIA-00124|2026-08-19 13:56:00,COMPLEMENTARIO,COPIA_EXCLUIDA,2959
3235,VIA-00135|2026-08-04 17:56:00,IDENTICO,CANONICA,3235
28838,VIA-00135|2026-08-04 17:56:00,IDENTICO,COPIA_EXCLUIDA,3235
3914,VIA-00164|2026-08-03 14:56:00,IDENTICO,CANONICA,3914
28888,VIA-00164|2026-08-03 14:56:00,IDENTICO,COPIA_EXCLUIDA,3914
4403,VIA-00184|2026-08-21 16:21:00,IDENTICO,CANONICA,4403
28802,VIA-00184|2026-08-21 16:21:00,IDENTICO,COPIA_EXCLUIDA,4403
4439,VIA-00185|2026-08-22 15:54:00,IDENTICO,CANONICA,4439
28871,VIA-00185|2026-08-22 15:54:00,IDENTICO,COPIA_EXCLUIDA,4439
4492,VIA-00188|2026-08-13 01:05:00,IDENTICO,CANONICA,4492
28873,VIA-00188|2026-08-13 01:05:00,IDENTICO,COPIA_EXCLUIDA,4492
4543,VIA-00190|2026-08-15 01:03:00,IDENTICO,CANONICA,4543
28892,VIA-00190|2026-08-15 01:03:00,IDENTICO,COPIA_EXCLUIDA,4543
4634,VIA-00194|2026-08-18 04:11:00,IDENTICO,CANONICA,4634
28804,VIA-00194|2026-08-18 04:11:00,IDENTICO,COPIA_EXCLUIDA,4634
4720,VIA-00197|2026-08-19 21:30:00,IDENTICO,CANONICA,4720
28815,VIA-00197|2026-08-19 21:30:00,IDENTICO,COPIA_EXCLUIDA,4720
5009,VIA-00209|2026-08-27 00:06:00,IDENTICO,CANONICA,5009
28913,VIA-00209|2026-08-27 00:06:00,IDENTICO,COPIA_EXCLUIDA,5009
5185,VIA-00217|2026-08-12 12:57:00,IDENTICO,CANONICA,5185
28826,VIA-00217|2026-08-12 12:57:00,IDENTICO,COPIA_EXCLUIDA,5185
5659,VIA-00236|2026-08-10 20:07:00,IDENTICO,CANONICA,5659
28801,VIA-00236|2026-08-10 20:07:00,IDENTICO,COPIA_EXCLUIDA,5659
5786,VIA-00242|2026-08-18 17:23:00,IDENTICO,CANONICA,5786
28807,VIA-00242|2026-08-18 17:23:00,IDENTICO,COPIA_EXCLUIDA,5786
6187,VIA-00258|2026-08-18 14:54:00,IDENTICO,CANONICA,6187
28853,VIA-00258|2026-08-18 14:54:00,IDENTICO,COPIA_EXCLUIDA,6187
6194,VIA-00259|2026-08-19 11:40:00,IDENTICO,CANONICA,6194
28806,VIA-00259|2026-08-19 11:40:00,IDENTICO,COPIA_EXCLUIDA,6194
6218,VIA-00260|2026-08-02 21:34:00,IDENTICO,CANONICA,6218
28919,VIA-00260|2026-08-02 21:34:00,IDENTICO,COPIA_EXCLUIDA,6218
6220,VIA-00260|2026-08-02 22:34:00,IDENTICO,CANONICA,6220
28857,VIA-00260|2026-08-02 22:34:00,IDENTICO,COPIA_EXCLUIDA,6220
6360,VIA-00265|2026-08-26 12:40:00,IDENTICO,CANONICA,6360
28902,VIA-00265|2026-08-26 12:40:00,IDENTICO,COPIA_EXCLUIDA,6360
6409,VIA-00268|2026-08-14 15:35:00,IDENTICO,CANONICA,6409
28896,VIA-00268|2026-08-14 15:35:00,IDENTICO,COPIA_EXCLUIDA,6409
7121,VIA-00297|2026-08-11 19:05:00,IDENTICO,CANONICA,7121
28908,VIA-00297|2026-08-11 19:05:00,IDENTICO,COPIA_EXCLUIDA,7121
7189,VIA-00300|2026-08-20 15:44:00,IDENTICO,CANONICA,7189
28883,VIA-00300|2026-08-20 15:44:00,IDENTICO,COPIA_EXCLUIDA,7189
7311,VIA-00305|2026-08-23 15:01:00,IDENTICO,CANONICA,7311
28820,VIA-00305|2026-08-23 15:01:00,IDENTICO,COPIA_EXCLUIDA,7311
7339,VIA-00306|2026-08-05 09:12:00,IDENTICO,CANONICA,7339
28836,VIA-00306|2026-08-05 09:12:00,IDENTICO,COPIA_EXCLUIDA,7339
7362,VIA-00307|2026-08-31 07:49:00,IDENTICO,CANONICA,7362
28877,VIA-00307|2026-08-31 07:49:00,IDENTICO,COPIA_EXCLUIDA,7362
7854,VIA-00328|2026-08-19 05:30:00,IDENTICO,CANONICA,7854
28890,VIA-00328|2026-08-19 05:30:00,IDENTICO,COPIA_EXCLUIDA,7854
8617,VIA-00360|2026-08-06 00:41:00,IDENTICO,CANONICA,8617
28898,VIA-00360|2026-08-06 00:41:00,IDENTICO,COPIA_EXCLUIDA,8617
8700,VIA-00363|2026-08-06 05:11:00,IDENTICO,CANONICA,8700
28811,VIA-00363|2026-08-06 05:11:00,IDENTICO,COPIA_EXCLUIDA,8700
