fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,columnas_con_problemas,en_cuarentena
277,MOV-000277,LOT-2026-00277,PROD-027,Santa Cruz,19/05/2026,2026-05-28,2027-05-19,698,691,6,9,44.86,fecha_ingreso,True
374,MOV-000374,LOT-2026-00374,PROD-029,Cochabamba,2026-07-31,2026-08-11,,102,94,1,11,60.18,fecha_vencimiento,True
409,MOV-000409,LOT-2026-00409,PROD-021,Cochabamba,19/07/2026,2026-07-29,2027-07-19,605,597,5,10,84.36,fecha_ingreso,True
846,MOV-000846,LOT-2026-00846,PROD-032,Santa Cruz,2026-07-21,2026-08-26,,105,100,1,36,63.21,fecha_vencimiento,True
912,MOV-000912,LOT-2026-00912,PROD-009,La Paz,2026-05-17,2026-06-02,2027-05-17,cien,309,4,16,16.29,cantidad_ingreso,True
924,MOV-000924,LOT-2026-00924,PROD-037,Santa Cruz,05/05/2026,2026-05-22,2027-05-05,738,726,5,17,64.93,fecha_ingreso,True
1052,MOV-001052,LOT-2026-01052,PROD-051,Santa Cruz,2026-06-02,2026-06-12,2026-11-29,541,533,-7,10,21.14,cantidad_merma,True
1066,MOV-001066,LOT-2026-01066,PROD-025,Santa Cruz,2026-05-03,2026-05-17,2026-05-21,cien,76,2,14,45.25,cantidad_ingreso,True
1167,MOV-001167,LOT-2026-01167,PROD-024,Oruro,2026-07-03,2026-02-31,2027-07-03,685,676,4,23,23.48,fecha_salida,True
1226,MOV-001226,LOT-2026-01226,PROD-018,Tarija,2026-07-11,2026-07-27,,947,936,6,16,20.82,fecha_vencimiento,True
1311,MOV-001311,LOT-2026-01311,PROD-037,La Paz,2026-06-17,2026-07-24,2027-06-17,851,836,-8,37,64.93,cantidad_merma,True
1506,MOV-001506,LOT-2026-01506,PROD-013,Santa Cruz,2026-06-26,2026-02-31,2026-12-23,887,869,11,7,33.05,fecha_salida,True
1610,MOV-001610,LOT-2026-01610,PROD-017,Cochabamba,27/05/2026,2026-06-06,2026-06-14,418,404,11,10,19.81,fecha_ingreso,True
1651,MOV-001651,LOT-2026-01651,PROD-015,Oruro,2026-08-26,2026-02-31,2027-02-22,443,435,6,4,54.56,fecha_salida,True
1680,MOV-001680,LOT-2026-01680,PROD-007,Santa Cruz,22/05/2026,2026-06-19,2027-05-22,982,973,8,28,23.87,fecha_ingreso,True
1869,MOV-001869,LOT-2026-01869,PROD-029,Santa Cruz,14/06/2026,2026-07-02,2027-06-14,138,135,1,18,60.18,fecha_ingreso,True
1872,MOV-001872,LOT-2026-01872,PROD-018,Santa Cruz,2026-06-25,2026-08-15,2027-06-25,519,498,-17,51,20.82,cantidad_merma,True
1989,MOV-001989,LOT-2026-01989,PROD-055,La Paz,23/08/2026,2026-09-08,2027-08-23,887,874,7,16,60.11,fecha_ingreso,True
2055,MOV-002055,LOT-2026-02055,PROD-024,La Paz,2026-07-26,2026-08-11,2027-07-26,cien,369,3,16,23.48,cantidad_ingreso,True
2079,MOV-002079,LOT-2026-02079,PROD-034,Santa Cruz,20/05/2026,2026-07-04,2027-05-20,698,676,16,45,83.26,fecha_ingreso,True
2192,MOV-002192,LOT-2026-02192,PROD-002,Tarija,15/05/2026,2026-05-23,2026-06-02,569,549,15,8,33.75,fecha_ingreso,True
2208,MOV-002208,LOT-2026-02208,PROD-051,Oruro,2026-05-31,2026-06-11,2026-11-27,cien,96,1,11,21.14,cantidad_ingreso,True
2250,MOV-002250,LOT-2026-02250,PROD-040,Santa Cruz,2026-07-31,2026-08-10,2026-08-18,cien,764,22,10,82.17,cantidad_ingreso,True
2265,MOV-002265,LOT-2026-02265,PROD-018,Cochabamba,2026-06-08,2026-06-30,,273,266,2,22,20.82,fecha_vencimiento,True
2570,MOV-002570,LOT-2026-02570,PROD-010,Tarija,06/05/2026,2026-05-18,2027-05-06,558,548,3,12,47.91,fecha_ingreso,True
2672,MOV-002672,LOT-2026-02672,PROD-016,Cochabamba,2026-08-02,2026-08-30,2027-08-02,cien,249,1,28,44.33,cantidad_ingreso,True
2747,MOV-002747,LOT-2026-02747,PROD-033,Tarija,11/07/2026,2026-08-04,2027-07-11,603,595,3,24,77.59,fecha_ingreso,True
2786,MOV-002786,LOT-2026-02786,PROD-003,Santa Cruz,18/08/2026,2026-08-30,2026-09-05,410,397,11,12,27.19,fecha_ingreso,True
2793,MOV-002793,LOT-2026-02793,PROD-058,Santa Cruz,2026-07-07,2026-07-23,2027-07-07,202,194,-1,16,83.63,cantidad_merma,True
3005,MOV-003005,LOT-2026-03005,PROD-018,Oruro,05/07/2026,2026-07-23,2027-07-05,851,839,6,18,20.82,fecha_ingreso,True
3035,MOV-003035,LOT-2026-03035,PROD-028,Oruro,03/07/2026,2026-07-21,2027-07-03,548,538,5,18,55.4,fecha_ingreso,True
3114,MOV-003114,LOT-2026-03114,PROD-038,Oruro,17/07/2026,2026-08-08,2027-07-17,661,653,4,22,13.49,fecha_ingreso,True
3226,MOV-003226,LOT-2026-03226,PROD-038,Oruro,2026-06-29,2026-07-14,,706,702,4,15,13.49,fecha_vencimiento,True
3246,MOV-003246,LOT-2026-03246,PROD-001,Tarija,2026-06-20,2026-06-21,2026-12-17,cien,99,1,1,42.39,cantidad_ingreso,True
3356,MOV-003356,LOT-2026-03356,PROD-044,La Paz,08/06/2026,2026-06-30,2027-06-08,694,689,4,22,65.12,fecha_ingreso,True
