fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico
277,fecha_ingreso,FECHA_INVALIDA,19/05/2026,GIAD-M3-S4-INV-diagnostico-v1
374,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
409,fecha_ingreso,FECHA_INVALIDA,19/07/2026,GIAD-M3-S4-INV-diagnostico-v1
846,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
912,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
924,fecha_ingreso,FECHA_INVALIDA,05/05/2026,GIAD-M3-S4-INV-diagnostico-v1
1052,cantidad_merma,FUERA_RANGO,-7,GIAD-M3-S4-INV-diagnostico-v1
1066,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
1167,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INV-diagnostico-v1
1226,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
1311,cantidad_merma,FUERA_RANGO,-8,GIAD-M3-S4-INV-diagnostico-v1
1506,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INV-diagnostico-v1
1610,fecha_ingreso,FECHA_INVALIDA,27/05/2026,GIAD-M3-S4-INV-diagnostico-v1
1651,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INV-diagnostico-v1
1680,fecha_ingreso,FECHA_INVALIDA,22/05/2026,GIAD-M3-S4-INV-diagnostico-v1
1869,fecha_ingreso,FECHA_INVALIDA,14/06/2026,GIAD-M3-S4-INV-diagnostico-v1
1872,cantidad_merma,FUERA_RANGO,-17,GIAD-M3-S4-INV-diagnostico-v1
1989,fecha_ingreso,FECHA_INVALIDA,23/08/2026,GIAD-M3-S4-INV-diagnostico-v1
2055,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
2079,fecha_ingreso,FECHA_INVALIDA,20/05/2026,GIAD-M3-S4-INV-diagnostico-v1
2192,fecha_ingreso,FECHA_INVALIDA,15/05/2026,GIAD-M3-S4-INV-diagnostico-v1
2208,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
2250,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
2265,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
2570,fecha_ingreso,FECHA_INVALIDA,06/05/2026,GIAD-M3-S4-INV-diagnostico-v1
2672,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
2747,fecha_ingreso,FECHA_INVALIDA,11/07/2026,GIAD-M3-S4-INV-diagnostico-v1
2786,fecha_ingreso,FECHA_INVALIDA,18/08/2026,GIAD-M3-S4-INV-diagnostico-v1
2793,cantidad_merma,FUERA_RANGO,-1,GIAD-M3-S4-INV-diagnostico-v1
3005,fecha_ingreso,FECHA_INVALIDA,05/07/2026,GIAD-M3-S4-INV-diagnostico-v1
3035,fecha_ingreso,FECHA_INVALIDA,03/07/2026,GIAD-M3-S4-INV-diagnostico-v1
3114,fecha_ingreso,FECHA_INVALIDA,17/07/2026,GIAD-M3-S4-INV-diagnostico-v1
3226,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
3246,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
3356,fecha_ingreso,FECHA_INVALIDA,08/06/2026,GIAD-M3-S4-INV-diagnostico-v1
3421,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
3574,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
3609,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
3665,fecha_ingreso,FECHA_INVALIDA,04/07/2026,GIAD-M3-S4-INV-diagnostico-v1
3685,fecha_ingreso,FECHA_INVALIDA,19/05/2026,GIAD-M3-S4-INV-diagnostico-v1
3861,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
3882,fecha_ingreso,FECHA_INVALIDA,23/06/2026,GIAD-M3-S4-INV-diagnostico-v1
3974,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
4249,fecha_ingreso,FECHA_INVALIDA,18/08/2026,GIAD-M3-S4-INV-diagnostico-v1
4459,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
4700,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
4702,fecha_ingreso,FECHA_INVALIDA,27/05/2026,GIAD-M3-S4-INV-diagnostico-v1
4869,fecha_ingreso,FECHA_INVALIDA,07/07/2026,GIAD-M3-S4-INV-diagnostico-v1
4900,cantidad_merma,FUERA_RANGO,-11,GIAD-M3-S4-INV-diagnostico-v1
4915,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
4971,fecha_salida,FECHA_INVALIDA,2026-02-31,GIAD-M3-S4-INV-diagnostico-v1
4978,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
4995,fecha_ingreso,FECHA_INVALIDA,22/07/2026,GIAD-M3-S4-INV-diagnostico-v1
5096,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
5104,fecha_ingreso,FECHA_INVALIDA,30/05/2026,GIAD-M3-S4-INV-diagnostico-v1
5214,cantidad_merma,FUERA_RANGO,-6,GIAD-M3-S4-INV-diagnostico-v1
5227,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
5254,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
5265,fecha_vencimiento,FALTANTE,,GIAD-M3-S4-INV-diagnostico-v1
5282,cantidad_ingreso,NO_NUMERICA,cien,GIAD-M3-S4-INV-diagnostico-v1
