metrica,valor
archivo_bronze,andinalog_iot_telemetry.csv
sha256_bronze,c5f78ed802f8455dfc8eac91295954c38a159029e77b8ed748875fe2d8cf7467
version_diagnostico,GIAD-M3-S4-IOT-diagnostico-v3
filas_bronze,28920
filas_diagnosticadas,28920
filas_en_cuarentena,450
filas_sin_cuarentena,28470
problemas_detectados,455
humedad_cabina_pct:FALTANTE,100
humedad_cabina_pct:FUERA_RANGO,15
temp_unit:UNIDAD_NO_RECONOCIDA,5
temperatura_cabina_c:FALTANTE,80
temperatura_cabina_c:VALOR_CENTINELA,120
timestamp:FECHA_INVALIDA,15
viaje_id+timestamp:DUPLICADO,120
