fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,columnas_con_problemas,en_cuarentena,temperatura_c_preparada,tratamiento_temperatura,en_cuarentena_inicial,columnas_problema_iniciales,motivos_finales,en_cuarentena_final,tratamientos_aplicados,version_tratamiento
8,2026-08-04 23:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.83,C,,0,0,humedad_cabina_pct,True,-17.83,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
121,2026-08-23 01:53:00,VIA-00006,ORD-2026-01337,CAM-13,PROD-031,-17.52,C,,0,0,humedad_cabina_pct,True,-17.52,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
213,2026-08-09 05:30:00,VIA-00009,ORD-2026-03793,CAM-30,PROD-017,3.49,C,,0,0,humedad_cabina_pct,True,3.49,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
238,2026-08-30 09:30:00,VIA-00010,ORD-2026-02783,CAM-03,PROD-028,,C,35.8,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
477,2026-08-29 08:43:00,VIA-00020,ORD-2026-01231,CAM-22,PROD-054,,C,39.1,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
530,2026-08-30 03:18:00,VIA-00023,ORD-2026-01360,CAM-22,PROD-028,20.87,C,-59.9,0,0,humedad_cabina_pct,True,20.87,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FUERA_RANGO,True,,GIAD-M3-S4-IOT-tratamiento-v1
533,2026-08-30 04:48:00,VIA-00023,ORD-2026-01360,CAM-22,PROD-028,17.83,C,,0,0,humedad_cabina_pct,True,17.83,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
598,2026-08-25 07:23:00,VIA-00025,ORD-2026-06241,CAM-12,PROD-003,2.42,C,,0,0,humedad_cabina_pct,True,2.42,C_ORIGINAL,True,humedad_cabina_pct,humedad_cabina_pct:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
757,2026-08-03 06:03:00,VIA-00032,ORD-2026-01878,CAM-06,PROD-009,,C,49.2,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
1079,2026-08-22 08:31:00,VIA-00045,ORD-2026-01164,CAM-08,PROD-045,,C,40.0,0,0,temperatura_cabina_c,True,,SIN_TRATAMIENTO,True,temperatura_cabina_c,temperatura_cabina_c:FALTANTE,True,,GIAD-M3-S4-IOT-tratamiento-v1
