metrica,valor
sha256_bronze,c5f78ed802f8455dfc8eac91295954c38a159029e77b8ed748875fe2d8cf7467
sha256_flota,5c02eb8ef591c7f98846b8f547f41383467b41e7768bddb4031bb43d1b812bec
version_tratamiento,GIAD-M3-S4-IOT-tratamiento-v2
filas_totales,28920
filas_cuarentena_inicial,330
filas_cuarentena_final,325
filas_liberadas,5
problemas_resueltos,6
copias_excluidas,120
problemas_pendientes,210
temperaturas_C_conservadas,28785
temperaturas_F_a_C,50
temperaturas_K_a_C,5
pares_duplicados_identico,114
pares_duplicados_mayusculas,1
pares_duplicados_complementario,5
duplicados_sin_decision,0
regla_TEMP_C_CONSERVAR,APROBADA
regla_TEMP_F_A_C,APROBADA
regla_TEMP_K_A_C,APROBADA
regla_DUPLICADO_IDENTICO,APROBADA
regla_DUPLICADO_MAYUSCULAS,APROBADA
regla_DUPLICADO_COMPLEMENTARIO,APROBADA
regla_FALTANTE_TEMPERATURA,PENDIENTE
regla_FALTANTE_HUMEDAD,PENDIENTE
regla_HUMEDAD_FUERA_RANGO,PENDIENTE
regla_FECHA_INVALIDA,PENDIENTE
regla_DUPLICADO_CONFLICTIVO,PENDIENTE
