fila_bronze,order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,columnas_con_problemas,en_cuarentena
1,ORD-2026-00001,CLI-078,PROD-006,2026-08-19 14:15:00,La Paz,CAM-27,CHO-093,231,231.0,48,44.9,1,1,1,,False
2,ORD-2026-00002,CLI-057,PROD-022,2026-08-09 23:27:00,Tarija,CAM-12,CHO-008,203,203.0,48,33.7,1,1,1,,False
3,ORD-2026-00003,CLI-028,PROD-047,2026-08-28 00:07:00,Oruro,CAM-16,CHO-038,244,240.0,24,14.3,1,0,0,,False
4,ORD-2026-00004,CLI-019,PROD-020,2026-08-22 05:52:00,Tarija,CAM-03,CHO-026,417,417.0,48,48.0,1,1,1,,False
5,ORD-2026-00005,CLI-073,PROD-015,2026-08-01 12:00:00,Cochabamba,CAM-08,CHO-016,122,122.0,48,42.8,1,1,1,,False
6,ORD-2026-00006,CLI-001,PROD-044,2026-08-29 02:49:00,Cochabamba,CAM-22,CHO-147,188,188.0,72,71.6,1,1,1,,False
7,ORD-2026-00007,CLI-039,PROD-050,2026-08-02 17:05:00,Oruro,CAM-24,CHO-136,341,341.0,48,34.6,1,1,1,,False
8,ORD-2026-00008,CLI-019,PROD-034,2026-08-11 06:47:00,Tarija,CAM-26,CHO-008,321,321.0,48,31.8,1,1,1,,False
9,ORD-2026-00009,CLI-005,PROD-055,2026-08-09 02:44:00,Oruro,CAM-24,CHO-032,435,435.0,24,25.9,0,1,0,,False
10,ORD-2026-00010,CLI-070,PROD-048,2026-08-18 16:35:00,Cochabamba,CAM-23,CHO-058,374,374.0,72,89.8,0,1,0,,False
11,ORD-2026-00011,CLI-079,PROD-051,2026-08-21 22:07:00,Cochabamba,CAM-01,CHO-055,390,390.0,48,54.7,0,1,0,,False
12,ORD-2026-00012,CLI-025,PROD-029,2026-08-27 18:17:00,La Paz,CAM-28,CHO-126,264,264.0,72,46.4,1,1,1,,False
