fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,columnas_con_problemas,en_cuarentena
1,2026-08-04 20:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.75,C,74.2,0,0,,False
2,2026-08-04 20:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.33,C,65.0,0,0,,False
3,2026-08-04 21:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.52,C,73.0,0,0,,False
4,2026-08-04 21:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.96,C,85.4,0,0,,False
5,2026-08-04 22:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.96,C,60.6,0,0,,False
6,2026-08-04 22:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.2,C,78.8,0,0,,False
7,2026-08-04 23:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-16.81,C,58.3,0,0,,False
8,2026-08-04 23:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.83,C,,0,0,humedad_cabina_pct,True
9,2026-08-05 00:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.66,C,69.5,0,0,,False
10,2026-08-05 00:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-16.98,C,71.5,0,0,,False
11,2026-08-05 01:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.04,C,61.7,0,0,,False
12,2026-08-05 01:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.29,C,77.8,0,0,,False
13,2026-08-05 02:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.38,C,72.0,0,0,,False
14,2026-08-05 02:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.1,C,67.1,0,0,,False
15,2026-08-05 03:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.38,C,55.0,0,0,,False
16,2026-08-05 03:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-18.16,C,72.9,0,0,,False
17,2026-08-05 04:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.42,C,71.4,0,0,,False
18,2026-08-05 04:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.14,C,80.4,0,0,,False
19,2026-08-05 05:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.36,C,77.0,0,0,,False
20,2026-08-05 05:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-16.15,C,63.0,0,0,,False
21,2026-08-05 06:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-16.97,C,65.6,0,0,,False
22,2026-08-05 06:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.13,C,71.7,0,0,,False
23,2026-08-05 07:15:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-19.25,C,73.9,0,0,,False
24,2026-08-05 07:45:00,VIA-00001,ORD-2026-05710,CAM-12,PROD-052,-17.41,C,68.3,0,0,,False
25,2026-08-10 17:17:00,VIA-00002,ORD-2026-04815,CAM-23,PROD-031,-18.3,C,69.6,0,0,,False
26,2026-08-10 17:47:00,VIA-00002,ORD-2026-04815,CAM-23,PROD-031,-18.69,C,72.2,0,0,,False
27,2026-08-10 18:17:00,VIA-00002,ORD-2026-04815,CAM-23,PROD-031,-16.63,C,77.1,0,0,,False
28,2026-08-10 18:47:00,VIA-00002,ORD-2026-04815,CAM-23,PROD-031,-17.6,C,63.5,0,0,,False
29,2026-08-10 19:17:00,VIA-00002,ORD-2026-04815,CAM-23,PROD-031,-18.61,C,68.1,0,0,,False
30,2026-08-10 19:47:00,VIA-00002,ORD-2026-04815,CAM-23,PROD-031,-19.1,C,79.3,0,0,,False
31,2026-08-10 20:17:00,VIA-00002,ORD-2026-04815,CAM-23,PROD-031,-17.43,C,66.6,0,0,,False
32,2026-08-10 20:47:00,VIA-00002,ORD-2026-04815,CAM-23,PROD-031,-17.68,C,56.3,0,0,,False
