fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico
8,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
121,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
213,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
238,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
477,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
530,humedad_cabina_pct,FUERA_RANGO,-59.9,GIAD-M3-S4-IOT-diagnostico-v2
533,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
598,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
757,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
1079,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
1169,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
1276,humedad_cabina_pct,FUERA_RANGO,-75.7,GIAD-M3-S4-IOT-diagnostico-v2
1286,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
1336,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
1469,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
1730,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
1798,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
1967,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
2346,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
2356,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
2583,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
2601,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
2788,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
2990,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
3019,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
3060,temperatura_cabina_c,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
3106,humedad_cabina_pct,FALTANTE,,GIAD-M3-S4-IOT-diagnostico-v2
