metrica,valor
archivo_bronze,andinalog_iot_telemetry.csv
sha256_bronze,c5f78ed802f8455dfc8eac91295954c38a159029e77b8ed748875fe2d8cf7467
version_diagnostico,GIAD-M3-S4-IOT-diagnostico-v2
filas_bronze,28920
filas_diagnosticadas,28920
filas_en_cuarentena,330
filas_sin_cuarentena,28590
problemas_detectados,335
humedad_cabina_pct:FALTANTE,100
humedad_cabina_pct:FUERA_RANGO,15
temp_unit:UNIDAD_NO_RECONOCIDA,5
temperatura_cabina_c:FALTANTE,80
timestamp:FECHA_INVALIDA,15
viaje_id+timestamp:DUPLICADO,120
