order_id,satisfaccion_score,costo_devolucion_bob,queja_motivo
ORD-2026-00001,5,0.0,Ninguno
ORD-2026-00003,5,0.0,Ninguno
ORD-2026-00005,4,0.0,Ninguno
ORD-2026-00006,5,0.0,Ninguno
ORD-2026-00009,5,0.0,Ninguno
ORD-2026-00010,4,0.0,Ninguno
ORD-2026-00012,2,2330.19,Faltaban items
ORD-2026-00013,1,1313.9,Faltaban items
ORD-2026-00014,3,0.0,Retraso de camion
ORD-2026-00015,4,0.0,Ninguno
ORD-2026-00019,2,1516.45,Retraso de camion
ORD-2026-00021,2,2031.99,Faltaban items
ORD-2026-00022,2,2767.36,Faltaban items
ORD-2026-00025,4,0.0,Ninguno
ORD-2026-00026,5,0.0,Ninguno
ORD-2026-00027,5,0.0,Ninguno
ORD-2026-00032,5,0.0,Ninguno
ORD-2026-00036,3,0.0,Faltaban items
ORD-2026-00037,5,0.0,Ninguno
ORD-2026-00039,4,0.0,Ninguno
ORD-2026-00040,4,0.0,Retraso de camion
ORD-2026-00044,5,0.0,Ninguno
ORD-2026-00045,4,0.0,Ninguno
ORD-2026-00051,3,0.0,Ninguno
ORD-2026-00053,2,1340.81,Retraso de camion
ORD-2026-00059,2,2816.84,Retraso de camion
ORD-2026-00060,4,0.0,Retraso de camion
ORD-2026-00061,4,0.0,Faltaban items
ORD-2026-00063,3,0.0,Ninguno
ORD-2026-00064,5,0.0,Ninguno
ORD-2026-00065,3,0.0,Faltaban items
ORD-2026-00066,4,0.0,Ninguno
ORD-2026-00068,5,0.0,Ninguno
ORD-2026-00069,5,0.0,Ninguno
ORD-2026-00071,4,0.0,Retraso de camion
ORD-2026-00072,2,1473.93,Faltaban items
ORD-2026-00073,4,0.0,Faltaban items
ORD-2026-00074,5,0.0,Ninguno
ORD-2026-00078,4,0.0,Faltaban items
ORD-2026-00080,5,0.0,Ninguno
ORD-2026-00081,5,0.0,Ninguno
ORD-2026-00084,4,0.0,Ninguno
ORD-2026-00086,4,0.0,Ninguno
ORD-2026-00089,3,0.0,Retraso de camion
ORD-2026-00090,4,0.0,Retraso de camion
ORD-2026-00094,5,0.0,Ninguno
ORD-2026-00095,4,0.0,Retraso de camion
ORD-2026-00097,4,0.0,Ninguno
ORD-2026-00098,3,0.0,Ninguno
ORD-2026-00100,3,0.0,Retraso de camion
ORD-2026-00101,1,2119.32,Retraso de camion
ORD-2026-00103,5,0.0,Ninguno
ORD-2026-00106,2,505.35,Retraso de camion
ORD-2026-00107,5,0.0,Caja dañada
ORD-2026-00108,3,0.0,Caja dañada
ORD-2026-00110,3,0.0,Ninguno
ORD-2026-00111,5,0.0,Ninguno
ORD-2026-00112,5,0.0,Ninguno
ORD-2026-00113,2,1387.3,Retraso de camion
ORD-2026-00114,4,0.0,Ninguno
ORD-2026-00115,2,2679.71,Retraso de camion
ORD-2026-00117,5,0.0,Ninguno
ORD-2026-00120,5,0.0,Ninguno
ORD-2026-00124,2,1719.34,Retraso de camion
ORD-2026-00126,4,0.0,Retraso de camion
ORD-2026-00128,4,0.0,Caja dañada
ORD-2026-00129,3,0.0,Ninguno
ORD-2026-00131,1,1331.53,Retraso de camion
ORD-2026-00132,2,1666.76,Retraso de camion
ORD-2026-00133,4,0.0,Ninguno
ORD-2026-00135,4,0.0,Ninguno
ORD-2026-00138,3,0.0,Retraso de camion
ORD-2026-00141,5,0.0,Ninguno
ORD-2026-00142,5,0.0,Ninguno
ORD-2026-00144,4,0.0,Faltaban items
ORD-2026-00145,4,0.0,Ninguno
ORD-2026-00147,3,0.0,Retraso de camion
ORD-2026-00148,5,0.0,Ninguno
ORD-2026-00150,4,0.0,Retraso de camion
ORD-2026-00151,4,0.0,Ninguno
ORD-2026-00152,4,0.0,Ninguno
ORD-2026-00155,3,0.0,Retraso de camion
ORD-2026-00156,3,0.0,Retraso de camion
ORD-2026-00161,4,0.0,Ninguno
ORD-2026-00162,5,0.0,Ninguno
ORD-2026-00165,5,0.0,Ninguno
