cliente_id,nombre_comercial,tipo_cliente,zona_despacho
CLI-001,Comercial Andina 001,Institucional,Oriente
CLI-002,Comercial Andina 002,Distribuidor,Valles
CLI-003,Comercial Andina 003,Institucional,Altiplano
CLI-004,Comercial Andina 004,Canal Tradicional,Altiplano
CLI-005,Comercial Andina 005,Canal Tradicional,Metropolitana
CLI-006,Comercial Andina 006,Institucional,Altiplano
CLI-007,Comercial Andina 007,Canal Tradicional,Valles
 cli-008 ,Comercial Andina 008,Canal Tradicional,Sur
CLI-009,Comercial Andina 009,Canal Tradicional,Oriente
CLI-010,Comercial Andina 010,Canal Tradicional,Metropolitana
CLI-011,Comercial Andina 011,Canal Tradicional,Altiplano
CLI-012,Comercial Andina 012,Distribuidor,Altiplano
CLI-013,Comercial Andina 013,Supermercado,Altiplano
CLI-014,Comercial Andina 014,Supermercado,Valles
CLI-015,Comercial Andina 015,Canal Tradicional,Oriente
CLI-016,Comercial Andina 016,Canal Tradicional,Metropolitana
CLI-017,Comercial Andina 017,Canal Tradicional,Metropolitana
CLI-018,Comercial Andina 018,Institucional,Metropolitana
CLI-019,Comercial Andina 019,Canal Tradicional,Sur
CLI-020,Comercial Andina 020,Canal Tradicional,Sur
CLI-021,Comercial Andina 021,Supermercado,metrop.
CLI-022,Comercial Andina 022,Distribuidor,Oriente
CLI-023,Comercial Andina 023,Distribuidor,Metropolitana
CLI-024,Comercial Andina 024,Canal Tradicional,Sur
CLI-025,Comercial Andina 025,Canal Tradicional,Altiplano
CLI-026,Comercial Andina 026,Distribuidor,Altiplano
CLI-027,Comercial Andina 027,Supermercado,Sur
CLI-028,Comercial Andina 028,Canal Tradicional,Altiplano
CLI-029,Comercial Andina 029,Distribuidor,Oriente
CLI-030,Comercial Andina 030,Canal Tradicional,Altiplano
 cli-031 ,Comercial Andina 031,Institucional,Altiplano
CLI-032,Comercial Andina 032,Canal Tradicional,Oriente
CLI-033,Comercial Andina 033,distribudor,Altiplano
CLI-034,Comercial Andina 034,Distribuidor,Oriente
CLI-035,Comercial Andina 035,Distribuidor,Valles
CLI-036,Comercial Andina 036,Canal Tradicional,Sur
CLI-037,Comercial Andina 037,Supermercado,Metropolitana
CLI-038,Comercial Andina 038,Distribuidor,Metropolitana
CLI-039,Comercial Andina 039,Supermercado,Valles
CLI-040,Comercial Andina 040,Distribuidor,Oriente
CLI-041,Comercial Andina 041,Supermercado,Altiplano
CLI-042,Comercial Andina 042,Supermercado,Valles
CLI-043,Comercial Andina 043,Canal Tradicional,Valles
CLI-044,Comercial Andina 044,Distribuidor,Metropolitana
CLI-045,Comercial Andina 045,Supermercado,Sur
CLI-046,Comercial Andina 046,Supermercado,Oriente
CLI-047,Comercial Andina 047,Supermercado,Sur
CLI-048,Comercial Andina 048,Canal Tradicional,Metropolitana
CLI-049,Comercial Andina 049,distribudor,Altiplano
CLI-050,Comercial Andina 050,Supermercado,Altiplano
CLI-051,Comercial Andina 051,Distribuidor,Metropolitana
CLI-052,Comercial Andina 052,Distribuidor,Altiplano
CLI-053,Comercial Andina 053,Supermercado,Altiplano
CLI-054,Comercial Andina 054,Institucional,Metropolitana
CLI-055,Comercial Andina 055,Institucional,Oriente
CLI-056,Comercial Andina 056,Supermercado,Sur
CLI-057,Comercial Andina 057,Supermercado,Oriente
CLI-058,Comercial Andina 058,Canal Tradicional,Metropolitana
CLI-059,Comercial Andina 059,Canal Tradicional,Oriente
CLI-060,Comercial Andina 060,Distribuidor,Valles
CLI-061,Comercial Andina 061,Distribuidor,Oriente
CLI-062,Comercial Andina 062,Canal Tradicional,Metropolitana
 cli-063 ,Comercial Andina 063,Canal Tradicional,Metropolitana
CLI-064,Comercial Andina 064,Institucional,Sur
CLI-065,Comercial Andina 065,Distribuidor,Altiplano
CLI-066,Comercial Andina 066,Distribuidor,Valles
CLI-067,Comercial Andina 067,Canal Tradicional,Metropolitana
CLI-068,Comercial Andina 068,Distribuidor,Altiplano
CLI-069,Comercial Andina 069,Distribuidor,Valles
CLI-070,Comercial Andina 070,Canal Tradicional,Sur
CLI-071,Comercial Andina 071,Canal Tradicional,Altiplano
 cli-072 ,Comercial Andina 072,Distribuidor,Sur
CLI-073,Comercial Andina 073,Distribuidor,Oriente
CLI-074,Comercial Andina 074,Distribuidor,Metropolitana
CLI-075,Comercial Andina 075,Supermercado,Metropolitana
CLI-076,Comercial Andina 076,Canal Tradicional,Altiplano
 cli-077 ,Comercial Andina 077,distribudor,Metropolitana
CLI-078,Comercial Andina 078,Institucional,Metropolitana
CLI-079,Comercial Andina 079,Distribuidor,Sur
CLI-080,Comercial Andina 080,Supermercado,Metropolitana
CLI-081,Comercial Andina 081,Distribuidor,Oriente
 cli-082 ,Comercial Andina 082,Supermercado,Valles
CLI-083,Comercial Andina 083,Canal Tradicional,Altiplano
CLI-084,Comercial Andina 084,Canal Tradicional,Metropolitana
CLI-085,Comercial Andina 085,Distribuidor,Altiplano
 cli-086 ,Comercial Andina 086,Distribuidor,Sur
CLI-087,Comercial Andina 087,Canal Tradicional,Altiplano
CLI-088,Comercial Andina 088,Distribuidor,Oriente
CLI-089,Comercial Andina 089,Canal Tradicional,Valles
CLI-090,Comercial Andina 090,Institucional,Metropolitana
CLI-091,Comercial Andina 091,Canal Tradicional,Oriente
CLI-092,Comercial Andina 092,Institucional,Metropolitana
CLI-093,Comercial Andina 093,Supermercado,Metropolitana
CLI-094,Comercial Andina 094,Canal Tradicional,Metropolitana
CLI-095,Comercial Andina 095,Distribuidor,Oriente
CLI-096,Comercial Andina 096,Supermercado,Oriente
CLI-097,Comercial Andina 097,Institucional,Metropolitana
CLI-098,Comercial Andina 098,Canal Tradicional,Valles
CLI-099,Comercial Andina 099,Institucional,Metropolitana
CLI-100,Comercial Andina 100,Institucional,Valles
CLI-084,Comercial Andina 084,Canal Tradicional,metrop.
CLI-002,Comercial Andina 002,Distribuidor,Valles
CLI-056,Comercial Andina 056,Supermercado,Sur
CLI-010,Comercial Andina 010,Canal Tradicional,Metropolitana
