cliente_id,ingreso_bruto_bob,costo_ventas_bob,cac_bob
CLI-001,971357.53,811413.33,14545.79
CLI-002,954563.21,798079.31,8915.13
CLI-003,1139993.81,949676.56,14381.17
CLI-004,1149607.07,959165.46,10677.02
CLI-005,1157207.47,969385.69,8863.75
 cli-006 ,1237032.82,1032441.1,8986.16
CLI-007,928421.61,775662.09,3058.13
CLI-008,1053725.7,-881319.12,11260.81
CLI-009,1399068.93,1172247.12,14159.85
CLI-010,1228451.55,1028031.41,6993.53
CLI-011,1088011.66,909914.48,5280.45
CLI-012,1082353.77,903627.28,8118.16
CLI-013,967838.89,806221.17,12494.66
CLI-014,1289450.08,1079566.68,9677.98
CLI-015,821502.12,684288.34,2537.4
CLI-016,996696.33,832055.54,12989.63
CLI-017,1015814.41,842765.79,2826.37
CLI-018,1122428.88,939967.53,12743.86
CLI-019,1093662.09,914536.86,6181.19
CLI-020,1039202.72,871418.61,2609.24
CLI-021,1013836.96,847225.67,7220.48
CLI-022,872705.33,726190.82,11049.34
CLI-023,939687.27,789515.17,13388.0
CLI-024,731130.24,613744.68,3110.79
CLI-025,1112052.68,929227.35,9749.25
CLI-026,1129006.26,943191.52,8029.57
CLI-027,996862.07,832440.26,8768.68
CLI-028,1080586.53,901158.56,5494.84
CLI-029,1041406.82,869150.57,9906.9
CLI-030,841822.58,700911.09,12961.11
CLI-031,1080830.9,904813.07,10661.97
CLI-032,895460.56,744510.96,6453.01
CLI-033,984344.67,823369.14,12019.51
CLI-034,1151620.77,963109.74,9773.63
CLI-035,907005.88,758501.41,6385.7
CLI-036,1123193.88,938684.66,6810.14
CLI-037,989026.74,827057.05,8408.67
CLI-038,1106425.82,925744.69,8308.98
CLI-039,922428.44,770980.7,11955.1
CLI-040,834720.74,696928.03,12177.09
CLI-041,826911.16,689241.47,6237.74
CLI-042,983477.47,815124.27,12133.22
CLI-043,842101.43,705529.3,2606.18
CLI-044,736421.29,617177.15,7227.99
CLI-045,916008.83,766693.63,4637.87
CLI-046,1137992.44,947310.8,2182.63
CLI-047,883579.57,740889.22,5371.02
CLI-048,1195290.63,995171.27,14640.15
CLI-049,994566.86,832964.17,4560.42
CLI-050,1265955.2,1059404.06,7698.51
 cli-051 ,890206.92,740757.26,13033.48
CLI-052,1073452.32,898701.63,14998.12
CLI-053,1006527.54,840382.75,13433.35
CLI-054,872980.66,731302.82,9823.25
CLI-055,1149480.68,967124.57,2245.84
CLI-056,1032909.08,864772.58,6382.26
CLI-057,1117962.74,930965.03,6793.22
CLI-058,979286.28,821798.69,11505.28
CLI-059,1307726.55,1094572.03,2631.55
CLI-060,1097191.99,925500.87,11097.42
CLI-061,972090.84,816525.09,2923.96
CLI-062,1190443.93,995481.96,6909.51
CLI-063,959878.89,800563.11,3563.43
CLI-064,1073394.46,901873.36,10952.67
CLI-065,973675.68,811913.81,4558.51
CLI-066,961728.18,-806802.64,10105.72
CLI-067,918995.31,771860.88,4755.02
CLI-068,860393.23,719283.88,10155.39
CLI-069,1100074.47,920886.09,5773.78
CLI-070,1145969.05,962315.15,12074.02
CLI-071,766484.3,640511.9,8565.45
CLI-072,1102603.81,924074.21,7935.27
CLI-073,984403.1,823838.64,5525.78
CLI-074,1204235.26,1010239.52,12393.06
CLI-075,817734.41,685418.04,2128.76
CLI-076,789184.72,658528.18,12692.66
 cli-077 ,929668.13,779240.11,14422.03
 cli-078 ,1088391.17,911750.57,11638.8
CLI-079,968338.03,815059.03,5913.19
CLI-080,1140144.9,947005.11,2900.14
CLI-081,858703.18,716339.67,5979.79
CLI-082,652755.99,546993.6,7370.12
CLI-083,1089063.66,913589.32,8652.27
CLI-084,874665.43,730571.16,14358.4
CLI-085,1040858.5,870546.22,13310.43
CLI-086,1050348.25,873551.05,6373.41
CLI-087,1059911.59,883601.48,10229.34
CLI-088,1091750.82,913289.01,4310.98
CLI-089,1000521.8,838837.28,3859.06
CLI-090,864004.46,724111.72,12456.12
CLI-091,1091825.13,914754.18,11961.0
CLI-092,1299585.45,1093045.75,10452.0
CLI-093,1061583.66,882642.98,8880.67
CLI-094,1250794.79,1045438.68,14792.58
CLI-095,1028891.18,862320.16,3235.9
CLI-096,994329.13,827537.67,10568.67
CLI-097,1176735.81,987922.02,2259.87
CLI-098,1100348.2,926854.51,7572.47
CLI-099,1178306.85,983742.4,12342.91
CLI-100,843684.43,706354.62,11083.45
CLI-039,922428.44,770980.7,11955.1
CLI-038,1106425.82,925744.69,8308.98
CLI-033,984344.67,823369.14,12019.51
