camion_id,centro_distribucion_base,capacidad_kg,tipo_camion
CAM-01,Cochabamba,12000,Refrigerado
CAM-02,Oruro,2000,Seco
CAM-03,Tarija,5000,Refrigerado
CAM-04,Santa Cruz,12000,Seco
CAM-05,Oruro,5000,Refrigerado
CAM-06,Santa Cruz,8000,Seco
CAM-07,Oruro,8000,Seco
CAM-08,Cochabamba,5000,Refrigerado
CAM-09,La Paz,12000,Refrigerado
CAM-10,Santa Cruz,5000,Seco
CAM-11,Santa Cruz,8000,Seco
CAM-12,Tarija,8000,Refrigerado
CAM-13,Santa Cruz,5000,Refrigerado
CAM-14,Santa Cruz,2000,Refrigerado
CAM-15,La Paz,5000,Seco
CAM-16,Oruro,12000,Seco
CAM-17,Cochabamba,8000,Seco
CAM-18,Santa Cruz,12000,Seco
CAM-19,Cochabamba,5000,Seco
 cam-20 ,Santa Cruz,5000,Refrigerado
CAM-21,Santa Cruz,2000,Seco
CAM-22,Cochabamba,5000,Refrigerado
CAM-23,Cochabamba,2000,Refrigerado
CAM-24,Oruro,8000,Seco
CAM-25,Santa Cruz,12000,Seco
CAM-26,Tarija,5000,Seco
CAM-27,La Paz,5000,Seco
CAM-28,La Paz,12000,Refrigerado
CAM-29,Santa Cruz,12000,Seco
 cam-30 ,La Paz,8000,Seco
CAM-01,Cochabamba,12000,Refrigerado
CAM-27,La Paz,5000,Seco
