producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob
PROD-001,Producto Logistico 001,Congelado,-18.0,2.0,59.88,42.39
PROD-002,Producto Logistico 002,Fresco,4.0,2.0,46.28,33.75
PROD-003,Producto Logistico 003,Fresco,4.0,2.0,35.57,27.19
PROD-004,Producto Logistico 004,Seco,20.0,5.0,39.49,27.26
PROD-005,Producto Logistico 005,Seco,20.0,5.0,116.57,76.84
PROD-006,Producto Logistico 006,Seco,20.0,5.0,29.11,23.32
PROD-007,Producto Logistico 007,Seco,20.0,5.0,32.34,23.87
PROD-008,Producto Logistico 008,Fresco,4.0,2.0,48.58,31.75
PROD-009,Producto Logistico 009,Seco,20.0,5.0,23.98,16.29
PROD-010,Producto Logistico 010,Seco,20.0,5.0,61.26,47.91
PROD-011,Producto Logistico 011,Fresco,4.0,2.0,20.21,14.4
PROD-012,Producto Logistico 012,Congelado,-18.0,2.0,114.56,80.8
PROD-013,Producto Logistico 013,Congelado,-18.0,2.0,42.12,33.05
PROD-014,Producto Logistico 014,Seco,20.0,5.0,28.34,21.61
PROD-015,Producto Logistico 015,Congelado,-18.0,2.0,79.0,54.56
PROD-016,Producto Logistico 016,Seco,20.0,5.0,57.61,44.33
PROD-017,Producto Logistico 017,Fresco,4.0,2.0,30.04,19.81
PROD-018,Producto Logistico 018,Seco,,5.0,30.99,20.82
PROD-019,Producto Logistico 019,Fresco,4.0,2.0,85.44,62.22
PROD-020,Producto Logistico 020,Fresco,4.0,2.0,35.41,26.82
PROD-021,Producto Logistico 021,Seco,20.0,5.0,112.29,84.36
PROD-022,Producto Logistico 022,Congelado,-18.0,2.0,92.99,67.52
PROD-023,Producto Logistico 023,Congelado,-18.0,2.0,79.3,64.4
PROD-024,Producto Logistico 024,Seco,20.0,5.0,30.75,23.48
 prod-025 ,Producto Logistico 025,Fresco,4.0,2.0,55.33,45.25
PROD-026,Producto Logistico 026,conjelado,20.0,5.0,101.67,66.47
PROD-027,Producto Logistico 027,Seco,20.0,5.0,62.33,44.86
PROD-028,Producto Logistico 028,conjelado,20.0,5.0,73.76,55.4
PROD-029,Producto Logistico 029,Seco,20.0,5.0,84.71,60.18
PROD-030,Producto Logistico 030,Seco,20.0,5.0,36.58,24.51
PROD-031,Producto Logistico 031,Congelado,-18.0,2.0,22.18,14.93
PROD-032,Producto Logistico 032,Seco,20.0,5.0,91.56,63.21
PROD-033,Producto Logistico 033,Seco,20.0,5.0,110.21,77.59
PROD-034,Producto Logistico 034,Seco,20.0,5.0,104.59,83.26
PROD-035,Producto Logistico 035,Fresco,4.0,2.0,30.23,23.85
PROD-036,Producto Logistico 036,conjelado,-18.0,2.0,79.24,53.28
PROD-037,Producto Logistico 037,Seco,20.0,5.0,93.98,64.93
PROD-038,Producto Logistico 038,Seco,20.0,5.0,18.03,13.49
PROD-039,Producto Logistico 039,Seco,20.0,5.0,83.05,56.75
 prod-040 ,Producto Logistico 040,Fresco,4.0,2.0,104.65,82.17
PROD-041,Producto Logistico 041,Seco,20.0,5.0,17.56,14.19
 prod-042 ,Producto Logistico 042,Seco,20.0,5.0,95.98,73.69
PROD-043,Producto Logistico 043,Fresco,4.0,2.0,103.64,71.11
PROD-044,Producto Logistico 044,Seco,20.0,5.0,86.04,65.12
PROD-045,Producto Logistico 045,Seco,20.0,5.0,78.7,61.85
PROD-046,Producto Logistico 046,Seco,20.0,5.0,18.91,12.64
PROD-047,Producto Logistico 047,Seco,20.0,5.0,26.68,21.58
PROD-048,Producto Logistico 048,Seco,20.0,5.0,29.4,24.01
PROD-049,Producto Logistico 049,Fresco,,2.0,35.64,25.49
PROD-050,Producto Logistico 050,Fresco,4.0,2.0,76.58,55.37
PROD-051,Producto Logistico 051,Congelado,-18.0,2.0,31.71,21.14
PROD-052,Producto Logistico 052,Congelado,-18.0,2.0,83.75,59.66
 prod-053 ,Producto Logistico 053,Seco,20.0,5.0,94.11,73.12
 prod-054 ,Producto Logistico 054,Seco,20.0,5.0,104.29,81.98
PROD-055,Producto Logistico 055,Seco,20.0,5.0,89.4,60.11
PROD-056,Producto Logistico 056,Fresco,4.0,2.0,54.25,36.51
PROD-057,Producto Logistico 057,Seco,20.0,5.0,56.11,39.61
PROD-058,Producto Logistico 058,Seco,20.0,5.0,110.4,83.63
PROD-059,Producto Logistico 059,Fresco,4.0,2.0,18.17,13.44
PROD-060,Producto Logistico 060,Fresco,4.0,2.0,50.84,37.99
 prod-010 ,Producto Logistico 010,Seco,20.0,5.0,61.26,47.91
PROD-024,Producto Logistico 024,Seco,20.0,5.0,30.75,23.48
PROD-014,Producto Logistico 014,Seco,20.0,5.0,28.34,21.61
