order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif
ORD-2026-00001,CLI-078,PROD-006,2026-08-19 14:15:00,La Paz,CAM-27,CHO-093,231,231.0,48,44.9,1,1,1
ORD-2026-00002,CLI-057,PROD-022,2026-08-09 23:27:00,Tarija,CAM-12,CHO-008,203,203.0,48,33.7,1,1,1
ORD-2026-00003,CLI-028,PROD-047,2026-08-28 00:07:00,Oruro,CAM-16,CHO-038,244,240.0,24,14.3,1,0,0
ORD-2026-00004,CLI-019,PROD-020,2026-08-22 05:52:00,Tarija,CAM-03,CHO-026,417,417.0,48,48.0,1,1,1
ORD-2026-00005,CLI-073,PROD-015,2026-08-01 12:00:00,Cochabamba,CAM-08,CHO-016,122,122.0,48,42.8,1,1,1
ORD-2026-00006,CLI-001,PROD-044,2026-08-29 02:49:00,Cochabamba,CAM-22,CHO-147,188,188.0,72,71.6,1,1,1
ORD-2026-00007,CLI-039,PROD-050,2026-08-02 17:05:00,Oruro,CAM-24,CHO-136,341,341.0,48,34.6,1,1,1
ORD-2026-00008,CLI-019,PROD-034,2026-08-11 06:47:00,Tarija,CAM-26,CHO-008,321,321.0,48,31.8,1,1,1
ORD-2026-00009,CLI-005,PROD-055,2026-08-09 02:44:00,Oruro,CAM-24,CHO-032,435,435.0,24,25.9,0,1,0
ORD-2026-00010,CLI-070,PROD-048,2026-08-18 16:35:00,Cochabamba,CAM-23,CHO-058,374,374.0,72,89.8,0,1,0
ORD-2026-00011,CLI-079,PROD-051,2026-08-21 22:07:00,Cochabamba,CAM-01,CHO-055,390,390.0,48,54.7,0,1,0
ORD-2026-00012,CLI-025,PROD-029,2026-08-27 18:17:00,La Paz,CAM-28,CHO-126,264,264.0,72,46.4,1,1,1
ORD-2026-00013,CLI-041,PROD-015,2026-08-13 01:13:00,Cochabamba,CAM-22,CHO-089,498,498.0,24,17.3,1,1,1
ORD-2026-00014,CLI-009,PROD-010,2026-08-30 12:59:00,Tarija,CAM-03,CHO-031,107,107.0,72,66.6,1,1,1
ORD-2026-00015,CLI-029,PROD-038,2026-08-22 20:46:00,La Paz,CAM-09,CHO-017,242,242.0,24,22.8,1,1,1
ORD-2026-00016,CLI-094,PROD-007,2026-08-25 14:03:00,Oruro,CAM-02,CHO-136,413,413.0,72,53.7,1,1,1
ORD-2026-00017,CLI-032,PROD-019,2026-08-21 18:15:00,Cochabamba,CAM-01,CHO-112,361,361.0,48,29.4,1,1,1
ORD-2026-00018,CLI-006,PROD-014,2026-08-27 11:20:00,La Paz,CAM-09,CHO-134,46,37.0,48,29.4,1,0,0
ORD-2026-00019,CLI-008,PROD-046,2026-08-08 02:56:00,Cochabamba,CAM-19,CHO-047,41,41.0,72,68.1,1,1,1
ORD-2026-00020,CLI-088,PROD-016,2026-08-26 20:16:00,Oruro,CAM-07,CHO-110,434,434.0,48,54.1,0,1,0
ORD-2026-00021,CLI-037,PROD-020,2026-08-26 09:47:00,La Paz,CAM-28,CHO-102,293,293.0,24,18.4,1,1,1
ORD-2026-00022,CLI-052,PROD-053,2026-08-22 15:15:00,Cochabamba,CAM-17,CHO-140,192,192.0,24,17.1,1,1,1
ORD-2026-00023,CLI-071,PROD-057,2026-08-30 10:01:00,Oruro,CAM-07,CHO-038,458,458.0,48,48.7,0,1,0
ORD-2026-00024,CLI-052,PROD-050,2026-08-03 13:04:00,La Paz,CAM-09,CHO-040,308,308.0,48,37.3,1,1,1
ORD-2026-00025,CLI-059,PROD-040,2026-08-26 13:09:00,Tarija,CAM-03,CHO-048,491,491.0,24,18.4,1,1,1
ORD-2026-00026,CLI-048,PROD-055,2026-08-19 19:45:00,Cochabamba,CAM-17,CHO-131,289,289.0,48,26.3,1,1,1
