id_registro;Codigo Activo;Fecha Parada;temperatura;unidad_temperatura;vibracion_mm_s;produccion_t;modo_operacion
TEL-0001; eq_4 ;17/09/2026 19:35;72.5;C;5.4;82.5;NORMAL
TEL-0002;MAQ-01;17/09/2026 19:45;-999;C;4.2;81.7;NORMAL
TEL-0003;maq1;17/09/2026 20:05;140.0;F;8.2;-5.0;ARRANQUE
TEL-0004; eq_4 ;17/09/2026 20:10;75.2;C;5.1;83.1;NORMAL
TEL-0005;EQ-X;17/09/2026 20:15;74.1;K;5.3;82.0;MANTENIMIENTO
TEL-0006;MAQ-01;17/09/2026 20:20;167.0;F;4.8;82.4;NORMAL
TEL-0007;maq1;17/09/2026 20:25;149.0;F;4.7;81.9;NORMAL
TEL-0008;MAQ-01;17/09/2026 20:30;;C;4.6;82.2;NORMAL
TEL-0009;MAQ-01;31/02/2026 08:10;75.0;C;4.4;82.0;NORMAL
TEL-0001; eq_4 ;17/09/2026 19:35;72.5;C;5.4;82.5;NORMAL
